s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-2.3637524E-007, 6.6516447E-003, 4.6199522E-003, 2.7798640E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5609581E-004, 1.1549347E-002, 3.4263784E-012, 1.9608650E-005
 2.4819846E+000, 9.4135602E-005, 5.7788810E-005, 2.7671749E-002, 1.5921594E-002, 2.4139877E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8723239E-002, 4.6159255E-002, 1.6351241E-008, 6.2694077E-005
 3.6031885E+000, 1.0055877E-002, 3.6147002E-004, 1.6875414E-002, 2.3652436E-002, 5.5546182E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5472409E-002, 5.6499815E-002, 8.5396529E-007, 4.6106400E-005
 4.8321867E+000, 1.3799761E-001,-3.2716713E-002,-5.0373538E-002, 2.5014165E-002, 7.4417399E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6419608E-002, 8.7363266E-002, 1.0262987E-005, 5.0428337E-005
 6.0317292E+000, 7.0930183E-001,-2.0088865E-001,-2.7900403E-001, 1.6293343E-002, 1.2673012E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4431148E-001, 2.5837550E-001, 4.8140438E-005, 8.4451953E-005
 7.2222199E+000, 1.6113268E+000,-4.6836235E-001,-9.6539430E-001, 1.5107780E-003, 1.9850556E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9804068E-001, 1.9893148E-001, 1.0594959E-004, 1.3975563E-004
 8.4041872E+000, 2.5353767E+000,-7.4415977E-001,-1.6203494E+000,-1.3411287E-002, 2.8365238E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8793656E-001, 1.8582153E-001, 1.7342264E-004, 2.0556493E-004
 9.6094322E+000, 3.3703122E+000,-9.8933934E-001,-2.3083060E+000,-3.4716016E-002, 3.7694301E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0668629E-002, 7.5645144E-002, 2.3619324E-004, 2.6714607E-004
 1.0802244E+001, 3.6828769E+000,-1.0484554E+000,-2.4185337E+000,-7.7773626E-002, 3.9562218E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9761221E-001, 1.7767638E-001, 2.5025659E-004, 2.8024497E-004
 1.2012124E+001, 3.5767667E+000,-1.0322054E+000,-2.5584609E+000,-9.5961461E-002, 4.2957267E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4879773E-002,-6.6903734E-002, 2.4705152E-004, 2.7619797E-004
 1.3206068E+001, 3.5169130E+000,-1.0330122E+000,-2.6248712E+000,-1.2082990E-001, 4.5403939E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4966855E-001,-2.1639635E-001, 2.5241236E-004, 2.8080268E-004
 1.4403387E+001, 3.9456203E+000,-1.1440312E+000,-2.5854034E+000,-1.0751406E-001, 4.4650146E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8907636E-001, 1.5332186E-001, 2.6421279E-004, 2.9198899E-004
 1.5611845E+001, 4.0867757E+000,-1.1886323E+000,-2.8415908E+000,-1.1241850E-001, 4.9677678E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4411239E-002,-6.1882736E-003, 2.8352107E-004, 3.1083132E-004
 1.6802111E+001, 4.0692259E+000,-1.1746701E+000,-2.7296551E+000,-1.4817758E-001, 5.0461398E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1060707E-001, 6.7184607E-002, 2.8206226E-004, 3.0907395E-004
 1.8000525E+001, 3.9287247E+000,-1.1550898E+000,-2.8615358E+000,-1.3747794E-001, 5.0058920E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1066240E-001,-1.7532000E-001, 2.7544267E-004, 3.0218882E-004
 1.9220276E+001, 3.8590767E+000,-1.1037306E+000,-2.6821448E+000,-1.7198407E-001, 5.5111788E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5327897E-002,-4.3670906E-002, 2.6612608E-004, 2.9258562E-004
