s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4214101E+001, 1.2955185E+002, 0.0000000E+000, 4.9999019E-002
 2.4819847E+000, 1.4207551E+001, 2.6688050E+002, 9.4135602E-003, 4.9992469E-002
 3.6031886E+000, 1.4203188E+001, 3.2021408E+002, 1.0055877E+000, 4.9988093E-002
 4.8321865E+000, 1.4197709E+001, 3.7108229E+002, 1.3799761E+001, 4.9982367E-002
 6.0317291E+000, 1.4189878E+001, 4.1132593E+002, 7.0930183E+001, 4.9972997E-002
 7.2222199E+000, 1.4176488E+001, 4.4303878E+002, 1.6113268E+002, 4.9955191E-002
 8.4041876E+000, 1.4156166E+001, 4.6678984E+002, 2.5353767E+002, 4.9927043E-002
 9.6094318E+000, 1.4127534E+001, 4.8601585E+002, 3.3703122E+002, 4.9884519E-002
 1.0802244E+001, 1.4094341E+001, 4.8154743E+002, 3.6828769E+002, 4.9837310E-002
 1.2012124E+001, 1.4061119E+001, 5.0468538E+002, 3.5767667E+002, 4.9792035E-002
 1.3206068E+001, 1.4027496E+001, 5.0074215E+002, 3.5169130E+002, 4.9736756E-002
 1.4403387E+001, 1.3993426E+001, 5.0301189E+002, 3.9456203E+002, 4.9692676E-002
 1.5611845E+001, 1.3957084E+001, 5.1386938E+002, 4.0867757E+002, 4.9649815E-002
 1.6802111E+001, 1.3919895E+001, 5.1958753E+002, 4.0692259E+002, 4.9600524E-002
 1.8000525E+001, 1.3883213E+001, 5.1473591E+002, 3.9287247E+002, 4.9554718E-002
 1.9220276E+001, 1.3847056E+001, 5.2470029E+002, 3.8590767E+002, 4.9511513E-002
 2.0417471E+001, 1.3812100E+001, 5.2577137E+002, 3.8211392E+002, 4.9467272E-002
 2.1609483E+001, 1.3776519E+001, 5.3976352E+002, 3.9918460E+002, 4.9421952E-002
 2.2805733E+001, 1.3740551E+001, 5.3902933E+002, 3.8535204E+002, 4.9374469E-002
 2.4003205E+001, 1.3705087E+001, 5.3486240E+002, 3.8800092E+002, 4.9330467E-002
 2.5214766E+001, 1.3669203E+001, 5.4401345E+002, 4.0679084E+002, 4.9288727E-002
 2.6402946E+001, 1.3632151E+001, 5.6181582E+002, 4.1153538E+002, 4.9243426E-002
 2.7606602E+001, 1.3595769E+001, 5.6044905E+002, 3.9182788E+002, 4.9193462E-002
 2.8816154E+001, 1.3559352E+001, 5.7557868E+002, 4.0570777E+002, 4.9145347E-002
 3.0016742E+001, 1.3523270E+001, 5.8447906E+002, 3.9737969E+002, 4.9091778E-002
 3.1219654E+001, 1.3487768E+001, 5.7071054E+002, 3.8048255E+002, 4.9039428E-002
 3.2414160E+001, 1.3453890E+001, 5.7523739E+002, 3.6858481E+002, 4.8994776E-002
 3.3608761E+001, 1.3420765E+001, 5.7529045E+002, 3.6670539E+002, 4.8951325E-002
 3.4805454E+001, 1.3387490E+001, 5.8312673E+002, 3.6203022E+002, 4.8907831E-002
 3.6006654E+001, 1.3355214E+001, 5.7591328E+002, 3.4080049E+002, 4.8864018E-002
 3.7210308E+001, 1.3323798E+001, 5.9356824E+002, 3.4300370E+002, 4.8822341E-002
 3.8401622E+001, 1.3292463E+001, 5.9128303E+002, 3.3831262E+002, 4.8777405E-002
 3.9612890E+001, 1.3261533E+001, 5.8677038E+002, 3.3957162E+002, 4.8733057E-002
 4.0816835E+001, 1.3230319E+001, 6.0376215E+002, 3.3859797E+002, 4.8691157E-002
 4.2016977E+001, 1.3198911E+001, 6.0505437E+002, 3.4472334E+002, 4.8646682E-002
 4.3217065E+001, 1.3167194E+001, 6.0974056E+002, 3.4781142E+002, 4.8601623E-002
 4.4405760E+001, 1.3135773E+001, 6.2226174E+002, 3.4450269E+002, 4.8556887E-002
 4.5608883E+001, 1.3104608E+001, 6.2316281E+002, 3.4364524E+002, 4.8509675E-002
 4.6801616E+001, 1.3073694E+001, 6.1403434E+002, 3.3548628E+002, 4.8462763E-002
 4.8000235E+001, 1.3042855E+001, 6.2887204E+002, 3.4001260E+002, 4.8419522E-002
 4.9212853E+001, 1.3011545E+001, 6.3688163E+002, 3.4194387E+002, 4.8374186E-002
 5.0402979E+001, 1.2980608E+001, 6.2012873E+002, 3.3697998E+002, 4.8327889E-002
 5.1611438E+001, 1.2950443E+001, 6.3447407E+002, 3.3196610E+002, 4.8285735E-002
 5.2811824E+001, 1.2920092E+001, 6.2228755E+002, 3.2904522E+002, 4.8243114E-002
 5.4016478E+001, 1.2889557E+001, 6.2833642E+002, 3.4415861E+002, 4.8202192E-002
 5.5217550E+001, 1.2858502E+001, 6.2771375E+002, 3.4169694E+002, 4.8162207E-002
 5.6417710E+001, 1.2827553E+001, 6.2679398E+002, 3.4063599E+002, 4.8122176E-002
 5.7608126E+001, 1.2797193E+001, 6.3318099E+002, 3.3326320E+002, 4.8083463E-002
 5.8805232E+001, 1.2767493E+001, 6.3435807E+002, 3.2143963E+002, 4.8044546E-002
 6.0003174E+001, 1.2738707E+001, 6.3966810E+002, 3.1616959E+002, 4.8005645E-002
 6.1209552E+001, 1.2710380E+001, 6.3824345E+002, 3.0669021E+002, 4.7965874E-002
 6.2424520E+001, 1.2682086E+001, 6.3320313E+002, 3.0597028E+002, 4.7926224E-002
 6.3600732E+001, 1.2654188E+001, 6.3775739E+002, 3.0825975E+002, 4.7888378E-002
 6.4807026E+001, 1.2626659E+001, 6.5147565E+002, 3.0053631E+002, 4.7851541E-002
 6.6001562E+001, 1.2599226E+001, 6.4312482E+002, 2.9974361E+002, 4.7812899E-002
 6.7213934E+001, 1.2572060E+001, 6.3874536E+002, 2.9542921E+002, 4.7774190E-002
 6.8407801E+001, 1.2544993E+001, 6.4582160E+002, 2.9786272E+002, 4.7737044E-002
 6.9620689E+001, 1.2517627E+001, 6.3771752E+002, 3.0205067E+002, 4.7699960E-002
 7.0812677E+001, 1.2490085E+001, 6.5051119E+002, 3.0046376E+002, 4.7663749E-002
 7.2009704E+001, 1.2462703E+001, 6.4588404E+002, 3.0982735E+002, 4.7627860E-002
 7.3217480E+001, 1.2434968E+001, 6.3418487E+002, 3.0300307E+002, 4.7591581E-002
 7.4417978E+001, 1.2407525E+001, 6.3487779E+002, 2.9718715E+002, 4.7556851E-002
 7.5615329E+001, 1.2380736E+001, 6.5991455E+002, 2.9323290E+002, 4.7523727E-002
 7.6802786E+001, 1.2354352E+001, 6.5304433E+002, 2.9379303E+002, 4.7489721E-002
 7.8018700E+001, 1.2327874E+001, 6.4501473E+002, 2.8692914E+002, 4.7454031E-002
 7.9207099E+001, 1.2301426E+001, 6.4717888E+002, 2.9056136E+002, 4.7418760E-002
 8.0400996E+001, 1.2275443E+001, 6.4502815E+002, 2.8633908E+002, 4.7384751E-002
 8.1617750E+001, 1.2249339E+001, 6.5101913E+002, 2.8681403E+002, 4.7351230E-002
 8.2816979E+001, 1.2223148E+001, 6.6039453E+002, 2.8586152E+002, 4.7317781E-002
 8.4010407E+001, 1.2197173E+001, 6.7427778E+002, 2.8949788E+002, 4.7284070E-002
 8.5208258E+001, 1.2171254E+001, 6.6223217E+002, 2.8711714E+002, 4.7248673E-002
 8.6409507E+001, 1.2145332E+001, 6.5568524E+002, 2.7825395E+002, 4.7212661E-002
 8.7603299E+001, 1.2119558E+001, 6.6285514E+002, 2.8775639E+002, 4.7177723E-002
 8.8810457E+001, 1.2093709E+001, 6.5071176E+002, 2.8525092E+002, 4.7143638E-002
 9.0001113E+001, 1.2067925E+001, 6.4652534E+002, 2.8068129E+002, 4.7110341E-002
 9.1202200E+001, 1.2042587E+001, 6.5350100E+002, 2.7837531E+002, 4.7078554E-002
 9.2400036E+001, 1.2017640E+001, 6.5132961E+002, 2.7195131E+002, 4.7047411E-002
 9.3604147E+001, 1.1993046E+001, 6.5258412E+002, 2.6685377E+002, 4.7016422E-002
 9.4807510E+001, 1.1968739E+001, 6.4695604E+002, 2.6006656E+002, 4.6985675E-002
 9.6007450E+001, 1.1944828E+001, 6.4488244E+002, 2.5922135E+002, 4.6955199E-002
 9.7207576E+001, 1.1921198E+001, 6.5168032E+002, 2.5678119E+002, 4.6925365E-002
 9.8407092E+001, 1.1897761E+001, 6.6110133E+002, 2.5642599E+002, 4.6895879E-002
 9.9602091E+001, 1.1874410E+001, 6.5263465E+002, 2.5526445E+002, 4.6866122E-002
 1.0081203E+002, 1.1850972E+001, 6.5931254E+002, 2.5904741E+002, 4.6835855E-002
 1.0200782E+002, 1.1827408E+001, 6.5626065E+002, 2.5754516E+002, 4.6805567E-002
 1.0322145E+002, 1.1803659E+001, 6.4965917E+002, 2.5457539E+002, 4.6775145E-002
 1.0440548E+002, 1.1780227E+001, 6.6102092E+002, 2.5736174E+002, 4.6745303E-002
 1.0560911E+002, 1.1757152E+001, 6.7537841E+002, 2.5083796E+002, 4.6715983E-002
 1.0682382E+002, 1.1733980E+001, 6.8125109E+002, 2.5392174E+002, 4.6685762E-002
 1.0800171E+002, 1.1711077E+001, 6.8356899E+002, 2.5203277E+002, 4.6654667E-002
 1.0921445E+002, 1.1688205E+001, 6.7447544E+002, 2.5188995E+002, 4.6622546E-002
 1.1041942E+002, 1.1665108E+001, 6.7555543E+002, 2.5155683E+002, 4.6589637E-002
 1.1160333E+002, 1.1642441E+001, 6.8855102E+002, 2.5166106E+002, 4.6557547E-002
 1.1281892E+002, 1.1619692E+001, 6.9028334E+002, 2.4853724E+002, 4.6525511E-002
 1.1400680E+002, 1.1596918E+001, 6.8642192E+002, 2.4831189E+002, 4.6493072E-002
 1.1520141E+002, 1.1574469E+001, 6.8414845E+002, 2.4554471E+002, 4.6460630E-002
 1.1640208E+002, 1.1552180E+001, 6.9410373E+002, 2.4371738E+002, 4.6428332E-002
 1.1760242E+002, 1.1529913E+001, 7.0646974E+002, 2.4538701E+002, 4.6396146E-002
 1.1882162E+002, 1.1507449E+001, 6.9692807E+002, 2.4400054E+002, 4.6363361E-002
 1.2000828E+002, 1.1485051E+001, 6.8589271E+002, 2.4601654E+002, 4.6330174E-002
 1.2121930E+002, 1.1462800E+001, 6.8180446E+002, 2.4458856E+002, 4.6297316E-002
 1.2240524E+002, 1.1440739E+001, 6.9056063E+002, 2.4318516E+002, 4.6265460E-002
 1.2363043E+002, 1.1418648E+001, 6.9258012E+002, 2.3971999E+002, 4.6234353E-002
 1.2480236E+002, 1.1396712E+001, 6.8654884E+002, 2.4115152E+002, 4.6203727E-002
 1.2601579E+002, 1.1374951E+001, 6.9148778E+002, 2.4023399E+002, 4.6173405E-002
 1.2722093E+002, 1.1352947E+001, 6.9394573E+002, 2.3951272E+002, 4.6142904E-002
 1.2841353E+002, 1.1331244E+001, 6.8779959E+002, 2.3516189E+002, 4.6112764E-002
 1.2960091E+002, 1.1309903E+001, 6.8324924E+002, 2.3763145E+002, 4.6082990E-002
 1.3080593E+002, 1.1288564E+001, 6.8091739E+002, 2.3154257E+002, 4.6053281E-002
 1.3200499E+002, 1.1267335E+001, 6.7791801E+002, 2.3440055E+002, 4.6024087E-002
 1.3321666E+002, 1.1246095E+001, 6.9781011E+002, 2.3166175E+002, 4.5995344E-002
 1.3441744E+002, 1.1224963E+001, 6.7873986E+002, 2.3244961E+002, 4.5967014E-002
 1.3561221E+002, 1.1203976E+001, 6.8483108E+002, 2.3151876E+002, 4.5938718E-002
 1.3682200E+002, 1.1182885E+001, 6.8221234E+002, 2.3081083E+002, 4.5910598E-002
 1.3800701E+002, 1.1161764E+001, 6.9900336E+002, 2.3612143E+002, 4.5882850E-002
 1.3920850E+002, 1.1140618E+001, 6.9540465E+002, 2.3407987E+002, 4.5855252E-002
 1.4041995E+002, 1.1119191E+001, 6.9470392E+002, 2.3402464E+002, 4.5827104E-002
 1.4160250E+002, 1.1097975E+001, 7.0816085E+002, 2.3614995E+002, 4.5798942E-002
 1.4280006E+002, 1.1076955E+001, 6.8955011E+002, 2.3325290E+002, 4.5770702E-002
 1.4401864E+002, 1.1055655E+001, 7.0855748E+002, 2.3280189E+002, 4.5741716E-002
 1.4521039E+002, 1.1034490E+001, 6.9292626E+002, 2.3349513E+002, 4.5712942E-002
 1.4640206E+002, 1.1013634E+001, 7.0083866E+002, 2.3094929E+002, 4.5684434E-002
 1.4762389E+002, 1.0992570E+001, 6.8833976E+002, 2.3091402E+002, 4.5655625E-002
 1.4880606E+002, 1.0971644E+001, 6.9058743E+002, 2.3068500E+002, 4.5627181E-002
 1.5000980E+002, 1.0950951E+001, 6.9594410E+002, 2.3099243E+002, 4.5599417E-002
 1.5120208E+002, 1.0930212E+001, 6.9520643E+002, 2.2990057E+002, 4.5571987E-002
 1.5241840E+002, 1.0909381E+001, 7.0614342E+002, 2.2982539E+002, 4.5544680E-002
 1.5361018E+002, 1.0888545E+001, 6.9022391E+002, 2.2735644E+002, 4.5517391E-002
 1.5480403E+002, 1.0867915E+001, 6.9685666E+002, 2.2853334E+002, 4.5490222E-002
 1.5600634E+002, 1.0847289E+001, 7.1158933E+002, 2.2728562E+002, 4.5463106E-002
 1.5720303E+002, 1.0826786E+001, 7.0797097E+002, 2.2341120E+002, 4.5436111E-002
 1.5841462E+002, 1.0806418E+001, 7.1072757E+002, 2.2220347E+002, 4.5408857E-002
 1.5960063E+002, 1.0786316E+001, 7.1221015E+002, 2.2168535E+002, 4.5381457E-002
 1.6081116E+002, 1.0766386E+001, 7.1686397E+002, 2.1947300E+002, 4.5353927E-002
 1.6201417E+002, 1.0746364E+001, 7.0757273E+002, 2.1979112E+002, 4.5325978E-002
 1.6321044E+002, 1.0726545E+001, 7.0543809E+002, 2.1817543E+002, 4.5298038E-002
 1.6440992E+002, 1.0706758E+001, 7.0424176E+002, 2.1801217E+002, 4.5270131E-002
 1.6560644E+002, 1.0687010E+001, 6.9367762E+002, 2.1644731E+002, 4.5242426E-002
 1.6680706E+002, 1.0667404E+001, 6.9546568E+002, 2.1552286E+002, 4.5215126E-002
 1.6801594E+002, 1.0647802E+001, 7.0048888E+002, 2.1356346E+002, 4.5188201E-002
 1.6920849E+002, 1.0628349E+001, 7.0294343E+002, 2.1412977E+002, 4.5161902E-002
 1.7040972E+002, 1.0609048E+001, 7.0589344E+002, 2.1401447E+002, 4.5136071E-002
 1.7161524E+002, 1.0589663E+001, 7.0764174E+002, 2.1352132E+002, 4.5110227E-002
 1.7282343E+002, 1.0570212E+001, 7.0088611E+002, 2.1223858E+002, 4.5084330E-002
 1.7402131E+002, 1.0550847E+001, 7.0302032E+002, 2.1379922E+002, 4.5058504E-002
 1.7522181E+002, 1.0531491E+001, 7.1011307E+002, 2.1278184E+002, 4.5032716E-002
 1.7641173E+002, 1.0512281E+001, 6.9808424E+002, 2.1328623E+002, 4.5007197E-002
 1.7762028E+002, 1.0493024E+001, 6.9892552E+002, 2.1235221E+002, 4.4981565E-002
 1.7880284E+002, 1.0473888E+001, 7.0162958E+002, 2.0912973E+002, 4.4956117E-002
 1.8000099E+002, 1.0454907E+001, 6.9050538E+002, 2.0919220E+002, 4.4930951E-002
 1.8120878E+002, 1.0435886E+001, 6.8723843E+002, 2.0871234E+002, 4.4905765E-002
 1.8240967E+002, 1.0416984E+001, 7.0217637E+002, 2.0667719E+002, 4.4880872E-002
 1.8360968E+002, 1.0398309E+001, 7.0232645E+002, 2.0668192E+002, 4.4856487E-002
 1.8481618E+002, 1.0379708E+001, 6.9429646E+002, 2.0318184E+002, 4.4832244E-002
 1.8601610E+002, 1.0361249E+001, 6.9468650E+002, 2.0278740E+002, 4.4808082E-002
 1.8720303E+002, 1.0342961E+001, 6.9502856E+002, 2.0146216E+002, 4.4784112E-002
 1.8841522E+002, 1.0324611E+001, 6.9100305E+002, 1.9960238E+002, 4.4760129E-002
 1.8961191E+002, 1.0306304E+001, 6.9896334E+002, 2.0092142E+002, 4.4736297E-002
 1.9081914E+002, 1.0288038E+001, 6.9216598E+002, 2.0100654E+002, 4.4712610E-002
 1.9200563E+002, 1.0269920E+001, 6.9049404E+002, 1.9928585E+002, 4.4689161E-002
 1.9320191E+002, 1.0251923E+001, 6.9152634E+002, 1.9932862E+002, 4.4665916E-002
 1.9440556E+002, 1.0233818E+001, 6.9374490E+002, 1.9921900E+002, 4.4642631E-002
 1.9560586E+002, 1.0215701E+001, 6.9222932E+002, 2.0023159E+002, 4.4619456E-002
 1.9681025E+002, 1.0197592E+001, 7.1721279E+002, 1.9891519E+002, 4.4596409E-002
 1.9800789E+002, 1.0179526E+001, 7.1694555E+002, 1.9809156E+002, 4.4573530E-002
 1.9923095E+002, 1.0161275E+001, 7.0686043E+002, 1.9838441E+002, 4.4550294E-002
 2.0041965E+002, 1.0143097E+001, 7.0850077E+002, 1.9835639E+002, 4.4526790E-002
 2.0160198E+002, 1.0125301E+001, 7.0955530E+002, 1.9873284E+002, 4.4503431E-002
 2.0281595E+002, 1.0107370E+001, 7.2058415E+002, 1.9852717E+002, 4.4479644E-002
 2.0401861E+002, 1.0089363E+001, 7.1163383E+002, 1.9810867E+002, 4.4455569E-002
 2.0520786E+002, 1.0071561E+001, 7.1730651E+002, 1.9711847E+002, 4.4431580E-002
 2.0640763E+002, 1.0053805E+001, 7.0763648E+002, 1.9670447E+002, 4.4407502E-002
