#FILE:                        13WaT18 10 K min N2 15.2.2007.dsu
#FORMAT:                      NETZSCH4                         
#IDENTITY:                    13 WaT18 10 K min N2             
#DECIMAL:                     POINT                            
#SEPARATOR:                   SEMICOLON                        
#MTYPE:                       TG                               
#INSTRUMENT:                  NETZSCH STA 449C                 
#PROJECT:                     vtt                              
#DATE/TIME:                   15.2.2007 8:12:40                
#CORR. FILE:                  correction 10K min N2 800 C.bsu  
#LABORATORY:                  EO                               
#OPERATOR:                    TL                               
#REMARK:                                                       
#SAMPLE:                      13 WaT18                         
#SAMPLE MASS /mg:             12.798                           
#MATERIAL:                    Empty crucibles                  
#REFERENCE:                   al2o3                            
#REFERENCE MASS /mg:          40.312                           
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                 
#SAMPLE CRUCIBLE MASS /mg:    0.000                            
#REFERENCE CRUCIBLE MASS /mg: 0.000                            
#PROTECTIVE GAS:              N2                               
#PURGE GAS 1:                 air                              
#FLOW RATE 1 /(ml/min):       40                               
#PURGE GAS 2:                                                  
#FLOW RATE 2:                                                  
#DSC RANGE /æm:               5000                             
#TG RANGE /æm:                5000                             
#CORR. CODE:                  020                              
#EXO:                         +1                               
#RANGE:                       20.0/10.00(K/min)/800.0          
#SEGMENT:                     S1/2                             
Temp (C),Mass (%)
247.01411, 96.02173
248.01411, 95.95734
249.01411, 95.89238
250.01411, 95.82526
251.01411, 95.75585
252.01411, 95.68059
253.01411, 95.60239
254.01411, 95.51687
255.01411, 95.43187
256.01411, 95.33769
257.01411, 95.22801
258.01411, 95.13321
259.01411, 95.02806
260.01411, 94.90536
261.01411, 94.79057
262.01411, 94.67341
263.01411, 94.52792
264.01411, 94.39764
265.01411, 94.23989
266.01411, 94.08241
267.01411, 93.91499
268.01411, 93.74224
269.01411, 93.55362
270.01411, 93.35215
271.01411, 93.14614
272.01411, 92.92371
273.01411, 92.70184
274.01411, 92.45736
275.01411, 92.20069
276.01411, 91.92898
277.01411, 91.64495
278.01411, 91.35416
279.01411, 91.04558
280.01411, 90.58374
281.01411, 90.31012
282.01411, 89.89282
283.01411, 89.60840
284.01411, 89.33415
285.01411, 88.81821
286.01411, 88.52434
287.01411, 87.96880
288.01411, 87.64735
289.01411, 87.14347
290.01411, 86.79023
291.01411, 86.22879
292.01411, 85.83525
293.01411, 85.47705
294.01411, 84.88185
295.01411, 84.38457
296.01411, 83.93925
297.01411, 83.56944
298.01411, 83.13649
299.01411, 82.64537
300.01411, 82.02382
301.01411, 81.59246
302.01411, 81.22023
303.01411, 80.57786
304.01411, 80.13552
305.01411, 79.65164
306.01411, 79.29168
307.01411, 78.65568
308.01411, 78.26332
309.01411, 77.87099
310.01411, 77.30017
311.01411, 76.93110
312.01411, 76.26643
313.01411, 75.76228
314.01411, 75.40106
315.01411, 75.03876
316.01411, 74.45243
317.01411, 73.87087
318.01411, 73.48888
319.01411, 72.85240
320.01411, 72.39775
321.01411, 71.87883
322.01411, 71.43025
323.01411, 70.96834
324.01411, 70.58031
325.01411, 69.93864
326.01411, 69.53209
327.01411, 69.11770
328.01411, 68.46584
329.01411, 67.94997
330.01411, 67.44323
331.01411, 66.97670
332.01411, 66.48177
333.01411, 65.96495
334.01411, 65.47161
335.01411, 65.04681
336.01411, 64.67198
337.01411, 64.02045
338.01411, 63.61283
339.01411, 63.02631
340.01411, 62.64018
341.01411, 61.94299
342.01411, 61.43712
343.01411, 60.92112
344.01411, 60.51407
345.01411, 59.82744
346.01411, 59.27204
347.01411, 58.70262
348.01411, 58.10772
349.01411, 57.53809
350.01411, 56.89060
351.01411, 56.28519
352.01411, 55.60906
353.01411, 54.94829
354.01411, 54.24849
355.01411, 53.49129
356.01411, 52.69426
357.01411, 51.84275
358.01411, 50.97859
359.01411, 50.14379
360.01411, 49.16600
361.01411, 48.18870
362.01411, 47.20218
363.01411, 46.11947
364.01411, 45.01457
365.01411, 43.91334
366.01411, 42.73603
367.01411, 41.53971
368.01411, 40.37104
369.01411, 39.13151
370.01411, 37.92182
371.01411, 36.70433
372.01411, 35.51441
373.01411, 34.35081
374.01411, 33.22823
375.01411, 32.17207
376.01411, 31.15957
377.01411, 30.19677
378.01411, 29.38708
379.01411, 28.57821
380.01411, 27.85642
381.01411, 27.32071
382.01411, 26.86832
383.01411, 26.33732
384.01411, 26.02390
385.01411, 25.60698
386.01411, 25.40229
387.01411, 25.22706
388.01411, 25.03344
389.01411, 24.86496
390.01411, 24.74006
391.01411, 24.62927
392.01411, 24.51868
393.01411, 24.41908
394.01411, 24.34357
395.01411, 24.26247
396.01411, 24.18481
397.01411, 24.10534
398.01411, 24.03010
399.01411, 23.96521
400.01411, 23.89327
401.01411, 23.82094
402.01411, 23.74306
403.01411, 23.68064
404.01411, 23.61512
405.01411, 23.54503
406.01411, 23.48145
407.01411, 23.41364
408.01411, 23.34530
409.01411, 23.27596
410.01411, 23.21765
411.01411, 23.14670
412.01411, 23.08266
413.01411, 23.01924
414.01411, 22.95019
415.01411, 22.88599
416.01411, 22.82068
417.01411, 22.75431
418.01411, 22.69202
419.01411, 22.62576
420.01411, 22.56364
421.01411, 22.49873
422.01411, 22.43484
423.01411, 22.37856
424.01411, 22.31158
425.01411, 22.24598
426.01411, 22.18383
427.01411, 22.12435
428.01411, 22.06454
429.01411, 22.00200
430.01411, 21.94446
431.01411, 21.88439
432.01411, 21.82367
433.01411, 21.77273
434.01411, 21.71690
435.01411, 21.65898
436.01411, 21.60205
437.01411, 21.54425
438.01411, 21.49115
439.01411, 21.43590
440.01411, 21.38261
441.01411, 21.33202
442.01411, 21.28120
443.01411, 21.23156
444.01411, 21.18155
445.01411, 21.13268
446.01411, 21.08284
447.01411, 21.03441
448.01411, 20.99137
449.01411, 20.94631
450.01411, 20.90000
451.01411, 20.85707
452.01411, 20.81182
453.01411, 20.77262
454.01411, 20.73593
455.01411, 20.69351
456.01411, 20.64781
457.01411, 20.60885
458.01411, 20.56960
459.01411, 20.53185
460.01411, 20.49681
461.01411, 20.46000
462.01411, 20.41854
463.01411, 20.38455
464.01411, 20.34843
465.01411, 20.31451
466.01411, 20.27604
467.01411, 20.24376
468.01411, 20.21167
469.01411, 20.17948
470.01411, 20.14820
471.01411, 20.11382
472.01411, 20.08703
473.01411, 20.05563
474.01411, 20.02582
475.01411, 19.99530
476.01411, 19.96398
477.01411, 19.93051
478.01411, 19.90071
479.01411, 19.87054
480.01411, 19.84522
481.01411, 19.82088
482.01411, 19.79082
483.01411, 19.76326
484.01411, 19.73456
485.01411, 19.70434
486.01411, 19.67749
487.01411, 19.65229
488.01411, 19.62516
489.01411, 19.60011
490.01411, 19.57266
491.01411, 19.54670
492.01411, 19.52390
493.01411, 19.49622
494.01411, 19.46882
495.01411, 19.44639
496.01411, 19.42115
497.01411, 19.39536
498.01411, 19.36530
499.01411, 19.34547
500.01411, 19.32037
501.01411, 19.29741
502.01411, 19.27361
503.01411, 19.25157
504.01411, 19.22826
505.01411, 19.20627
506.01411, 19.17889
507.01411, 19.15858
508.01411, 19.12874
509.01411, 19.11055
510.01411, 19.08747
511.01411, 19.06735
512.01411, 19.04735
513.01411, 19.01997
514.01411, 18.99435
515.01411, 18.97874
516.01411, 18.95573
517.01411, 18.93388
518.01411, 18.90927
519.01411, 18.88612
520.01411, 18.86425
521.01411, 18.83990
522.01411, 18.82190
523.01411, 18.79355
524.01411, 18.77581
525.01411, 18.76244
526.01411, 18.74365
527.01411, 18.72067
528.01411, 18.69637
529.01411, 18.67998
530.01411, 18.65776
531.01411, 18.63098
532.01411, 18.61893
533.01411, 18.60379
534.01411, 18.57538
535.01411, 18.55751
536.01411, 18.54108
537.01411, 18.51410
538.01411, 18.50730
539.01411, 18.48547
540.01411, 18.46435
541.01411, 18.44146
542.01411, 18.42172
543.01411, 18.40090
544.01411, 18.38261
545.01411, 18.37117
546.01411, 18.35085
547.01411, 18.32732
548.01411, 18.31010
549.01411, 18.29213
550.01411, 18.27733
551.01411, 18.26247
552.01411, 18.24306
553.01411, 18.21883
554.01411, 18.20766
555.01411, 18.18739
556.01411, 18.16698
557.01411, 18.15191
558.01411, 18.14106
559.01411, 18.12051
560.01411, 18.10717
561.01411, 18.08391
562.01411, 18.06255
563.01411, 18.04606
564.01411, 18.03967
565.01411, 18.01749
566.01411, 17.99687
567.01411, 17.98006
568.01411, 17.96193
569.01411, 17.94500
570.01411, 17.93174
571.01411, 17.91357
572.01411, 17.89614
573.01411, 17.88339
574.01411, 17.87122
575.01411, 17.85949
576.01411, 17.83674
577.01411, 17.81885
578.01411, 17.80787
579.01411, 17.79102
580.01411, 17.77166
581.01411, 17.75854
582.01411, 17.74633
583.01411, 17.73393
584.01411, 17.71682
585.01411, 17.70096
586.01411, 17.68751
587.01411, 17.67277
588.01411, 17.65636
589.01411, 17.63888
590.01411, 17.62355
591.01411, 17.60446
592.01411, 17.59416
