#FILE:                        13WaT18 5 K min N2 16.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 5 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   16.2.2007 7:57:49               
#CORR. FILE:                  correction 5K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.322                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/5.00(K/min)/800.0          
#SEGMENT:                     S1/2                            
Temp (c),Mass (%) 
247.04100, 93.77603
248.04100, 93.66159
249.04100, 93.54554
250.04100, 93.42411
251.04100, 93.29907
252.04100, 93.16097
253.04100, 93.02029
254.04100, 92.86155
255.04100, 92.69622
256.04100, 92.52111
257.04100, 92.33937
258.04100, 92.15032
259.04100, 91.94516
260.04100, 91.71415
261.04100, 91.48447
262.04100, 91.25798
263.04100, 90.99068
264.04100, 90.73879
265.04100, 90.45239
266.04100, 90.16744
267.04100, 89.85680
268.04100, 89.53650
269.04100, 89.21444
270.04100, 88.87068
271.04100, 88.51484
272.04100, 88.14722
273.04100, 87.76879
274.04100, 87.37954
275.04100, 86.98597
276.04100, 86.57551
277.04100, 86.15063
278.04100, 85.72534
279.04100, 85.30197
280.04100, 84.85588
281.04100, 84.40413
282.04100, 83.95503
283.04100, 83.50064
284.04100, 83.04033
285.04100, 82.57569
286.04100, 82.11398
287.04100, 81.64535
288.04100, 81.17415
289.04100, 80.70280
290.04100, 80.23643
291.04100, 79.76252
292.04100, 79.28529
293.04100, 78.81420
294.04100, 78.34219
295.04100, 77.86264
296.04100, 77.39496
297.04100, 76.93095
298.04100, 76.45422
299.04100, 75.97404
300.04100, 75.50585
301.04100, 75.03894
302.04100, 74.56838
303.04100, 74.08176
304.04100, 73.61579
305.04100, 73.14166
306.04100, 72.65627
307.04100, 72.17508
308.04100, 71.70741
309.04100, 71.22428
310.04100, 70.73458
311.04100, 70.25332
312.04100, 69.77652
313.04100, 69.28618
314.04100, 68.80248
315.04100, 68.31647
316.04100, 67.83448
317.04100, 67.33258
318.04100, 66.84568
319.04100, 66.34745
320.04100, 65.85203
321.04100, 65.35918
322.04100, 64.86378
323.04100, 64.36852
324.04100, 63.87069
325.04100, 63.37603
326.04100, 62.87302
327.04100, 62.37209
328.04100, 61.86355
329.04100, 61.34984
330.04100, 60.83467
331.04100, 60.32225
332.04100, 59.79148
333.04100, 59.25991
334.04100, 58.72414
335.04100, 58.16657
336.04100, 57.60448
337.04100, 57.03369
338.04100, 56.43452
339.04100, 55.82081
340.04100, 55.18949
341.04100, 54.52993
342.04100, 53.83002
343.04100, 52.99964
344.04100, 52.20205
345.04100, 51.40806
346.04100, 50.56964
347.04100, 49.62573
348.04100, 48.92951
349.04100, 47.88593
350.04100, 46.86342
351.04100, 45.72722
352.04100, 44.51621
353.04100, 43.34373
354.04100, 42.17188
355.04100, 40.97288
356.04100, 39.81281
357.04100, 38.47293
358.04100, 37.04364
359.04100, 35.76433
360.04100, 34.56555
361.04100, 33.23311
362.04100, 32.20057
363.04100, 31.15660
364.04100, 29.97286
365.04100, 29.00369
366.04100, 28.28527
367.04100, 27.60185
368.04100, 26.88622
369.04100, 26.37044
370.04100, 25.88584
371.04100, 25.47754
372.04100, 25.14879
373.04100, 24.87890
374.04100, 24.67237
375.04100, 24.48266
376.04100, 24.33192
377.04100, 24.21157
378.04100, 24.10158
379.04100, 23.99840
380.04100, 23.91479
381.04100, 23.82462
382.04100, 23.73813
383.04100, 23.66286
384.04100, 23.58458
385.04100, 23.50683
386.04100, 23.43098
387.04100, 23.36066
388.04100, 23.28357
389.04100, 23.21642
390.04100, 23.14108
391.04100, 23.06935
392.04100, 23.00084
393.04100, 22.92961
394.04100, 22.85663
395.04100, 22.79071
396.04100, 22.72572
397.04100, 22.65348
398.04100, 22.58187
399.04100, 22.51343
400.04100, 22.44710
401.04100, 22.37981
402.04100, 22.30534
403.04100, 22.23744
404.04100, 22.16513
405.04100, 22.10296
406.04100, 22.03203
407.04100, 21.96449
408.04100, 21.89214
409.04100, 21.82755
410.04100, 21.75411
411.04100, 21.68575
412.04100, 21.61699
413.04100, 21.55439
414.04100, 21.49029
415.04100, 21.42186
416.04100, 21.35638
417.04100, 21.29025
418.04100, 21.22752
419.04100, 21.16135
420.04100, 21.10231
421.04100, 21.04111
422.04100, 20.98073
423.04100, 20.91390
424.04100, 20.85730
425.04100, 20.79828
426.04100, 20.74243
427.04100, 20.68889
428.04100, 20.62870
429.04100, 20.57121
430.04100, 20.51801
431.04100, 20.46723
432.04100, 20.41396
433.04100, 20.35936
434.04100, 20.30642
435.04100, 20.25528
436.04100, 20.19977
437.04100, 20.14849
438.04100, 20.09752
439.04100, 20.05527
440.04100, 20.00372
441.04100, 19.96305
442.04100, 19.91520
443.04100, 19.86711
444.04100, 19.82197
445.04100, 19.77457
446.04100, 19.73488
447.04100, 19.69481
448.04100, 19.65189
449.04100, 19.60930
450.04100, 19.56438
451.04100, 19.52268
452.04100, 19.48392
453.04100, 19.44867
454.04100, 19.40640
455.04100, 19.36424
456.04100, 19.33068
457.04100, 19.29518
458.04100, 19.25491
459.04100, 19.22231
