s,C,C
Time,T_b45mmTC1,T_b13mmTC2
318,283.06,38.16
319,283.64,38.19
320,284.2,38.25
321,284.77,38.29
322,285.3,38.39
323,285.86,38.44
324,286.37,38.48
325,286.95,38.54
326,287.47,38.61
327,288.04,38.65
328,288.57,38.74
329,289.09,38.81
330,289.63,38.83
331,290.15,38.93
332,290.72,38.98
333,291.23,39.08
334,291.78,39.1
335,292.26,39.13
336,292.78,39.29
337,293.3,39.28
338,293.81,39.33
339,294.33,39.46
340,294.88,39.46
341,295.34,39.58
342,295.89,39.64
343,296.39,39.71
344,296.93,39.73
345,297.53,39.81
346,297.89,39.92
347,298.41,39.94
348,298.89,40.11
349,299.42,40.08
350,299.91,40.17
351,300.43,40.23
352,300.93,40.26
353,301.47,40.34
354,301.91,40.44
355,302.41,40.49
356,302.86,40.57
357,303.3,40.71
358,303.77,40.72
359,304.24,40.79
360,304.67,40.85
361,305.18,40.93
362,305.63,41.02
363,306.09,41.07
364,306.62,41.13
365,307.03,41.19
366,307.46,41.33
367,307.98,41.41
368,308.38,41.45
369,308.88,41.51
370,309.37,41.6
371,309.83,41.63
372,310.34,41.75
373,310.82,41.84
374,311.3,41.91
375,311.78,42.01
376,312.2,42.07
377,312.65,42.11
378,313.11,42.26
379,313.5,42.38
380,313.94,42.38
381,314.47,42.45
382,314.92,42.54
383,315.31,42.72
384,315.75,42.69
385,316.22,42.77
386,316.64,42.88
387,317.09,42.94
388,317.51,42.99
389,317.98,43.11
390,318.54,43.23
391,318.93,43.32
392,319.39,43.39
393,319.9,43.49
394,320.37,43.58
395,320.76,43.62
396,321.2,43.69
397,321.59,43.87
398,322.02,43.93
399,322.47,43.99
400,322.82,44.07
401,323.27,44.2
402,323.62,44.28
403,324.03,44.34
404,324.4,44.46
405,324.82,44.58
406,325.16,44.66
407,325.54,44.68
408,326,44.8
409,326.47,44.89
410,326.75,45.02
411,327.28,45.11
412,327.62,45.18
413,328.07,45.31
414,328.46,45.35
415,328.86,45.46
416,329.28,45.58
417,329.68,45.7
418,330.09,45.8
419,330.54,45.89
420,330.95,45.98
421,331.26,46.07
422,331.64,46.18
423,332.07,46.26
424,332.42,46.38
425,332.82,46.44
426,333.17,46.54
427,333.56,46.59
428,333.92,46.75
429,334.28,46.88
430,334.64,46.96
431,335.07,47.06
432,335.46,47.15
433,335.79,47.22
434,336.21,47.32
435,336.57,47.51
436,336.89,47.53
437,337.29,47.68
438,337.62,47.76
439,337.96,47.86
440,338.37,47.93
441,338.68,48.04
442,338.99,48.16
443,339.41,48.28
444,339.74,48.38
445,340.09,48.48
446,340.47,48.61
447,340.88,48.69
448,341.26,48.82
449,341.65,48.92
450,342.06,49.05
451,342.46,49.15
452,342.81,49.24
453,343.25,49.31
454,343.62,49.43
455,343.97,49.56
456,344.34,49.65
457,344.73,49.79
458,345.08,49.89
459,345.37,50
460,345.71,50.09
461,346.06,50.22
462,346.41,50.34
463,346.76,50.44
464,347.14,50.58
465,347.5,50.72
466,347.9,50.79
467,348.22,50.97
468,348.52,50.97
469,348.87,51.15
470,349.15,51.21
471,349.51,51.3
472,349.85,51.48
473,350.2,51.58
474,350.59,51.73
475,351.01,51.83
476,351.28,51.94
477,351.57,52.03
478,351.99,52.19
479,352.34,52.35
480,352.62,52.38
481,352.94,52.57
482,353.28,52.61
483,353.57,52.77
484,353.98,52.87
485,354.3,53
486,354.65,53.12
487,354.94,53.28
488,355.26,53.35
489,355.6,53.43
490,355.95,53.58
491,356.27,53.69
492,356.57,53.85
493,356.91,53.96
494,357.17,54.1
495,357.43,54.17
496,357.78,54.33
497,358.05,54.46
498,358.38,54.61
499,358.67,54.7
500,359.07,54.82
501,359.36,54.94
502,359.74,55.1
503,360.02,55.19
504,360.33,55.34
505,360.61,55.45
506,361.04,55.58
507,361.28,55.7
508,361.6,55.84
509,361.87,55.92
510,362.19,56.08
511,362.52,56.2
512,362.83,56.33
513,363.16,56.49
514,363.39,56.63
515,363.76,56.75
516,364.01,56.9
517,364.26,57.01
518,364.57,57.14
519,364.76,57.28
520,365.04,57.4
521,365.29,57.56
522,365.6,57.6
523,365.86,57.8
524,366.2,57.91
525,366.52,58.04
526,366.76,58.17
527,367.11,58.27
528,367.43,58.42
529,367.75,58.62
530,368.02,58.66
531,368.3,58.75
532,368.65,58.9
533,368.93,59.08
534,369.23,59.2
535,369.56,59.33
536,369.88,59.43
537,370.17,59.59
538,370.48,59.73
539,370.82,59.84
540,371.09,60.04
541,371.42,60.14
542,371.76,60.26
543,372.06,60.39
544,372.35,60.49
545,372.61,60.66
546,372.94,60.79
547,373.23,60.94
548,373.51,61.07
549,373.78,61.21
550,374.14,61.32
551,374.37,61.47
552,374.65,61.62
553,375.01,61.77
554,375.28,61.92
555,375.56,62.05
556,375.87,62.18
557,376.11,62.31
558,376.45,62.4
559,376.69,62.6
560,377.01,62.68
561,377.24,62.84
562,377.48,62.97
563,377.7,63.08
564,378.04,63.25
565,378.23,63.44
566,378.49,63.49
567,378.75,63.66
568,379,63.78
569,379.24,63.95
570,379.5,64.08
571,379.72,64.18
572,379.99,64.42
573,380.21,64.49
574,380.44,64.57
575,380.6,64.78
576,380.94,64.9
577,381.18,65.04
578,381.42,65.19
579,381.77,65.33
580,381.98,65.48
581,382.18,65.62
582,382.46,65.71
583,382.69,65.89
584,383,66.07
585,383.25,66.17
586,383.49,66.32
587,383.85,66.43
588,384.12,66.61
589,384.42,66.78
590,384.63,66.91
591,384.88,67.02
592,385.17,67.21
593,385.39,67.29
594,385.64,67.48
595,385.83,67.6
596,386.05,67.69
597,386.39,67.87
598,386.56,68.06
599,386.78,68.2
600,387.07,68.31
601,387.3,68.49
602,387.58,68.62
603,387.84,68.73
604,388.13,68.89
605,388.42,69.04
606,388.71,69.13
607,389.03,69.31
608,389.32,69.43
609,389.53,69.56
610,389.8,69.72
611,390.01,69.86
612,390.3,70.02
613,390.55,70.16
614,390.77,70.29
615,391.04,70.43
616,391.29,70.55
617,391.59,70.7
618,391.8,70.89
619,392.07,71
620,392.29,71.18
621,392.6,71.31
622,392.9,71.42
623,393.15,71.62
624,393.42,71.74
625,393.7,71.89
626,393.93,72.03
627,394.17,72.2
628,394.44,72.31
629,394.64,72.5
630,394.86,72.58
631,395.12,72.76
632,395.36,72.87
633,395.62,73
634,395.85,73.2
635,396.08,73.32
636,396.32,73.47
637,396.49,73.62
638,396.7,73.74
639,396.97,73.88
640,397.2,74.09
641,397.43,74.21
642,397.67,74.32
643,397.93,74.48
644,398.16,74.62
645,398.46,74.79
646,398.65,74.89
647,398.86,75.09
648,399.11,75.2
649,399.38,75.36
650,399.67,75.45
651,399.92,75.63
652,400.12,75.78
653,400.37,75.9
654,400.67,76.02
655,400.95,76.2
656,401.15,76.31
657,401.4,76.51
658,401.62,76.61
659,401.92,76.74
660,402.1,76.92
661,402.32,77.07
662,402.53,77.17
663,402.75,77.31
664,402.88,77.49
665,403.09,77.67
666,403.24,77.75
667,403.37,77.9
668,403.61,78.07
669,403.76,78.21
670,403.98,78.33
671,404.17,78.45
672,404.32,78.64
673,404.5,78.77
674,404.66,78.92
675,404.85,79.05
676,404.99,79.26
677,405.16,79.36
678,405.37,79.49
679,405.55,79.62
680,405.76,79.79
681,405.96,79.94
682,406.14,80.1
683,406.41,80.33
684,406.55,80.46
685,406.74,80.49
686,407.02,80.68
687,407.23,80.8
688,407.41,80.94
689,407.67,81.13
690,407.84,81.24
691,408.09,81.44
692,408.31,81.57
693,408.41,81.67
694,408.58,81.85
695,408.89,81.94
696,409.12,82.09
697,409.29,82.2
698,409.54,82.36
699,409.7,82.49
700,409.93,82.66
701,410.18,82.78
702,410.35,82.95
703,410.56,83.1
704,410.75,83.24
705,410.96,83.38
706,411.23,83.53
707,411.44,83.64
708,411.66,83.85
709,411.81,83.96
710,411.95,84.11
711,412.16,84.21
712,412.32,84.38
713,412.53,84.54
714,412.74,84.67
715,412.92,84.85
716,413.05,84.94
717,413.23,85.06
718,413.37,85.21
719,413.54,85.38
720,413.71,85.5
721,413.89,85.67
722,414.07,85.78
723,414.27,85.91
724,414.39,86.08
725,414.56,86.18
726,414.73,86.34
727,414.9,86.47
728,415.06,86.65
729,415.24,86.78
730,415.31,86.92
731,415.49,87.08
732,415.65,87.2
733,415.72,87.34
734,415.9,87.45
735,416.06,87.59
736,416.21,87.75
737,416.4,87.84
738,416.61,88.05
739,416.79,88.25
740,417.05,88.29
741,417.25,88.44
742,417.4,88.65
743,417.6,88.71
744,417.75,88.86
745,418,89.01
746,418.14,89.17
747,418.4,89.31
748,418.62,89.42
749,418.8,89.55
750,419.1,89.7
751,419.26,89.84
752,419.5,90.01
753,419.71,90.08
754,419.92,90.28
755,420.1,90.42
756,420.29,90.57
757,420.49,90.66
758,420.64,90.76
759,420.96,90.96
760,421.06,91.08
761,421.31,91.17
762,421.42,91.35
763,421.58,91.5
764,421.7,91.63
765,421.86,91.81
766,422.04,91.9
767,422.22,92.03
768,422.36,92.15
769,422.61,92.3
770,422.64,92.43
771,422.76,92.58
772,422.96,92.7
773,423.08,92.78
774,423.25,92.97
775,423.43,93.1
776,423.6,93.25
777,423.86,93.39
778,424,93.59
779,424.22,93.66
780,424.35,93.88
781,424.52,93.92
782,424.62,94.15
783,424.85,94.25
784,425.05,94.36
785,425.26,94.48
786,425.44,94.66
787,425.64,94.77
788,425.82,94.87
789,426,95.05
790,426.22,95.17
791,426.35,95.34
792,426.56,95.43
793,426.77,95.59
794,426.99,95.72
795,427.14,95.82
796,427.39,95.95
797,427.49,96.08
798,427.68,96.22
799,427.89,96.36
800,428.09,96.54
801,428.21,96.6
802,428.34,96.76
803,428.47,96.92
804,428.6,96.99
805,428.73,97.18
806,428.88,97.29
807,429.01,97.44
808,429.17,97.54
809,429.3,97.7
810,429.52,97.85
811,429.71,97.96
812,429.87,98.08
813,430.03,98.21
814,430.24,98.32
815,430.38,98.5
816,430.53,98.64
817,430.67,98.7
818,430.82,98.84
819,430.94,99.03
820,431.11,99.15
821,431.3,99.29
822,431.44,99.37
823,431.68,99.49
824,431.91,99.69
825,432.09,99.78
826,432.25,99.88
827,432.48,100.01
828,432.62,100.16
829,432.75,100.29
830,432.92,100.43
831,433.12,100.53
832,433.31,100.65
833,433.46,100.8
834,433.64,100.94
835,433.78,101.05
836,433.92,101.21
837,434,101.36
838,434.09,101.39
