Time,Mass,Temp1,HRR,Thickness,Temp2
 6.2455327E+001, 1.2482201E+001, 3.0663722E+002, 6.8366164E-001, 4.9825943E-002, 2.7155143E+002
 6.3618584E+001, 1.2479264E+001, 3.0862674E+002, 7.7019188E-001, 4.9823033E-002, 2.7360588E+002
 6.4827306E+001, 1.2476308E+001, 3.1139608E+002, 8.6656032E-001, 4.9820107E-002, 2.7593966E+002
 6.6055081E+001, 1.2473282E+001, 3.1316339E+002, 9.8266265E-001, 4.9817116E-002, 2.7831295E+002
 6.7282922E+001, 1.2470227E+001, 3.1481352E+002, 1.0903314E+000, 4.9814102E-002, 2.8027573E+002
 6.8430084E+001, 1.2467295E+001, 3.1700435E+002, 1.2407837E+000, 4.9811213E-002, 2.8234096E+002
 6.9636758E+001, 1.2464414E+001, 3.1872885E+002, 1.3852283E+000, 4.9808379E-002, 2.8433623E+002
 7.0847200E+001, 1.2461458E+001, 3.2095014E+002, 1.5243755E+000, 4.9805477E-002, 2.8643867E+002
 7.2023764E+001, 1.2458559E+001, 3.2266088E+002, 1.7040636E+000, 4.9802636E-002, 2.8846861E+002
 7.3248463E+001, 1.2455637E+001, 3.2484721E+002, 1.8933418E+000, 4.9799780E-002, 2.9045557E+002
 7.4439767E+001, 1.2452712E+001, 3.2704344E+002, 2.0738373E+000, 4.9796927E-002, 2.9267859E+002
 7.5623914E+001, 1.2449841E+001, 3.2896364E+002, 2.3146826E+000, 4.9794135E-002, 2.9471933E+002
 7.6840054E+001, 1.2446951E+001, 3.3034146E+002, 2.5488371E+000, 4.9791331E-002, 2.9656825E+002
 7.8051847E+001, 1.2444016E+001, 3.3217905E+002, 2.7934374E+000, 4.9788493E-002, 2.9844880E+002
 7.9245096E+001, 1.2441132E+001, 3.3324998E+002, 3.1050682E+000, 4.9785714E-002, 3.0003533E+002
 8.0455899E+001, 1.2438235E+001, 3.3506219E+002, 3.3697475E+000, 4.9782931E-002, 3.0168554E+002
 8.1631457E+001, 1.2435351E+001, 3.3711798E+002, 3.6847782E+000, 4.9780171E-002, 3.0359551E+002
 8.2837462E+001, 1.2432488E+001, 3.3873746E+002, 4.0400377E+000, 4.9777441E-002, 3.0543063E+002
 8.4040309E+001, 1.2429579E+001, 3.4063931E+002, 4.4256988E+000, 4.9774681E-002, 3.0724499E+002
 8.5239550E+001, 1.2426690E+001, 3.4290097E+002, 4.8732446E+000, 4.9771954E-002, 3.0920734E+002
 8.6434151E+001, 1.2423798E+001, 3.4455074E+002, 5.2862280E+000, 4.9769238E-002, 3.1113547E+002
 8.7654221E+001, 1.2420864E+001, 3.4606116E+002, 5.7008895E+000, 4.9766497E-002, 3.1296971E+002
 8.8814981E+001, 1.2417971E+001, 3.4728152E+002, 6.1976788E+000, 4.9763811E-002, 3.1442450E+002
 9.0017234E+001, 1.2415092E+001, 3.4842344E+002, 6.6733368E+000, 4.9761152E-002, 3.1587368E+002
 9.1256837E+001, 1.2412094E+001, 3.5030472E+002, 7.2200189E+000, 4.9758400E-002, 3.1742125E+002
 9.2422000E+001, 1.2409139E+001, 3.5263017E+002, 7.7651759E+000, 4.9755705E-002, 3.1948863E+002
 9.3622996E+001, 1.2406214E+001, 3.5305098E+002, 8.3212405E+000, 4.9753055E-002, 3.2085969E+002
 9.4827142E+001, 1.2403224E+001, 3.5488200E+002, 9.0122552E+000, 4.9750367E-002, 3.2222887E+002
 9.6051569E+001, 1.2400180E+001, 3.5672387E+002, 9.7236004E+000, 4.9747652E-002, 3.2403348E+002
 9.7247782E+001, 1.2397120E+001, 3.5818695E+002, 1.0397795E+001, 4.9744945E-002, 3.2566487E+002
 9.8444068E+001, 1.2394082E+001, 3.6038787E+002, 1.1225793E+001, 4.9742281E-002, 3.2739540E+002
 9.9600988E+001, 1.2391074E+001, 3.6124678E+002, 1.2104987E+001, 4.9739666E-002, 3.2898094E+002
