Time,Mass,Temp1,HRR,Thickness,Temp2
 0.0000000E+000, 1.2656410E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002, 2.0000000E+001
 1.5000000E+000, 1.2656406E+001, 5.2647793E+001, 0.0000000E+000, 4.9999995E-002, 2.6107563E+001
 2.5000000E+000, 1.2656341E+001, 1.0648300E+002, 0.0000000E+000, 4.9999931E-002, 5.3981162E+001
 3.6825451E+000, 1.2655490E+001, 1.2925074E+002, 0.0000000E+000, 4.9999080E-002, 7.5183126E+001
 4.8564064E+000, 1.2652146E+001, 1.4197788E+002, 1.3665696E-007, 4.9995740E-002, 9.0016342E+001
 6.0315753E+000, 1.2646650E+001, 1.5271755E+002, 1.4142901E-006, 4.9990244E-002, 1.0105196E+002
 7.2459367E+000, 1.2640500E+001, 1.6515430E+002, 5.5292083E-006, 4.9984089E-002, 1.1110381E+002
 8.4088330E+000, 1.2634446E+001, 1.7760564E+002, 2.0303063E-005, 4.9978034E-002, 1.2094731E+002
 9.6222873E+000, 1.2628475E+001, 1.8928386E+002, 6.2873152E-005, 4.9972061E-002, 1.3097432E+002
 1.0802747E+001, 1.2622624E+001, 2.0035955E+002, 1.7497470E-004, 4.9966214E-002, 1.4141338E+002
 1.2040299E+001, 1.2616820E+001, 2.1089741E+002, 4.4018462E-004, 4.9960414E-002, 1.5212447E+002
 1.3242053E+001, 1.2611111E+001, 2.2095862E+002, 1.0232232E-003, 4.9954707E-002, 1.6243919E+002
 1.4435688E+001, 1.2605598E+001, 2.3048929E+002, 2.1524131E-003, 4.9949196E-002, 1.7216034E+002
 1.5661858E+001, 1.2600158E+001, 2.3965575E+002, 4.2687341E-003, 4.9943752E-002, 1.8152834E+002
 1.6807885E+001, 1.2594938E+001, 2.4815818E+002, 7.9337974E-003, 4.9938524E-002, 1.9029395E+002
 1.8003230E+001, 1.2589896E+001, 2.5596787E+002, 1.4091948E-002, 4.9933470E-002, 1.9856836E+002
 1.9228679E+001, 1.2584813E+001, 2.6307162E+002, 2.4242125E-002, 4.9928374E-002, 2.0637284E+002
 2.0424038E+001, 1.2579774E+001, 2.7058462E+002, 3.9714832E-002, 4.9923331E-002, 2.1398717E+002
 2.1615856E+001, 1.2574912E+001, 2.7740937E+002, 6.3958961E-002, 4.9918472E-002, 2.2131446E+002
 2.2847358E+001, 1.2570054E+001, 2.8384413E+002, 9.8250178E-002, 4.9913621E-002, 2.2824778E+002
 2.4027396E+001, 1.2565312E+001, 2.9068765E+002, 1.4718699E-001, 4.9908889E-002, 2.3501327E+002
 2.5270113E+001, 1.2560622E+001, 2.9736192E+002, 2.1837192E-001, 4.9904213E-002, 2.4186966E+002
 2.6405763E+001, 1.2556084E+001, 3.0280903E+002, 3.1505607E-001, 4.9899689E-002, 2.4811078E+002
 2.7617579E+001, 1.2551661E+001, 3.0842412E+002, 4.3201241E-001, 4.9895278E-002, 2.5392454E+002
 2.8803646E+001, 1.2547212E+001, 3.1358237E+002, 6.0194855E-001, 4.9890847E-002, 2.5970789E+002
 3.0041728E+001, 1.2542762E+001, 3.1900775E+002, 8.1245480E-001, 4.9886424E-002, 2.6524955E+002
 3.1237309E+001, 1.2538368E+001, 3.2441409E+002, 1.1028848E+000, 4.9882067E-002, 2.7092068E+002
 3.2418271E+001, 1.2534127E+001, 3.2972469E+002, 1.4383114E+000, 4.9877872E-002, 2.7625072E+002
 3.3619899E+001, 1.2529889E+001, 3.3420469E+002, 1.8686920E+000, 4.9873695E-002, 2.8144606E+002
 3.4842366E+001, 1.2525618E+001, 3.3870556E+002, 2.3799853E+000, 4.9869501E-002, 2.8627693E+002
 3.6022716E+001, 1.2521434E+001, 3.4305154E+002, 3.0528716E+000, 4.9865412E-002, 2.9104138E+002
 3.7242691E+001, 1.2517279E+001, 3.4812859E+002, 3.8748380E+000, 4.9861377E-002, 2.9582890E+002
 3.8462675E+001, 1.2513055E+001, 3.5201915E+002, 4.7922489E+000, 4.9857309E-002, 3.0052948E+002
 3.9601819E+001, 1.2508980E+001, 3.5566660E+002, 5.9277109E+000, 4.9853420E-002, 3.0464261E+002
 4.0829719E+001, 1.2504897E+001, 3.6007379E+002, 7.3269293E+000, 4.9849567E-002, 3.0877988E+002
 4.2029321E+001, 1.2500708E+001, 3.6553231E+002, 8.8466313E+000, 4.9845666E-002, 3.1366427E+002
 4.3241463E+001, 1.2496508E+001, 3.6980883E+002, 1.0854658E+001, 4.9841817E-002, 3.1830724E+002
 4.4441425E+001, 1.2492278E+001, 3.7320543E+002, 1.3019773E+001, 4.9838010E-002, 3.2238456E+002
 4.5624124E+001, 1.2488073E+001, 3.7627369E+002, 1.5533461E+001, 4.9834300E-002, 3.2609413E+002
 4.6833152E+001, 1.2483783E+001, 3.8109636E+002, 1.8314021E+001, 4.9830599E-002, 3.2995352E+002
 4.8018335E+001, 1.2479417E+001, 3.8508581E+002, 2.1634707E+001, 4.9826927E-002, 3.3436650E+002
 4.9218113E+001, 1.2474971E+001, 3.8894295E+002, 2.5373860E+001, 4.9823297E-002, 3.3803949E+002
 5.0412911E+001, 1.2470394E+001, 3.9248669E+002, 2.9524106E+001, 4.9819681E-002, 3.4198077E+002
 5.1636613E+001, 1.2465663E+001, 3.9647256E+002, 3.4487489E+001, 4.9816072E-002, 3.4545970E+002
 5.2834418E+001, 1.2460777E+001, 4.0305398E+002, 3.9384940E+001, 4.9812483E-002, 3.5036647E+002
 5.4004643E+001, 1.2455840E+001, 4.0721625E+002, 4.4427061E+001, 4.9808991E-002, 3.5472366E+002
 5.5217310E+001, 1.2450733E+001, 4.1235639E+002, 5.1305440E+001, 4.9805528E-002, 3.5914570E+002
 5.6419869E+001, 1.2445309E+001, 4.1488343E+002, 5.8270558E+001, 4.9802021E-002, 3.6290225E+002
 5.7601839E+001, 1.2439729E+001, 4.1793365E+002, 6.6729378E+001, 4.9798592E-002, 3.6613834E+002
 5.8831100E+001, 1.2433807E+001, 4.2242288E+002, 7.4718510E+001, 4.9795140E-002, 3.6907765E+002
 6.0014257E+001, 1.2427644E+001, 4.2901667E+002, 8.3291835E+001, 4.9791711E-002, 3.7412786E+002
 6.1212293E+001, 1.2421255E+001, 4.3313893E+002, 9.3232993E+001, 4.9788344E-002, 3.7838203E+002
 6.2427007E+001, 1.2414446E+001, 4.3901510E+002, 1.0339603E+002, 4.9784952E-002, 3.8219973E+002
 6.3602115E+001, 1.2407361E+001, 4.4212822E+002, 1.1422167E+002, 4.9781612E-002, 3.8649227E+002
 6.4801211E+001, 1.2399998E+001, 4.4786819E+002, 1.2436485E+002, 4.9778312E-002, 3.8970227E+002
 6.6003804E+001, 1.2392207E+001, 4.5591040E+002, 1.3453841E+002, 4.9774987E-002, 3.9594337E+002
 6.7224978E+001, 1.2384049E+001, 4.5353730E+002, 1.4229381E+002, 4.9771649E-002, 3.9737908E+002
 6.8401107E+001, 1.2375717E+001, 4.5860847E+002, 1.5180149E+002, 4.9768365E-002, 4.0054837E+002
 6.9606191E+001, 1.2367072E+001, 4.5758935E+002, 1.6336074E+002, 4.9765113E-002, 4.0235342E+002
 7.0820684E+001, 1.2358005E+001, 4.6426119E+002, 1.7090212E+002, 4.9761823E-002, 4.0424973E+002
 7.2028474E+001, 1.2348633E+001, 4.6615892E+002, 1.7919834E+002, 4.9758536E-002, 4.0816526E+002
 7.3202937E+001, 1.2339286E+001, 4.7604877E+002, 1.8273341E+002, 4.9755323E-002, 4.1186767E+002
 7.4418958E+001, 1.2329613E+001, 4.8787101E+002, 1.9476875E+002, 4.9752108E-002, 4.1836031E+002
 7.5605895E+001, 1.2319654E+001, 4.9194672E+002, 2.0127285E+002, 4.9748897E-002, 4.2414690E+002
 7.6808558E+001, 1.2309485E+001, 4.8692302E+002, 2.0336646E+002, 4.9745707E-002, 4.2613246E+002
 7.8020811E+001, 1.2299265E+001, 4.8671572E+002, 2.0661356E+002, 4.9742496E-002, 4.2545907E+002
 7.9213973E+001, 1.2288888E+001, 4.8723889E+002, 2.1329070E+002, 4.9739311E-002, 4.2762261E+002
 8.0417905E+001, 1.2278340E+001, 4.8970593E+002, 2.2177209E+002, 4.9736144E-002, 4.2789718E+002
 8.1617784E+001, 1.2267498E+001, 4.9892054E+002, 2.3171547E+002, 4.9732979E-002, 4.3201130E+002
 8.2808926E+001, 1.2256315E+001, 5.0595518E+002, 2.4260762E+002, 4.9729831E-002, 4.3676582E+002
 8.4008036E+001, 1.2244781E+001, 5.2328925E+002, 2.5480189E+002, 4.9726693E-002, 4.4551730E+002
 8.5215789E+001, 1.2232953E+001, 5.2152411E+002, 2.6006517E+002, 4.9723537E-002, 4.4928346E+002
 8.6418324E+001, 1.2220785E+001, 5.2608190E+002, 2.7432630E+002, 4.9720383E-002, 4.5407415E+002
 8.7608081E+001, 1.2208297E+001, 5.1934463E+002, 2.8708472E+002, 4.9717262E-002, 4.5518713E+002
 8.8817285E+001, 1.2195316E+001, 5.1927927E+002, 2.9912648E+002, 4.9714134E-002, 4.5362673E+002
 9.0018975E+001, 1.2181957E+001, 5.2200587E+002, 3.0304127E+002, 4.9710988E-002, 4.5728804E+002
 9.1215005E+001, 1.2168735E+001, 5.1664882E+002, 3.0112726E+002, 4.9707862E-002, 4.5642575E+002
 9.2407122E+001, 1.2155614E+001, 5.2287114E+002, 3.0064741E+002, 4.9704749E-002, 4.5818220E+002
 9.3613183E+001, 1.2142552E+001, 5.2748215E+002, 2.8895512E+002, 4.9701618E-002, 4.6144698E+002
 9.4812804E+001, 1.2129516E+001, 5.3737292E+002, 3.0687709E+002, 4.9698484E-002, 4.6644696E+002
