Time,Mass,Temp1,HRR,Thickness,Temp2
 0.0000000E+000, 1.2656410E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002, 2.0000000E+001
 1.5000000E+000, 1.2656406E+001, 3.6336435E+001, 0.0000000E+000, 4.9999996E-002, 2.3054860E+001
 3.0000000E+000, 1.2656393E+001, 6.6650744E+001, 0.0000000E+000, 4.9999983E-002, 3.9774017E+001
 4.7016673E+000, 1.2656324E+001, 8.3695810E+001, 0.0000000E+000, 4.9999914E-002, 5.5034652E+001
 6.1508920E+000, 1.2656071E+001, 9.5583171E+001, 0.0000000E+000, 4.9999661E-002, 6.6480095E+001
 7.6398919E+000, 1.2655427E+001, 1.0451238E+002, 0.0000000E+000, 4.9999018E-002, 7.5493704E+001
 9.0265933E+000, 1.2654178E+001, 1.1151648E+002, 0.0000000E+000, 4.9997767E-002, 8.2888851E+001
 1.0575956E+001, 1.2652144E+001, 1.1698615E+002, 0.0000000E+000, 4.9995730E-002, 8.8875733E+001
 1.2082259E+001, 1.2649272E+001, 1.2161997E+002, 0.0000000E+000, 4.9992854E-002, 9.3925047E+001
 1.3570462E+001, 1.2645873E+001, 1.2562252E+002, 0.0000000E+000, 4.9989455E-002, 9.8080833E+001
 1.5026413E+001, 1.2642177E+001, 1.2937880E+002, 1.0254591E-007, 4.9985763E-002, 1.0173802E+002
 1.6622682E+001, 1.2638110E+001, 1.3331509E+002, 3.4018912E-007, 4.9981701E-002, 1.0536974E+002
 1.8099400E+001, 1.2633893E+001, 1.3737561E+002, 7.7257678E-007, 4.9977486E-002, 1.0900792E+002
 1.9582108E+001, 1.2629776E+001, 1.4140816E+002, 1.1207479E-006, 4.9973368E-002, 1.1258262E+002
 2.1090625E+001, 1.2625635E+001, 1.4546767E+002, 1.9732437E-006, 4.9969221E-002, 1.1623413E+002
 2.2519375E+001, 1.2621589E+001, 1.4940702E+002, 3.0198262E-006, 4.9965162E-002, 1.1990372E+002
 2.4073517E+001, 1.2617481E+001, 1.5330326E+002, 4.8196894E-006, 4.9961036E-002, 1.2367937E+002
 2.5548695E+001, 1.2613354E+001, 1.5697385E+002, 7.4865332E-006, 4.9956891E-002, 1.2743119E+002
 2.7035690E+001, 1.2609334E+001, 1.6042959E+002, 1.1035544E-005, 4.9952868E-002, 1.3101779E+002
 2.8527650E+001, 1.2605314E+001, 1.6414450E+002, 1.6095206E-005, 4.9948858E-002, 1.3465792E+002
 3.0051837E+001, 1.2601291E+001, 1.6782936E+002, 2.3340261E-005, 4.9944843E-002, 1.3841116E+002
 3.1596784E+001, 1.2597232E+001, 1.7117691E+002, 3.3075506E-005, 4.9940785E-002, 1.4198401E+002
 3.3020634E+001, 1.2593322E+001, 1.7449828E+002, 4.6316245E-005, 4.9936880E-002, 1.4538915E+002
 3.4593600E+001, 1.2589422E+001, 1.7771267E+002, 6.3249509E-005, 4.9932986E-002, 1.4873965E+002
 3.6080041E+001, 1.2585485E+001, 1.8121320E+002, 8.7967816E-005, 4.9929057E-002, 1.5217901E+002
 3.7528265E+001, 1.2581756E+001, 1.8426966E+002, 1.1530751E-004, 4.9925331E-002, 1.5537798E+002
 3.9080219E+001, 1.2577937E+001, 1.8722238E+002, 1.5332895E-004, 4.9921510E-002, 1.5855310E+002
 4.0506331E+001, 1.2574194E+001, 1.9006121E+002, 1.9967180E-004, 4.9917764E-002, 1.6153874E+002
 4.2052945E+001, 1.2570507E+001, 1.9288499E+002, 2.6293137E-004, 4.9914077E-002, 1.6446627E+002
 4.3530390E+001, 1.2566794E+001, 1.9582292E+002, 3.3951588E-004, 4.9910366E-002, 1.6744163E+002
 4.5049036E+001, 1.2563131E+001, 1.9856507E+002, 4.2994007E-004, 4.9906706E-002, 1.7032999E+002
 4.6502423E+001, 1.2559536E+001, 2.0107320E+002, 5.4945196E-004, 4.9903114E-002, 1.7304234E+002
 4.8017321E+001, 1.2555965E+001, 2.0371876E+002, 6.8483172E-004, 4.9899547E-002, 1.7573057E+002
 4.9507985E+001, 1.2552392E+001, 2.0655563E+002, 8.5261340E-004, 4.9895980E-002, 1.7849644E+002
 5.1018109E+001, 1.2548838E+001, 2.0911067E+002, 1.0653202E-003, 4.9892432E-002, 1.8124792E+002
 5.2537919E+001, 1.2545291E+001, 2.1169772E+002, 1.2920730E-003, 4.9888888E-002, 1.8386728E+002
 5.4017937E+001, 1.2541799E+001, 2.1388788E+002, 1.6197122E-003, 4.9885396E-002, 1.8639762E+002
 5.5523168E+001, 1.2538362E+001, 2.1639191E+002, 1.9236170E-003, 4.9881958E-002, 1.8880281E+002
 5.7049760E+001, 1.2534884E+001, 2.1872668E+002, 2.3457904E-003, 4.9878480E-002, 1.9133532E+002
 5.8571438E+001, 1.2531428E+001, 2.2125722E+002, 2.8446735E-003, 4.9875023E-002, 1.9380715E+002
 6.0038850E+001, 1.2528055E+001, 2.2329572E+002, 3.4000068E-003, 4.9871649E-002, 1.9616462E+002
 6.1525004E+001, 1.2524740E+001, 2.2517109E+002, 3.9912449E-003, 4.9868332E-002, 1.9825712E+002
 6.3050627E+001, 1.2521406E+001, 2.2768752E+002, 4.8029035E-003, 4.9864995E-002, 2.0054577E+002
 6.4601754E+001, 1.2518002E+001, 2.2976085E+002, 5.5869268E-003, 4.9861592E-002, 2.0290235E+002
 6.6019604E+001, 1.2514757E+001, 2.3184507E+002, 6.6691389E-003, 4.9858346E-002, 2.0498779E+002
 6.7589683E+001, 1.2511511E+001, 2.3382569E+002, 7.6856142E-003, 4.9855100E-002, 2.0718166E+002
 6.9033412E+001, 1.2508230E+001, 2.3582951E+002, 9.0359341E-003, 4.9851818E-002, 2.0922421E+002
 7.0508198E+001, 1.2505104E+001, 2.3772250E+002, 1.0487960E-002, 4.9848692E-002, 2.1125822E+002
 7.2042472E+001, 1.2501898E+001, 2.3995773E+002, 1.2063387E-002, 4.9845485E-002, 2.1334959E+002
 7.3549944E+001, 1.2498651E+001, 2.4215451E+002, 1.3800896E-002, 4.9842238E-002, 2.1559798E+002
 7.5030585E+001, 1.2495500E+001, 2.4392294E+002, 1.5990962E-002, 4.9839086E-002, 2.1757448E+002
 7.6592164E+001, 1.2492308E+001, 2.4573053E+002, 1.8013293E-002, 4.9835893E-002, 2.1953901E+002
 7.8026800E+001, 1.2489167E+001, 2.4757332E+002, 2.0755878E-002, 4.9832749E-002, 2.2143531E+002
 7.9554999E+001, 1.2486113E+001, 2.4924282E+002, 2.3704004E-002, 4.9829690E-002, 2.2327542E+002
 8.1078116E+001, 1.2482967E+001, 2.5078354E+002, 2.6875257E-002, 4.9826538E-002, 2.2505021E+002
 8.2545933E+001, 1.2479892E+001, 2.5233246E+002, 3.0419789E-002, 4.9823457E-002, 2.2670320E+002
 8.4077398E+001, 1.2476820E+001, 2.5429071E+002, 3.3975954E-002, 4.9820380E-002, 2.2851904E+002
 8.5521485E+001, 1.2473795E+001, 2.5581579E+002, 3.8324479E-002, 4.9817349E-002, 2.3033109E+002
 8.7037194E+001, 1.2470785E+001, 2.5697390E+002, 4.3127180E-002, 4.9814335E-002, 2.3179313E+002
 8.8601209E+001, 1.2467678E+001, 2.5846122E+002, 4.7969478E-002, 4.9811225E-002, 2.3334717E+002
 9.0025396E+001, 1.2464674E+001, 2.6050420E+002, 5.4454146E-002, 4.9808218E-002, 2.3505919E+002
 9.1508060E+001, 1.2461758E+001, 2.6230530E+002, 5.8756349E-002, 4.9805300E-002, 2.3690835E+002
 9.3061285E+001, 1.2458717E+001, 2.6355001E+002, 6.6014901E-002, 4.9802259E-002, 2.3853879E+002
 9.4581806E+001, 1.2455676E+001, 2.6469283E+002, 7.4000739E-002, 4.9799218E-002, 2.3995665E+002
 9.6056312E+001, 1.2452702E+001, 2.6611668E+002, 8.1576155E-002, 4.9796246E-002, 2.4137273E+002
 9.7559027E+001, 1.2449755E+001, 2.6777695E+002, 8.9625647E-002, 4.9793300E-002, 2.4296024E+002
 9.9048302E+001, 1.2446812E+001, 2.6895595E+002, 9.9253937E-002, 4.9790359E-002, 2.4439824E+002
 1.0052093E+002, 1.2443886E+001, 2.7053439E+002, 1.0703454E-001, 4.9787436E-002, 2.4586057E+002
 1.0205694E+002, 1.2440939E+001, 2.7208156E+002, 1.2036002E-001, 4.9784493E-002, 2.4750122E+002
 1.0357721E+002, 1.2437936E+001, 2.7320642E+002, 1.3236325E-001, 4.9781494E-002, 2.4888171E+002
 1.0500787E+002, 1.2435036E+001, 2.7440243E+002, 1.4288378E-001, 4.9778600E-002, 2.5021978E+002
 1.0654674E+002, 1.2432138E+001, 2.7555452E+002, 1.5617789E-001, 4.9775708E-002, 2.5148193E+002
 1.0805085E+002, 1.2429173E+001, 2.7732223E+002, 1.7194558E-001, 4.9772750E-002, 2.5295512E+002
 1.0952575E+002, 1.2426263E+001, 2.7886462E+002, 1.8597032E-001, 4.9769847E-002, 2.5455330E+002
 1.1107878E+002, 1.2423311E+001, 2.8020377E+002, 2.0080925E-001, 4.9766905E-002, 2.5602791E+002
 1.1256301E+002, 1.2420358E+001, 2.8153709E+002, 2.2128717E-001, 4.9763962E-002, 2.5745697E+002
 1.1406184E+002, 1.2417443E+001, 2.8287029E+002, 2.3805348E-001, 4.9761058E-002, 2.5880781E+002
 1.1554703E+002, 1.2414524E+001, 2.8421720E+002, 2.5643900E-001, 4.9758150E-002, 2.6023200E+002
 1.1708619E+002, 1.2411573E+001, 2.8565491E+002, 2.8140600E-001, 4.9755212E-002, 2.6166279E+002
 1.1850115E+002, 1.2408712E+001, 2.8659890E+002, 3.0729864E-001, 4.9752363E-002, 2.6293732E+002
