Exported data,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
Peaks,,0,0.113665141,0.008826875,-2.630528831,0.365119167,12.87716607,0,0,0,24.48045178,-0.039296914,24.09513984,24.4410157,-0.000960456,-0.033873757,0,0,0,0,0.000195538,0,0
peak HRR (kW/m²),241.5937098,1,0.30534933,0,0,-0.0787615,-2.777791493,0,0,0.000209507,24.43248941,-0.077441113,24.04308991,24.38399909,-0.001888324,-0.066598153,0,0,0,0,0.000525303,0.000360421,0.209507236
peak EHC (MJ/kg),79.47715673,2,0.358550272,0,0,-0.000654167,-0.023071407,0,0,0.000541457,24.3718652,-0.065984081,23.97818744,24.31562847,-0.001604444,-0.056586174,0,0,0,0,0.000616831,0.000931488,0.270728519
peak MLR (g/s),0.55839825,3,0.406576585,0.252689466,-44.14734262,0.0456215,1.608996967,0,0,0.00092402,24.43856696,-0.082638116,24.03876052,24.37214302,-0.002014068,-0.07103294,0,0,0,0,0.000699457,0.001589632,0.308006822
peak SEA (m²/kg),389.017651,4,0.560201424,0,0,-0.049944083,-1.761447532,0,0,0.001407409,24.51154628,-0.046358549,24.10381395,24.43826141,-0.001132922,-0.03995635,0,0,0,0,0.000963764,0.002421242,0.351852368
peak COY (kg/kg),,5,0.59130992,1.440326575,-258.5208615,0.011640417,0.410538783,0,0,0.001983165,24.45161267,-0.123464507,24.04460036,24.37372997,-0.003009291,-0.10613284,0,0,0,0,0.001017287,0.003411767,0.396633028
peak CO2Y (kg/kg),,6,0.498503777,1.756611705,-146.9203577,0.0080465,0.28378712,0,0,0.002528072,24.51712407,-0.048381876,24.10582807,24.4346594,-0.001182195,-0.041694105,0,0,0,0,0.000857614,0.004349218,0.421345332
,,7,0.665483411,0,0,-0.0382945,-1.350585455,0,0,0.003110066,24.51383261,-0.034491435,24.10168952,24.42707569,-0.000842525,-0.029714499,0,0,0,0,0.001144904,0.005350477,0.444295083
Time To Peaks,,8,0.752450885,0,0,-0.02523825,-0.890112506,0,0,0.003819033,24.39597853,-0.116856531,23.98284668,24.30383644,-0.002840062,-0.100164422,0,0,0,0,0.001294538,0.006570198,0.477379092
t peak HRR (s),55,9,0.764949323,0.123053815,-3.801468806,0.17625925,6.216380405,0,0,0.004577733,24.45023504,-0.027511973,24.03445368,24.3546343,-0.000670044,-0.023631376,0,0,0,0,0.001316043,0.007875489,0.508636982
t peak EHC (s),388,10,0.90652783,0.414827666,-32.43840688,0.061962333,2.18531189,0,0,0.005413471,24.39891188,-0.082724059,23.98006554,24.29715618,-0.002009959,-0.070888036,0,0,0,0,0.001559646,0.009313333,0.541347141
t peak MLR (s),104,11,0.798335224,0,0,-0.034934917,-1.232098352,0,0,0.006265903,24.49384311,-0.040013937,24.06872057,24.39092863,-0.000975977,-0.034421142,0,0,0,0,0.001373486,0.010779899,0.56962754
t peak SEA (s),489,12,0.995578087,0.368066981,3.016029552,0.07669425,2.704882909,0,0,0.00716286,24.33571629,0.009534958,23.93428506,24.25937411,0.000231312,0.008158007,0.000115656,0.004079003,0,0,0.001712872,0.012323078,0.596904966
t peak COY (s),,13,0.996985414,0,0,-0.036097167,-1.273089041,0,0,0.008159141,24.19928227,-0.111150997,23.82613832,24.15331032,-0.002684665,-0.094683802,0.000231312,0.008158007,0,0,0.001715295,0.014037162,0.627626257
t peak CO2Y (s),,14,0.977554835,3.73267358,-60.30769498,0.007425667,0.261891326,0,0,0.009146411,23.98539315,-0.018687449,23.6391807,23.96393633,-0.000447825,-0.015794062,0.000231312,0.008158007,0,0,0.001681863,0.015735741,0.653315105
,,15,1.024187292,19.35664488,-1135.407168,0.00150025,0.052911406,0,0,0.010147283,23.99629659,-0.070983508,23.67044553,23.99704735,-0.001703395,-0.060075989,0.000231312,0.008158007,0,0,0.001762103,0.017457723,0.676485502
Test Results (between 0 and 1476 s),,16,1.176128887,0,0,-0.009749333,-0.343843314,0,0,0.011247441,24.05272324,-0.065438056,23.74462989,24.07581347,-0.001575474,-0.05556445,0.000231312,0.008158007,0,0,0.002023554,0.019350552,0.702965039
mean HRR (kW/m²),47.96808939,17,1.116554377,0.654065415,-12.00383535,0.048403083,1.70709894,0,0,0.012393782,24.07579963,-0.024087835,23.78806562,24.12099847,-0.000581023,-0.020491735,0.000231312,0.008158007,0,0,0.001921041,0.021322849,0.729046015
mean EHC (MJ/kg),17.64540236,18,1.047604378,0,0,-0.006868667,-0.242246832,0,0,0.013475862,24.04611847,-0.024543767,23.77399001,24.11052936,-0.000591763,-0.020870538,0.000231312,0.008158007,0,0,0.001802397,0.023184568,0.74865898
mean MLR (g/s),0.077120184,19,2.504576587,5.236208191,-79.42098799,0.01356225,0.478318756,0,0,0.015251952,23.92034074,-0.044872468,23.66751586,24.00419127,-0.001077127,-0.037988548,0.000231312,0.008158007,0,0,0.004309886,0.026240709,0.802734322
mean SEA (m²/kg),1.444161383,20,10.2658283,6.379578256,-3.440543991,0.045626417,1.60917037,0,0,0.021637155,24.07696981,-0.006491531,23.83864607,24.18222984,-0.00015698,-0.005536421,0.000231312,0.008158007,0,0,0.017682273,0.037236788,1.081857728
mean COY (kg/kg),,21,22.88123556,0,0,-0.03817275,-1.346291529,0,0,0.038210686,24.14908712,0.015952984,23.9277588,24.27565372,0.000387269,0.013658359,0.000424947,0.014987186,0,0,0.039472343,0.065814096,1.819556499
mean CO2Y (kg/kg),,22,38.66987158,17.57896627,8.346511349,0.062372583,2.199780748,0,0,0.06898624,24.12436882,0.021446701,23.92252923,24.27382486,0.000520593,0.018360495,0.000878878,0.030996614,0,0,0.06683893,0.118969732,3.135738184
Total heat release (MJ/m²),70.80089994,23,55.82562011,36.13254857,55.58817871,0.043807583,1.545023042,0,0,0.116233986,24.03053452,0.100610351,23.84812294,24.20410772,0.002435184,0.085885017,0.002356767,0.083119369,0,0,0.096698297,0.200738346,5.053651561
Total oxygen consumed (g),124.6609304,24,74.04849738,46.33331703,-1.123854729,0.0453145,1.59816957,0,0,0.181171045,24.03723298,-0.002100929,23.8747118,24.24018794,-5.09E-05,-0.00179611,0.003574358,0.126061878,0,0,0.128552419,0.313363704,7.548793527
Mass lost (g),113.768373,25,93.06862596,14.04509747,-8.548483215,0.187885333,6.626413675,0,0,0.264729606,23.79688987,-0.066694297,23.68996378,24.08203848,-0.001606135,-0.056645786,0.003574358,0.126061878,0,0,0.161973065,0.458626446,10.58918425
Average specific MLR (g/s·m²),5.933349544,26,109.7782597,16.11977214,-0.854984209,0.193095333,6.810161999,0,0,0.366153049,23.3156257,-0.006949851,23.32209854,23.7549636,-0.000165093,-0.005822581,0.003574358,0.126061878,0,0,0.191509855,0.635367906,14.08280958
Total smoke release (m²/m²),87.86777424,27,124.8001439,13.1304999,-4.26120372,0.269493417,9.504599586,0,0,0.483442251,22.67921441,-0.049178554,22.86312591,23.35095804,-0.001148366,-0.040501035,0.003574358,0.126061878,0,0,0.218234717,0.840240192,17.90526855
Total smoke production (m²),2.491402871,28,137.2514658,12.65602685,4.029707698,0.307492083,10.84475148,0,0,0.614468056,22.00023371,0.054022528,22.39547528,22.93678689,0.001239103,0.043701179,0.00419391,0.147912467,0,0,0.240539016,1.069627058,21.94528771
MAHRE (kW/m²),178.3533468,29,149.5034794,15.55278952,5.261959084,0.272557,9.612647246,0,0,0.757845528,21.47508347,0.06316639,22.0972373,22.70485585,0.001434184,0.050581356,0.005530554,0.195053735,0,0,0.262582096,1.321187614,26.13260443
,,30,160.5170058,12.66925567,6.132521547,0.359239667,12.66980555,0,0,0.912855771,21.07033946,0.09743081,21.93324194,22.61137929,0.002203045,0.077697856,0.007349168,0.259193341,0,0,0.282484608,1.593720966,30.4285257
Test Averages,,31,170.3100905,13.89997651,8.146522554,0.347408667,12.2525452,0,0,1.078269319,20.6944827,0.125540203,21.78867427,22.54395388,0.002830173,0.099815636,0.009865777,0.347950086,0,0,0.300273379,1.885099959,34.78288126
HRR(60) (kW/m²),126.0272781,32,178.7186394,14.38544562,9.478395201,0.352258,12.42357339,0,0,1.252783684,20.3133794,0.148631551,21.63232029,22.4638747,0.003338841,0.117755538,0.012950283,0.456735674,0,0,0.315641129,2.193057213,39.14949013
HRR(120) (kW/m²),170.1830875,33,186.3642223,12.08086224,9.854477581,0.437400167,15.42640074,0,0,1.435325115,20.01549382,0.191759605,21.55838489,22.47788394,0.00431035,0.15201912,0.016774879,0.591623003,0,0,0.329656623,2.515706089,43.49470045
HRR(180) (kW/m²),171.0114631,34,193.5674297,14.84944258,9.942815386,0.369603833,13.03533305,0,0,1.625290941,19.79376835,0.162879329,21.55730619,22.56211821,0.003674903,0.12960791,0.020767505,0.732436518,0,0,0.342885491,2.851977146,47.80267473
HRR(240) (kW/m²),176.6850831,35,199.9191607,14.70175497,14.32063425,0.38556675,13.59831946,0,0,1.822034236,19.62670048,0.243354959,21.59985981,22.68932764,0.00552156,0.194736559,0.025365737,0.894608753,0,0,0.354575408,3.200707596,52.05812103
HRR(300) (kW/m²),165.6501457,36,204.0948607,12.29753351,10.93939919,0.4705745,16.59640615,0,0,2.024041247,19.43019669,0.226064401,21.60024788,22.77139736,0.005147802,0.181554712,0.030700418,1.082754388,0,0,0.362331936,3.559161268,56.22336796
HRR(360) (kW/m²),143.6690843,37,206.8741025,15.8921944,19.39134503,0.369093667,13.01734029,0,0,2.229525728,19.14812122,0.314840907,21.49361093,22.73282309,0.007157223,0.252423737,0.03685293,1.299743613,0,0,0.367601729,3.9241281,60.25745212
EHC(60) (MJ/kg),14.23541599,38,211.7093886,13.64672835,18.27373113,0.439871583,15.51356364,0,0,2.438817474,19.05196403,0.350904667,21.58321678,22.90677724,0.008038095,0.283490691,0.044450589,1.567700827,0,0,0.376547665,4.296202797,64.17940721
EHC(120) (MJ/kg),14.40565214,39,216.0708315,12.57350196,14.92633361,0.487252667,17.18461828,0,0,2.652707584,18.96178966,0.315140174,21.6654274,23.07828851,0.007272896,0.256503345,0.052106085,1.837697845,0,0,0.384636959,4.676795109,68.01814318
EHC(180) (MJ/kg),14.41475486,40,218.7035254,17.01765815,33.91944603,0.36439325,12.85156415,0,0,2.870094762,18.75596874,0.535306792,21.60811024,23.08959529,0.012360017,0.435917937,0.061922541,2.183908486,0,0,0.38963938,5.063933278,71.75236906
EHC(240) (MJ/kg),14.36106389,41,221.7073351,13.89961264,24.07932576,0.452263667,15.95061249,0,0,3.090300193,18.64821658,0.469259299,21.64907966,23.20722076,0.010890204,0.384079994,0.073547652,2.593907452,0,0,0.395266948,5.456386442,75.37317543
EHC(300) (MJ/kg),14.68931025,42,225.7933493,13.24329339,25.55860173,0.483425417,17.04963732,0,0,3.314050535,18.66844492,0.526475447,21.82236191,23.46866841,0.012355678,0.43576489,0.085170593,3.003829894,0,0,0.402805428,5.85542263,78.90596512
EHC(360) (MJ/kg),15.02973166,43,228.0757735,16.92937146,32.66208679,0.381990583,13.47219381,0,0,3.540985096,18.56291993,0.529380518,21.84864442,23.56832023,0.01247661,0.440029963,0.097586736,3.44172732,0,0,0.407116062,6.260383375,82.34849061
MLR(60) (g/s),0.252145163,44,228.2661756,13.16241549,23.62326619,0.49172275,17.34227093,0,0,3.769156071,18.34945087,0.494049352,21.73574521,23.51201832,0.011616097,0.409681082,0.10963309,3.866582843,0,0,0.407647334,6.667765074,85.66263798
MLR(120) (g/s),0.335666933,45,229.3296542,13.20026029,22.07011346,0.492597333,17.37311608,0,0,3.997953986,18.22261586,0.461603013,21.71542069,23.55201057,0.010871679,0.383426643,0.120876978,4.263136706,0,0,0.409728505,7.076452993,88.84342191
MLR(180) (g/s),0.336633307,46,231.4678472,16.77623515,33.29895204,0.3912105,13.79736545,0,0,4.228352737,18.19855683,0.549267158,21.80716942,23.71687347,0.0130269,0.45943781,0.132826268,4.684568933,0,0,0.413718779,7.488176635,91.92071166
MLR(240) (g/s),0.349107467,47,232.5082247,13.12146138,27.08448831,0.502424083,17.71968976,0,0,4.460340773,18.12841924,0.571746017,21.83322421,23.80060169,0.013607899,0.47992873,0.146143667,5.154252203,0,0,0.415714214,7.902893131,94.9008675
MLR(300) (g/s),0.319979087,48,234.2876195,14.29083526,21.23174385,0.46484275,16.39425654,0,0,4.693738695,18.11970825,0.411923782,21.9245715,23.95934059,0.009869422,0.348078655,0.157882328,5.568255896,0,0,0.419029849,8.320265163,97.78622281
MLR(360) (g/s),0.27118276,49,235.4649118,15.89003604,35.64997041,0.420160917,14.81840011,0,0,4.92861496,18.07626055,0.622577276,21.96658296,24.05922097,0.014978724,0.528275525,0.170306401,6.006432986,0,0,0.421259834,8.740410004,100.5839788
SEA(60) (m²/kg),18.24689772,50,236.9455466,12.98667852,25.87364768,0.517326583,18.24527697,0,0,5.16482019,18.03498998,0.55403567,22.00809042,24.15932127,0.013385126,0.472071868,0.184488326,6.506606683,0,0,0.424054433,9.163067138,103.2964038
SEA(120) (m²/kg),20.91091717,51,238.2706194,15.54971568,26.04062594,0.434472583,15.32314959,0,0,5.402428273,17.98207334,0.466951467,22.02615021,24.22936603,0.011313938,0.399024407,0.196837858,6.942154821,0,0,0.426573036,9.588380872,105.9299661
SEA(180) (m²/kg),21.00754652,52,238.4829221,15.09033975,27.08362433,0.448097583,15.80368143,0,0,5.640805043,17.87885279,0.50083025,21.98273609,24.231976,0.012136107,0.428020971,0.20856288,7.355677509,0,0,0.427069047,10.01520191,108.4770201
SEA(240) (m²/kg),22.63258058,53,239.227655,12.5550065,21.3803214,0.540267417,19.05436329,0,0,5.879660332,17.83082822,0.475385779,21.99946767,24.29835204,0.011551091,0.407388411,0.220406479,7.7733822,0,0,0.428504982,10.44298893,110.9369874
SEA(300) (m²/kg),25.3257481,54,240.3346765,16.01826618,30.02235376,0.425417417,15.00378841,0,0,6.119441498,17.8353547,0.522861461,22.0784778,24.4271822,0.012772032,0.450449043,0.23256804,8.202300928,0,0,0.430565506,10.87252417,113.3229907
SEA(360) (m²/kg),23.76049592,55,241.5937098,14.29139038,28.51942715,0.479319917,16.90484294,0,0,6.360405691,17.87053446,0.555848514,22.18679312,24.59290452,0.013669929,0.482116437,0.245789021,8.668583668,0,0,0.432879541,11.3042467,115.6437398
COY(60) (kg/kg),,56,240.8830059,13.42065842,24.04016912,0.508916667,17.94867273,0,0,6.601644049,17.76812496,0.497994413,22.12610632,24.56742971,0.012234443,0.431489128,0.258741207,9.12538645,0,0,0.431656446,11.73651469,117.8865009
COY(120) (kg/kg),,57,240.4976309,18.0225718,32.90524935,0.37836275,13.34424596,0,0,6.842334367,17.69821852,0.506220895,22.10545054,24.59424486,0.012450121,0.439095741,0.271083489,9.560678884,0,0,0.431007969,12.1678469,120.0409538
COY(180) (kg/kg),,58,239.5707172,13.91962163,24.71052025,0.488000917,17.21100785,0,0,7.082368541,17.61800148,0.490372384,22.06751235,24.59101882,0.012058757,0.425292958,0.283337928,9.992873234,0,0,0.429359024,12.59803039,122.1098024
COY(240) (kg/kg),,59,239.6166784,13.6639492,19.84991422,0.4972275,17.53641462,0,0,7.321962239,17.6134318,0.399969307,22.11515008,24.67670156,0.009869923,0.348096326,0.294302268,10.37956788,0,0,0.429449501,13.02743466,124.1010549
COY(300) (kg/kg),,60,239.7322148,16.54700736,29.31909211,0.410791333,14.48794997,0,0,7.561636685,17.63643464,0.485620678,22.19516623,24.80130994,0.012044029,0.424773539,0.305259244,10.76600281,0,0,0.429641782,13.4569803,126.0272781
COY(360) (kg/kg),,61,239.0631635,13.00090341,20.51281261,0.521378917,18.38819626,0,0,7.801034375,17.60239891,0.430575613,22.20396636,24.83872213,0.010694948,0.377193624,0.316628732,11.16698639,0,0,0.428427279,13.88601483,127.8858094
CO2Y(60) (kg/kg),,62,237.8222319,14.60970754,23.33204567,0.461556917,16.27837048,0,0,8.039477072,17.53427658,0.433984872,22.15705779,24.81438356,0.010769067,0.379807684,0.32736074,11.54548704,0,0,0.426179798,14.31331837,129.668985
CO2Y(120) (kg/kg),,63,236.8996465,16.06492706,27.01612912,0.418119083,14.74638793,0,0,8.276838012,17.48700415,0.455270133,22.13005017,24.81155326,0.011295959,0.39839032,0.338393253,11.93458605,0,0,0.424505511,14.73866102,131.3783811
CO2Y(180) (kg/kg),,64,236.7346137,12.8092472,20.263621,0.524025583,18.48153994,0,0,8.513655142,17.51522512,0.426166052,22.19874322,24.91670972,0.010618656,0.374502921,0.34935056,12.32103267,0,0,0.424169033,15.16299829,133.0258616
CO2Y(240) (kg/kg),,65,236.8903611,16.2339253,26.77916511,0.413750167,14.59230326,0,0,8.750467629,17.57679046,0.442129323,22.30737753,25.06027866,0.011079884,0.390769698,0.36019983,12.70366898,0,0,0.42439789,15.58728175,134.6225789
CO2Y(300) (kg/kg),,66,236.2032844,14.86569258,31.29198444,0.450521083,15.88915438,0,0,8.987014452,17.58169841,0.5612365,22.33969149,25.11899837,0.014097699,0.497203172,0.372788622,13.14765541,0,0,0.423111249,16.01103632,136.1668856
CO2Y(360) (kg/kg),,67,234.6736276,12.6592842,21.8599105,0.525617083,18.53766958,0,0,9.222452908,17.52714516,0.458059803,22.29404666,25.08393515,0.011489942,0.405231798,0.385582442,13.5988729,0,0,0.420312451,16.43274817,137.6485509
,,68,234.4892589,16.25221604,23.11807946,0.4090955,14.42814065,0,0,9.457034351,17.55723531,0.375752461,22.35379584,25.16950187,0.009457502,0.333550902,0.396056164,13.96826425,0,0,0.419939075,16.85287394,139.0740346
User-defined Test Averages,,69,234.8129906,13.9038379,26.18009682,0.4788525,16.8883579,0,0,9.691685476,17.6171425,0.495721639,22.4477772,25.28920231,0.012536405,0.442138845,0.407053118,14.35610912,0,0,0.4204839,17.27308543,140.4592098
HRR(0-0) (kW/m²),0,70,233.352568,14.24491884,20.52639818,0.464479917,16.38145999,0,0,9.925768255,17.55381581,0.377890292,22.38259323,25.22980851,0.0095341,0.336252371,0.41808837,14.74530473,0,0,0.417823621,17.69223919,141.7966894
EHC(0-0) (MJ/kg),0,71,233.1805579,16.22338568,27.22625844,0.40753525,14.37311314,0,0,10.15903482,17.58533666,0.438594566,22.43124943,25.29821593,0.01109566,0.391326093,0.42840325,15.10909396,0,0,0.417472528,18.10988726,143.0849974
MLR(0-0) (g/s),0,72,232.9936628,13.05285294,19.69388607,0.506119417,17.85001822,0,0,10.39212193,17.61954886,0.392749532,22.48566512,25.37866332,0.009967458,0.351536225,0.438934809,15.48052512,0,0,0.417091346,18.5271692,144.3350268
SEA(0-0) (m²/kg),0,73,233.4649869,15.19152148,19.22743463,0.435747417,15.36811091,0,0,10.62535125,17.70256306,0.328286234,22.60313421,25.52134112,0.008378305,0.295489348,0.448107691,15.8040379,0,0,0.417889665,18.9446597,145.5527569
COY(0-0) (kg/kg),,74,232.2126826,15.45007988,25.29690982,0.426156917,15.02986939,0,0,10.85819009,17.66640087,0.42305299,22.56441437,25.48251247,0.010780453,0.380209251,0.45768707,16.1418872,0,0,0.41559209,19.36140058,146.7322985
CO2Y(0-0) (kg/kg),,75,231.4235617,13.84662664,23.38457335,0.473890417,16.7133532,0,0,11.09000821,17.69457482,0.433973707,22.60415708,25.53547604,0.011081725,0.390834634,0.468618159,16.52740915,0,0,0.414096479,19.77624487,147.8667761
HRR(0-3283) (kW/m²),22.08386987,76,228.78468,15.34642224,25.33119884,0.422701833,14.90801415,0,0,11.32011233,17.57738947,0.421788155,22.46122569,25.3860713,0.010707544,0.377637871,0.479512794,16.9116454,0,0,0.40929553,20.18794087,148.9488465
EHC(0-3283) (MJ/kg),17.85979908,77,225.5008612,13.67761887,22.02473937,0.467468167,16.48685077,0,0,11.5472551,17.43344693,0.408565246,22.29323264,25.20004979,0.010295865,0.363118591,0.490014498,17.28202363,0,0,0.403320637,20.59424895,149.964352
MLR(0-3283) (g/s),0.035088942,78,225.2662884,14.22449026,18.00060401,0.449028417,15.83651043,0,0,11.77263868,17.52384353,0.318935223,22.41339316,25.34302309,0.008082783,0.285066753,0.499203822,17.6061163,0,0,0.40280207,20.99731031,150.9312651
SEA(0-3283) (m²/kg),-31.65396601,79,224.677633,15.29227845,24.95764075,0.416583417,14.69222743,0,0,11.99761064,17.57376127,0.408955177,22.47793569,25.42317556,0.010396939,0.366683334,0.508443683,17.93199135,0,0,0.401663215,21.39954295,151.8684891
COY(0-3283) (kg/kg),,80,224.046115,13.63552242,22.92840467,0.465886333,16.43106205,0,0,12.22197251,17.62050573,0.419136395,22.53298516,25.48580962,0.01068203,0.37673804,0.518983167,18.30370203,0,0,0.400448552,21.80059883,152.7746564
CO2Y(0-3283) (kg/kg),,81,224.1709525,14.99893678,20.55254647,0.423772917,14.94578954,0,0,12.44608104,17.71571553,0.339922277,22.64927136,25.62236474,0.008709613,0.307174034,0.528678989,18.64565807,0,0,0.40059639,22.2011213,153.6553215
,,82,222.249129,15.17760502,25.01320856,0.415194083,14.64322788,0,0,12.66929109,17.66651222,0.406543494,22.58286422,25.54544925,0.010385336,0.366274113,0.538226463,18.98238214,0,0,0.397072536,22.59995577,154.5035498
,,83,220.7307702,13.75558109,18.24913511,0.45498625,16.04663363,0,0,12.89078104,17.65617386,0.325238909,22.56739922,25.52925038,0.008303106,0.292837185,0.547570684,19.31193779,0,0,0.394264793,22.99562443,155.3106149
,,84,220.7719709,14.72552918,23.81772535,0.425096333,14.99246432,0,0,13.11153241,17.76934731,0.39421942,22.70219174,25.68322918,0.010124828,0.357086397,0.556784651,19.63689958,0,0,0.394244986,23.38987932,156.0896715
,,85,219.4258872,14.14405131,24.92999872,0.439874083,15.51365181,0,0,13.33163133,17.76333193,0.427226133,22.68821959,25.66804669,0.01096606,0.38675532,0.567330095,20.00882044,0,0,0.391755303,23.78287947,156.8427216
,,86,218.0304462,15.04820662,18.64426061,0.410815417,14.48879935,0,0,13.5503595,17.7514656,0.29869622,22.66843927,25.6426067,0.00765935,0.270132951,0.5766428,20.33726458,0,0,0.389180063,24.17334715,157.5623198
,,87,215.8801222,15.03520804,22.41156512,0.407115417,14.35830629,0,0,13.76731479,17.6854827,0.357261479,22.57952285,25.53897974,0.009124094,0.321792116,0.585034521,20.63322711,0,0,0.385252389,24.56056338,158.2449975
,,88,214.8257497,13.42635533,20.35489812,0.453672583,16.00030272,0,0,13.98266772,17.71087962,0.361186949,22.60532843,25.56697918,0.009234459,0.325684532,0.594213798,20.95696543,0,0,0.383280387,24.94482976,158.8939514
,,89,214.3476578,15.071627,23.17898132,0.403248667,14.22193224,0,0,14.19725443,17.79237525,0.3641622,22.69957242,25.66684107,0.009346893,0.329649902,0.603504474,21.28463265,0,0,0.382330932,25.32763542,159.5197126
,,90,214.0875607,14.18447156,26.60225,0.427949583,15.09309386,0,0,14.41147203,17.87907848,0.441726136,22.79834297,25.77257912,0.011384422,0.401510256,0.613870132,21.65021273,0,0,0.381781742,25.70969176,160.1274671
,,91,213.1959641,13.78705756,16.84769795,0.438451667,15.46348546,0,0,14.6251138,17.89664227,0.286509545,22.80913529,25.78239145,0.007386901,0.260524132,0.623255793,21.98122992,0,0,0.380120152,26.09064271,160.7155362
,,92,211.9929118,15.62219969,26.23676572,0.384763167,13.56997837,0,0,14.83770823,17.87421659,0.392228753,22.76845839,25.73738156,0.010094941,0.356032343,0.631996714,22.28950816,0,0,0.377914625,26.46966009,161.2794373
,,93,211.210874,13.55761252,21.10540556,0.441720333,15.57876608,0,0,15.04931013,17.88746497,0.362230248,22.77788935,25.73690858,0.009322687,0.328796176,0.641705528,22.63192242,0,0,0.37646005,26.84684743,161.820539
,,94,210.3776334,15.93679679,18.7427584,0.374294,13.20074769,0,0,15.26010438,17.90534735,0.272558961,22.78575583,25.73865846,0.007015302,0.247418425,0.649874523,22.92002972,0,0,0.374908018,27.22253147,162.341536
,,95,209.8991213,14.97507631,20.54671019,0.397425667,14.01656439,0,0,15.47024276,17.96120465,0.316610409,22.84448016,25.7912872,0.00816579,0.287994286,0.657465069,23.18773608,0,0,0.37398303,27.59697699,162.8446606
,,96,209.1043032,12.78972716,18.59296855,0.46357075,16.34939515,0,0,15.67974447,17.99177191,0.333888208,22.86568122,25.81449772,0.008619156,0.30398379,0.665857542,23.48372512,0,0,0.372493969,27.97021549,163.3306716
,,97,207.030717,16.21043655,19.76269184,0.362121583,12.77144612,0,0,15.88781198,17.90092676,0.278847688,22.74206621,25.66453865,0.007156497,0.252398154,0.673745369,23.76191609,0,0,0.368736052,28.3408305,163.7918761
,,98,206.7831021,14.47241648,21.69502218,0.405124333,14.28808399,0,0,16.09471889,17.9625132,0.341531323,22.81059408,25.73462756,0.008789181,0.309980299,0.681718208,24.04310531,0,0,0.368234901,28.70931598,164.2318254
,,99,206.7713576,13.23737816,15.7185969,0.442897,15.62026522,0,0,16.30149612,18.04747187,0.269499047,22.90780329,25.83207433,0.006961719,0.245528652,0.689593658,24.32085979,0,0,0.368152298,29.07750958,164.661577
,,100,205.19745,16.06799425,25.77323877,0.36209675,12.77057029,0,0,16.50748052,18.00544207,0.362346144,22.84328979,25.75549966,0.009332406,0.329138957,0.697740721,24.60819359,0,0,0.365282289,29.44422687,165.0748052
,,101,204.378846,13.97886382,19.8770218,0.414551417,14.62056206,0,0,16.71226867,18.02299679,0.319752275,22.85999897,25.77009822,0.008240048,0.290613231,0.706526948,24.91806969,0,0,0.363762256,29.80874914,165.4680067
,,102,202.5706024,15.00335494,19.12078637,0.382826833,13.501687,0,0,16.9157434,17.94251387,0.285527571,22.75192141,25.63657884,0.00731995,0.258162873,0.714306947,25.19245774,0,0,0.36048892,30.17087473,165.8406215
,,103,202.0714803,12.72053531,21.72975981,0.450416167,15.88545414,0,0,17.11806444,17.97870801,0.381273552,22.78509102,25.67037517,0.009787435,0.345187103,0.722860639,25.49413273,0,0,0.35954527,30.53089183,166.1948004
,,104,201.2688088,10.21990274,18.90521597,0.55839825,19.69380863,0,0,17.31973458,17.99458087,0.411073561,22.79781957,25.68065799,0.01055664,0.372315706,0.733032677,25.85288413,0,0,0.358057484,30.8896932,166.5359094
,,105,200.9872133,16.19143887,22.40996074,0.35196325,12.41317803,0,0,17.52086259,18.05879821,0.306319602,22.86941212,25.74919319,0.007887483,0.278178832,0.742254738,26.1781314,0,0,0.35749611,31.24747,166.865358
,,106,199.7025727,15.91219935,23.09272352,0.355850667,12.55028097,0,0,17.72120749,18.04482823,0.319704352,22.83843681,25.70362587,0.008217561,0.289820169,0.75030726,26.4621309,0,0,0.355143299,31.6037897,167.1812027
,,107,198.1087567,13.8084742,18.37863707,0.406791917,14.34689697,0,0,17.92011315,18.00832658,0.29165499,22.78545701,25.63398969,0.007476281,0.263676412,0.758154181,26.73887919,0,0,0.352237909,31.95748031,167.477693
,,108,196.9853799,18.97355167,29.66401997,0.294374167,10.38210364,0,0,18.11766022,18.00326508,0.341041472,22.76467807,25.60486592,0.008732321,0.30797493,0.766258482,27.02470486,0,0,0.35017719,32.30868786,167.7561131
,,109,196.0879884,13.993688,22.84751491,0.397313333,14.01260257,0,0,18.3141969,18.01319082,0.354612149,22.76605939,25.59873469,0.009077622,0.320153146,0.775163453,27.3387689,0,0,0.348522548,32.65803773,168.0201551
,,110,196.2229786,13.63515937,17.55651888,0.408041167,14.39095601,0,0,18.51035239,18.11187022,0.278525258,22.88128869,25.72040499,0.007163782,0.252655091,0.783284156,27.62517302,0,0,0.348707334,33.00665267,168.2759308
