General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,739,20.52964358,95.609106,0.00200754,0.60814451,0.951651,0.996226,25.030709,-0.0361,0,0,365.933,360.162,371.289,1013.259,303.892,0
,,740,20.53708949,95.851772,0.00200122,0.60242814,0.954533,1.002712,24.966808,-0.0361,0,0,335.269,359.878,370.876,1013.167,314.397,0
,,741,20.54400788,96.20668,0.00200754,0.59864393,0.954824,0.997387,24.907517,-0.036,0,0,278.001,359.609,370.438,1013.08,322.367,0
,,742,20.55006777,96.354603,0.00200546,0.59307552,0.95108,0.98702,24.853237,-0.0362,0,0,311.183,359.34,370.023,1013.028,316.487,0
,,743,20.55660333,96.343714,0.00173318,0.58680466,0.951549,0.992398,24.753388,-0.0362,0,0,352.61,359.08,369.64,1012.996,304.371,0
,,744,20.56394444,97.570976,0.00166834,0.58063249,0.953657,0.987267,24.686344,-0.0362,0,0,298.882,358.763,369.18,1012.988,349.804,0
,,745,20.57038118,96.472074,0.00166942,0.57685881,0.955785,0.978663,24.610138,-0.0362,0,0,312.861,358.464,368.667,1012.944,345.493,0
,,746,20.57697311,96.490921,0.00166518,0.57124077,0.953111,0.987518,24.539207,-0.0363,0,0,266.777,358.178,368.233,1012.883,394.548,0
,,747,20.58388552,96.73433,0.00166411,0.56496022,0.956607,0.989711,24.46684,-0.0362,0,0,243.377,357.886,367.773,1012.828,368.088,0
,,748,20.59042656,96.200782,0.00166411,0.55882726,0.95758,0.988826,24.414454,-0.0362,0,0,293.204,357.68,367.413,1012.78,347.854,0
,,749,20.59792738,96.488992,0.00167258,0.55253703,0.961055,1.002244,24.307083,-0.0359,0,0,225.985,357.481,367.133,1012.689,293.009,0
,,750,20.60527301,96.615235,0.0016705,0.54627548,0.958277,1.005207,24.230969,-0.0356,0,0,339.145,357.297,366.775,1012.622,321.083,0
,,751,20.6140032,97.966196,0.00166518,0.54003404,0.957792,0.995247,24.145249,-0.0362,0,0,290.313,357.01,366.355,1012.47,320.278,0
,,752,20.621834,96.36732,0.00139711,0.53379296,0.965935,0.998793,24.067311,-0.0361,0,0,222.48,356.831,366.07,1012.372,304.719,0
,,753,20.62955246,95.527636,0.00132486,0.52751214,0.970608,0.994031,23.971266,-0.036,0,0,399.967,356.681,365.706,1012.233,390.696,0
,,754,20.63732533,97.305811,0.00132802,0.52126064,0.973054,0.979823,23.847348,-0.0361,0,0,425.928,356.459,365.356,1012.229,285.293,0
,,755,20.64338729,97.995008,0.0013291,0.51497972,0.972346,0.981151,23.774866,-0.0362,0,0,323.474,356.191,364.967,1012.198,253.578,0
,,756,20.64922904,97.376195,0.0013291,0.50876771,0.976195,0.987097,23.729726,-0.0361,0,0,395.395,355.926,364.585,1012.078,266.36,0
,,757,20.65640742,96.697588,0.00133334,0.50245773,0.978387,0.981762,23.658601,-0.036,0,0,360.405,355.602,364.067,1011.935,270.785,0
,,758,20.66241692,96.706792,0.00133018,0.49623575,0.982158,0.990427,23.632593,-0.0361,0,0,321.301,355.319,363.639,1011.791,340.782,0
,,759,20.66889807,97.861682,0.00133334,0.48759594,0.982997,1.003143,23.614488,-0.0362,0,0,305.46,355.049,363.195,1011.558,321.611,0
,,760,20.67388936,97.834066,0.00133018,0.48066246,0.984572,0.997644,23.59499,-0.0361,0,0,310.217,354.729,362.602,1011.458,332.103,0
,,761,20.67908673,97.619119,0.00133334,0.474401,0.986752,0.995841,23.602457,-0.0362,0,0,320.23,354.343,362.014,1011.346,454.893,0
,,762,20.68530181,97.55136,0.00105898,0.46800163,0.986352,1.001199,23.630053,-0.0363,0,0,-7.89029932022095E+37,353.929,361.435,1011.283,211.997,0
,,763,20.69023919,97.359533,0.00098882,0.46191738,0.986892,0.987929,23.503321,-0.0361,0,0,-2.00970067977905E+37,353.564,360.931,1011.198,369.167,0
,,764,20.69500932,97.928798,0.0009973,0.45548969,0.983628,0.979415,23.422356,-0.0361,0,0,373.897,353.252,360.463,1011.087,381.851,0
,,765,20.70132724,97.838473,0.00099522,0.44689803,0.983221,0.988783,23.34728,-0.036,0,0,-7.89029932022095E+37,352.996,360.095,1010.851,307.454,0
,,766,20.70909559,97.257059,0.00099414,0.44252123,0.982015,0.984421,23.226989,-0.0362,0,0,-2.00970067977905E+37,352.769,359.739,1010.618,486.656,0
,,767,20.71628201,97.772207,0.00099414,0.43441626,0.985419,0.977833,23.201357,-0.0362,0,0,328.04,352.616,359.452,1010.656,417.722,0
,,768,20.72453055,98.621684,0.00099414,0.42758084,0.985022,0.991485,23.22399,-0.0363,0,0,253.378,352.44,359.068,1010.577,235.517,0
,,769,20.73417511,100.102135,0.00099414,0.42130998,0.98411,0.997542,23.159298,-0.0362,0,0,330.658,352.168,358.625,1010.511,372.71,0
,,770,20.74430584,99.393787,0.0009899,0.41505848,0.985647,0.990307,23.139081,-0.036,0,0,340.158,351.84,358.179,1010.516,354.659,0
,,771,20.75278006,97.985987,0.00098882,0.40877756,0.986004,0.992348,23.13667,-0.0362,0,0,-7.89029932022095E+37,351.625,357.864,1010.538,-7.89029932022095E+37,0
,,772,20.76103408,99.703848,0.00099306,0.40007852,0.985631,0.996904,23.106951,-0.0361,0,0,-2.00970067977905E+37,351.412,357.473,1010.475,-2.00970067977905E+37,0
,,773,20.76998387,99.370221,0.0009899,0.39321368,0.983835,0.984949,22.959622,-0.0357,0,0,374.104,351.162,357.111,1010.441,395.683,0
,,774,20.77845603,98.908052,0.0009973,0.38693312,0.982714,0.978649,22.913936,-0.0362,0,0,390.244,350.927,356.773,1010.283,-7.89029932022095E+37,0
,,775,20.78612214,97.642095,0.0010037,0.37819432,0.983865,0.985442,22.864749,-0.0362,0,0,249.127,350.644,356.336,1010.217,-2.00970067977905E+37,0
,,776,20.79234476,98.200897,0.00073781,0.3713197,0.983824,0.983839,22.802132,-0.0361,0,0,504.58,350.318,355.817,1010.147,370.064,0
,,777,20.79781419,98.44634,0.0006571,0.36492042,0.985007,0.981427,22.78418,-0.0361,0,0,358.953,350.054,355.483,1010.077,300.852,0
,,778,20.80189307,97.72895,0.00092506,0.35627017,0.984835,0.995157,22.751816,-0.0362,0,0,292.941,349.935,355.294,1010.117,270.756,0
,,779,20.80649997,98.319534,0.0009899,0.34729339,0.985348,0.999004,22.783668,-0.0362,0,0,416.45,349.77,354.928,1010.125,344.622,0
,,780,20.81174979,98.067468,0.00099306,0.34023289,0.987168,0.990247,22.786026,-0.0362,0,0,359.644,349.517,354.531,1010.096,298.077,0
,,781,20.81646903,98.439518,0.0009899,0.33423701,0.987022,0.992032,22.8069,-0.0361,0,0,287.168,349.285,354.165,1010.247,-7.89029932022095E+37,0
,,782,20.8205983,98.541806,0.0009973,0.3276812,0.984178,0.991548,22.793067,-0.0361,0,0,462.336,349.111,353.831,1010.226,-2.00970067977905E+37,0
,,783,20.82483237,99.536796,0.00099098,0.32129972,0.985479,0.978811,22.765661,-0.0361,0,0,405.285,348.93,353.551,1010.233,243.402,0
,,784,20.82847999,99.771713,0.00098882,0.31508771,0.986365,0.975412,22.792413,-0.0362,0,0,244.758,348.755,353.231,1010.203,170.141,0
,,785,20.83196438,100.694692,0.0009973,0.3088172,0.985372,0.982155,22.79748,-0.0361,0,0,491.819,348.569,352.928,1010.129,468.397,0
,,786,20.83544877,100.735025,0.00126218,0.3025658,0.985545,0.986662,22.757807,-0.0363,0,0,336.984,348.394,352.65,1010.055,284.85,0
,,787,20.83743782,100.223641,0.0013291,0.29632436,0.985493,0.985099,22.75431,-0.0362,0,0,273.654,348.231,352.393,1009.977,209.852,0
,,788,20.84032576,99.517962,0.00133334,0.29012241,0.985238,0.994099,22.776969,-0.0362,0,0,366.788,348.085,352.178,1009.971,450.256,0
,,789,20.84311438,100.996284,0.00133018,0.28385155,0.984876,0.997294,22.764039,-0.0362,0,0,271.08,347.927,351.953,1010.138,-7.89029932022095E+37,0
,,790,20.84536744,103.003741,0.0013291,0.27989003,0.984537,0.986649,22.738813,-0.0363,0,0,149.888,347.788,351.7,1010.167,-2.00970067977905E+37,0
,,791,20.84729806,100.384582,0.0015961,0.27442928,0.984234,0.982124,22.755971,-0.0362,0,0,291.684,347.649,351.488,1010.208,251.985,0
,,792,20.84981513,99.292771,0.00165987,0.2705281,0.98486,0.987473,22.780419,-0.0363,0,0,333.967,347.54,351.341,1010.3,255.13,0
,,793,20.85313629,99.259329,0.00166726,0.26506735,0.983093,0.980378,22.705652,-0.0363,0,0,162.988,347.502,351.212,1010.354,242.813,0
,,794,20.85448448,98.683858,0.00193638,0.26136322,0.983333,0.975926,22.694993,-0.0362,0,0,297.998,347.421,351.067,1010.294,325.546,0
,,795,20.85592943,98.143067,0.00200862,0.25567664,0.983496,0.986945,22.672756,-0.0362,0,0,383.539,347.313,350.914,1010.4,277.963,0
,,796,20.85753761,100.435873,0.00200546,0.2519417,0.981383,0.98763,22.659611,-0.0362,0,0,201.455,347.219,350.708,1010.508,224.403,0
,,797,20.85935941,100.843006,0.00200014,0.24879169,0.982172,0.983774,22.651922,-0.0362,0,0,282.187,347.078,350.465,1010.553,325.832,0
,,798,20.8620901,100.746863,0.0022703,0.24321323,0.982723,0.991509,22.661837,-0.036,0,0,415.514,346.957,350.296,1010.647,278.718,0
,,799,20.86418395,101.463035,0.00233515,0.23942976,0.981332,0.99596,22.578811,-0.0361,0,0,-7.89029932022095E+37,346.853,350.105,1010.66,235.083,0
,,800,20.86627378,102.165417,0.00233831,0.23633833,0.982101,0.981667,22.491095,-0.0362,0,0,-2.00970067977905E+37,346.744,349.904,1010.694,391.554,0
,,801,20.86798882,101.558589,0.00233939,0.2332278,0.981917,0.979139,22.490329,-0.0363,0,0,298.026,346.602,349.658,1010.699,441.679,0
,,802,20.86767392,100.212048,0.00233515,0.23006747,0.980328,0.983242,22.484804,-0.0363,0,0,-7.89029932022095E+37,346.464,349.554,1010.754,251.932,0
,,803,20.86943327,99.386523,0.00233831,0.22693683,0.981209,0.974121,22.460873,-0.0362,0,0,-2.00970067977905E+37,346.364,349.385,1010.797,407.638,0
,,804,20.87184554,99.812433,0.00261059,0.22385582,0.981576,0.970292,22.470029,-0.0361,0,0,419.101,346.271,349.241,1010.813,370.702,0
,,805,20.87254885,99.497998,0.00267542,0.22074502,0.979978,0.986105,22.465069,-0.0362,0,0,185.55,346.225,349.098,1010.859,279.371,0
,,806,20.87452584,100.137895,0.00267011,0.21766392,0.980326,0.990215,22.418974,-0.0361,0,0,402.09,346.115,348.94,1010.887,430.567,0
,,807,20.87458829,100.324025,0.00267327,0.2145926,0.980661,0.985929,22.368028,-0.0361,0,0,370.397,346.016,348.797,1010.977,398.289,0
,,808,20.87554757,99.766492,0.00267435,0.21389014,0.979797,0.990381,22.366585,-0.0361,0,0,239.195,345.908,348.688,1010.993,-7.89029932022095E+37,0
,,809,20.87603324,99.408947,0.00267435,0.21134352,0.977934,0.98751,22.313942,-0.0361,0,0,490.346,345.844,348.584,1010.989,-2.00970067977905E+37,0
,,810,20.87651489,99.689386,0.00294131,0.20821297,0.978725,0.971545,22.264316,-0.0361,0,0,488.754,345.806,348.498,1011.058,256.332,0
,,811,20.87683733,100.232156,0.0030093,0.2051316,0.979294,0.969774,22.302775,-0.0363,0,0,215.882,345.719,348.348,1011.094,153.587,0
,,812,20.87710536,99.65612,0.00300507,0.2045081,0.978081,0.97306,22.247686,-0.0361,0,0,498.033,345.557,348.145,1011.118,438.844,0
,,813,20.87609167,99.73037,0.00301246,0.20202107,0.978537,0.974271,22.156062,-0.0362,0,0,349.909,345.503,348.09,1011.18,258.233,0
,,814,20.87710134,99.30907,0.00300614,0.20138761,0.97902,0.975912,22.14028,-0.0363,0,0,255.831,345.498,348.043,1011.212,272.37,0
,,815,20.8784959,98.896065,0.00300399,0.19886073,0.978027,0.986129,22.104525,-0.0359,0,0,505.753,345.504,348.042,1011.159,530.334,0
,,816,20.88047691,99.093926,0.00299975,0.19821712,0.977708,0.990146,22.086068,-0.0361,0,0,196.175,345.495,348.028,1011.213,179.545,0
,,817,20.88091219,99.51846,0.00300291,0.19569061,0.978098,0.979439,21.978148,-0.0363,0,0,195.568,345.47,347.984,1011.147,202.312,0
,,818,20.88240753,99.211723,0.00299975,0.19512606,0.978698,0.979387,21.959021,-0.0362,0,0,461.875,345.459,347.976,1011.005,497.962,0
,,819,20.88236116,100.477387,0.00300714,0.19258017,0.977854,0.981101,21.891063,-0.0362,0,0,-7.89029932022095E+37,345.437,347.927,1011.074,300.24,0
,,820,20.88353406,100.82965,0.0030093,0.1919266,0.976423,0.97203,21.930847,-0.0361,0,0,-2.00970067977905E+37,345.422,347.891,1011.158,281.439,0
,,821,20.88428776,100.548127,0.00300507,0.18943921,0.977708,0.966882,21.9702,-0.0362,0,0,299.095,345.379,347.781,1011.214,412.823,0
,,822,20.8856783,100.904991,0.00300399,0.18884514,0.976502,0.980041,21.969629,-0.0362,0,0,368.299,345.33,347.736,1011.286,313.231,0
,,823,20.88685924,100.529761,0.00300822,0.18632868,0.976139,0.979287,21.985255,-0.0361,0,0,225.888,345.307,347.764,1011.362,232.924,0
,,824,20.88686326,100.993139,0.00300507,0.18572465,0.975867,0.976682,22.015733,-0.0362,0,0,293.796,345.216,347.623,1011.483,329.846,0
,,825,20.88638161,100.743286,0.00300399,0.18549781,0.97686,0.984616,22.037913,-0.0361,0,0,529.188,345.14,347.505,1011.614,367.833,0
,,826,20.88605917,100.663554,0.00300822,0.18314749,0.976681,0.991775,22.043243,-0.0361,0,0,207.324,345.065,347.445,1011.664,-7.89029932022095E+37,0
,,827,20.88771372,100.927,0.00327207,0.18256422,0.975856,0.978439,22.00931,-0.036,0,0,252.033,345.023,347.402,1011.718,-2.00970067977905E+37,0
,,828,20.88857624,100.925038,0.00333899,0.18015615,0.976173,0.969926,21.983206,-0.036,0,0,441.88,345.012,347.367,1011.759,462.109,0
,,829,20.88889868,101.447543,0.00334323,0.17946384,0.97637,0.975764,21.954099,-0.0362,0,0,438.53,344.917,347.276,1011.843,376.741,0
,,830,20.88916671,103.05315,0.00334855,0.17948321,0.975702,0.969747,21.932269,-0.0362,0,0,304.694,344.86,347.167,1011.832,250.58,0
,,831,20.88836664,103.773521,0.00334115,0.17696675,0.975479,0.964227,21.855626,-0.0363,0,0,356.27,344.806,347.145,1011.864,376.394,0
,,832,20.88836262,101.785568,0.00334747,0.17632323,0.976438,0.977446,21.823859,-0.0362,0,0,588.256,344.762,347.131,1011.934,481.641,0
,,833,20.88713531,100.808692,0.00334539,0.17632323,0.976615,0.985075,21.761057,-0.0362,0,0,256.156,344.823,347.248,1011.87,-7.89029932022095E+37,0
,,834,20.88702247,100.7574,0.00360703,0.17632323,0.975697,0.984842,21.663183,-0.0362,0,0,137.812,344.93,347.356,1011.869,-2.00970067977905E+37,0
,,835,20.88686326,100.91692,0.00367395,0.17636272,0.975728,0.986286,21.657649,-0.0363,0,0,404.659,344.997,347.465,1011.805,327.573,0
,,836,20.88702247,99.459937,0.00366971,0.17637277,0.974089,0.985727,21.613609,-0.0363,0,0,344.8,345.018,347.435,1011.891,263.589,0
,,837,20.8862224,99.558831,0.00368135,0.17633329,0.975028,0.972613,21.561158,-0.0361,0,0,302.033,344.996,347.374,1011.935,142.076,0
,,838,20.88621838,100.266998,0.00367611,0.17632323,0.974431,0.966565,21.537198,-0.0361,0,0,168.428,344.99,347.425,1011.898,293.775,0
,,839,20.88670003,102.125779,0.00394519,0.17636272,0.975445,0.970901,21.58856,-0.0361,0,0,464.799,345.011,347.415,1011.943,421.193,0
,,840,20.88531351,101.63005,0.00401851,0.17388538,0.974959,0.970168,21.671558,-0.0362,0,0,326.713,345.039,347.391,1011.872,183.663,0
,,841,20.88493264,100.956837,0.00401535,0.17325183,0.97447,0.973436,21.609145,-0.0362,0,0,123.161,345.028,347.425,1011.891,159.271,0
,,842,20.88493264,99.94519,0.00401004,0.17321234,0.975037,0.98524,21.641792,-0.0361,0,0,352.424,344.98,347.425,1011.934,495.667,0
,,843,20.88407816,101.49569,0.00400896,0.17320229,0.974419,0.988757,21.675869,-0.0361,0,0,383.959,345.013,347.431,1011.923,253.496,0
,,844,20.88428776,100.903904,0.0040132,0.17320229,0.974196,0.980882,21.676538,-0.0363,0,0,171.968,344.98,347.443,1012.11,215.92,0
,,845,20.88482382,100.151874,0.00401427,0.17075474,0.974521,0.978323,21.71377,-0.0362,0,0,297.536,344.923,347.4,1012.271,303.408,0
,,846,20.88514626,99.937146,0.00401427,0.17013133,0.974156,0.979708,21.706183,-0.0361,0,0,305.483,344.849,347.303,1012.398,282.885,0
,,847,20.88498705,100.453362,0.00401004,0.17009185,0.974041,0.971522,21.694444,-0.0362,0,0,310.837,344.779,347.22,1012.464,142.783,0
,,848,20.8845054,100.953659,0.0040132,0.1700818,0.975036,0.96833,21.623554,-0.0363,0,0,246.793,344.756,347.251,1012.524,282.875,0
,,849,20.88439658,100.655373,0.00401427,0.1675944,0.975171,0.97488,21.560718,-0.0361,0,0,439.958,344.675,347.1,1012.521,365.651,0
,,850,20.88610554,99.215791,0.00401427,0.16696085,0.974241,0.972076,21.584846,-0.0361,0,0,288.955,344.515,346.859,1012.361,-7.89029932022095E+37,0
,,851,20.88654082,100.941044,0.00401004,0.16692137,0.975598,0.972432,21.560559,-0.036,0,0,256.446,344.402,346.802,1012.342,-2.00970067977905E+37,0
,,852,20.88696806,100.484423,0.00401743,0.16699028,0.974889,0.983154,21.483495,-0.0362,0,0,527.239,344.36,346.771,1012.357,399.292,0
,,853,20.88686326,100.698592,0.00401112,0.16452336,0.975269,0.986795,21.303752,-0.0363,0,0,213.458,344.35,346.715,1012.308,153.389,0
,,854,20.88680885,102.814822,0.00400896,0.16385041,0.975224,0.978985,21.262419,-0.0363,0,0,239.001,344.18,346.395,1012.383,198.099,0
,,855,20.88616799,101.817111,0.00428016,0.16384036,0.974626,0.976426,21.346985,-0.036,0,0,488.742,343.93,346.168,1012.413,478.959,0
,,856,20.88792734,99.569032,0.00434076,0.16131384,0.974747,0.979322,21.299044,-0.0361,0,0,346.15,343.927,346.347,1012.361,321.039,0
,,857,20.88863065,98.490234,0.00434707,0.16070981,0.974245,0.969253,21.31243,-0.0361,0,0,314.139,344.138,346.615,1012.306,240.153,0
,,858,20.88889868,100.307189,0.00435347,0.16075935,0.974953,0.963971,21.255434,-0.0362,0,0,449.161,344.321,346.784,1012.015,365.863,0
,,859,20.89023481,100.649849,0.00435031,0.15820305,0.975218,0.976942,21.276845,-0.0363,0,0,598.491,344.412,346.827,1011.746,368.981,0
,,860,20.89034765,100.487385,0.00434499,0.15758886,0.97433,0.987216,21.254051,-0.0363,0,0,300.13,344.421,346.904,1011.887,178.642,0
,,861,20.89157496,100.299775,0.00434815,0.15759892,0.975924,0.981639,21.15939,-0.0361,0,0,237.265,344.397,346.875,1012.047,354.477,0
,,862,20.89211504,101.642535,0.00434923,0.15755944,0.975868,0.98255,21.195439,-0.036,0,0,459.024,344.311,346.728,1012.159,523.016,0
,,863,20.89302393,100.611375,0.00434923,0.15510183,0.974338,0.987037,21.250909,-0.0361,0,0,-7.89029932022095E+37,344.18,346.589,1011.819,-7.89029932022095E+37,0
,,864,20.89452329,99.097854,0.00434923,0.15443895,0.974811,0.970858,21.298754,-0.0361,0,0,-2.00970067977905E+37,344.125,346.57,1011.779,-2.00970067977905E+37,0
,,865,20.89484975,100.609102,0.00434076,0.15450785,0.976206,0.959183,21.274476,-0.0361,0,0,376.522,344.066,346.506,1011.629,384.527,0
,,866,20.89612951,100.434862,0.00434284,0.15200109,0.975513,0.973201,21.261746,-0.0362,0,0,174.144,344.138,346.585,1011.743,176.909,0
,,867,20.89624185,100.928006,0.00434391,0.15135748,0.973483,0.977498,21.287209,-0.0361,0,0,230.581,344.233,346.701,1011.803,403.158,0
,,868,20.89832364,101.084474,0.00434391,0.151318,0.976181,0.969999,21.26425,-0.0362,0,0,331.143,344.239,346.732,1011.818,420.573,0
,,869,20.89886774,101.068461,0.00435239,0.15142639,0.975988,0.980678,21.329367,-0.0362,0,0,274.978,344.223,346.753,1011.728,292.28,0
,,870,20.9005767,101.40015,0.00434607,0.15137759,0.97358,0.992205,21.322279,-0.0362,0,0,-7.89029932022095E+37,344.175,346.674,1011.845,142.146,0
,,871,20.9012256,100.740109,0.00434391,0.14887045,0.975162,0.978444,21.35827,-0.0361,0,0,-2.00970067977905E+37,344.137,346.659,1011.977,351.881,0
,,872,20.90213449,100.997972,0.00435239,0.14827647,0.975918,0.973895,21.290932,-0.0361,0,0,259.792,344.094,346.616,1012.125,205.065,0
,,873,20.90235213,102.299973,0.00435031,0.14828653,0.974433,0.979565,21.295705,-0.0361,0,0,-7.89029932022095E+37,344.09,346.604,1012.154,125.123,0
,,874,20.90277937,101.532009,0.00434499,0.14828653,0.974278,0.971714,21.202797,-0.0362,0,0,-2.00970067977905E+37,344.013,346.527,1012.145,443.044,0
,,875,20.90502439,101.832373,0.00435239,0.14820756,0.975949,0.963288,21.15102,-0.0362,0,0,310.751,343.984,346.49,1012.031,375.83,0
,,876,20.90535487,101.154996,0.00434607,0.14822693,0.974559,0.975108,21.161182,-0.0363,0,0,-7.89029932022095E+37,343.901,346.398,1012.023,257.557,0
,,877,20.90551408,101.365884,0.00434391,0.14823699,0.973295,0.982041,21.197488,-0.0363,0,0,-2.00970067977905E+37,343.855,346.324,1012.097,329.933,0
,,878,20.90450039,100.364016,0.00434391,0.14823699,0.974487,0.976385,21.191923,-0.0362,0,0,366.517,343.769,346.302,1012.081,348.477,0
,,879,20.90444196,101.625215,0.00461519,0.14823699,0.974985,0.980514,21.159633,-0.0363,0,0,169.876,343.735,346.239,1011.899,-7.89029932022095E+37,0
,,880,20.90470999,102.108349,0.00468429,0.14571048,0.975282,0.988041,21.196181,-0.0362,0,0,-7.89029932022095E+37,343.695,346.168,1011.735,-2.00970067977905E+37,0
,,881,20.90497802,102.060876,0.00468429,0.14510644,0.975112,0.979498,21.17399,-0.036,0,0,-2.00970067977905E+37,343.63,346.087,1011.926,450.936,0
,,882,20.90524605,100.324522,0.00468005,0.14515598,0.975525,0.966594,21.10835,-0.0362,0,0,430.372,343.566,346.064,1012.123,352.734,0
,,883,20.90487322,101.066897,0.00468321,0.14508707,0.974959,0.972532,21.032084,-0.0363,0,0,-7.89029932022095E+37,343.534,345.974,1012.269,242.621,0
,,884,20.90455078,100.870995,0.00467581,0.14510644,0.974926,0.975472,21.032366,-0.0363,0,0,-2.00970067977905E+37,343.488,345.925,1012.339,444.627,0
,,885,20.90428275,100.942991,0.00467789,0.14519546,0.976146,0.971883,21.078496,-0.0361,0,0,507.949,343.429,345.864,1012.344,353.644,0
,,886,20.90508282,101.689148,0.00467473,0.14509713,0.976306,0.979491,20.999155,-0.0362,0,0,220.498,343.38,345.758,1012.356,145.095,0
,,887,20.90508684,100.103609,0.00468213,0.14510644,0.974849,0.989991,20.994501,-0.0362,0,0,349.477,343.219,345.509,1012.512,217.739,0
,,888,20.90524605,99.926905,0.00468429,0.1451165,0.975695,0.984801,20.978132,-0.0363,0,0,379.378,343.049,345.348,1012.628,317.993,0
,,889,20.90487322,101.71674,0.00494705,0.1451165,0.976357,0.977898,20.971863,-0.0362,0,0,374.106,342.918,345.256,1012.753,198.739,0
,,890,20.90455078,102.161134,0.00501398,0.1426291,0.975027,0.97737,20.997227,-0.036,0,0,233.263,342.906,345.232,1012.847,288.259,0
,,891,20.90470999,102.39069,0.00501398,0.14203504,0.974073,0.97126,20.954377,-0.0362,0,0,402.449,342.872,345.171,1012.899,394.582,0
,,892,20.90497802,103.284453,0.00501398,0.14200561,0.975485,0.959825,20.937231,-0.0362,0,0,418.924,342.856,345.112,1012.9,327.17,0
,,893,20.90652777,102.695262,0.00501398,0.14199555,0.975268,0.97068,20.952982,-0.0362,0,0,258.371,342.806,345.024,1012.849,214.065,0
,,894,20.90690864,101.455456,0.00501822,0.14195607,0.975158,0.982402,20.974205,-0.0362,0,0,416.505,342.723,344.915,1012.846,392.185,0
,,895,20.90669502,100.968188,0.00501506,0.1419855,0.975004,0.982,20.936459,-0.0363,0,0,413.163,342.607,344.737,1012.811,203.904,0
,,896,20.90642699,101.320864,0.00501822,0.14199555,0.975223,0.978081,20.845749,-0.0361,0,0,162.819,342.517,344.667,1012.74,164.14,0
,,897,20.90679982,101.041336,0.00501506,0.14203504,0.974886,0.983549,20.892571,-0.0361,0,0,322.656,342.457,344.628,1012.806,293.403,0
,,898,20.90690864,101.469566,0.00501398,0.14200561,0.974997,0.980364,20.909229,-0.0362,0,0,382.602,342.413,344.52,1012.888,212.816,0
,,899,20.90733588,101.376935,0.00501822,0.14203504,0.975122,0.971329,20.87163,-0.0362,0,0,236.881,342.347,344.459,1012.932,-7.89029932022095E+37,0
,,900,20.90723108,100.613992,0.00501506,0.14200561,0.975733,0.969843,20.851111,-0.0363,0,0,205.542,342.323,344.444,1012.944,-2.00970067977905E+37,0
,,901,20.90696305,100.072829,0.00501822,0.14199555,0.97541,0.976526,20.872999,-0.0361,0,0,341.524,342.236,344.287,1012.97,361.718,0
,,902,20.9064814,99.477061,0.00501506,0.14199555,0.974863,0.971136,20.890258,-0.0362,0,0,303.608,342.176,344.219,1013.022,228.397,0
,,903,20.9065862,100.63287,0.00501822,0.14199555,0.975488,0.972616,20.885738,-0.0362,0,0,165.936,342.157,344.176,1013.02,283.63,0
,,904,20.90749509,102.307557,0.00501506,0.14203504,0.975841,0.98303,20.865135,-0.0362,0,0,483.616,342.084,344.069,1012.987,358.989,0
,,905,20.90899445,101.080353,0.00501822,0.14204509,0.97586,0.987235,20.845733,-0.0362,0,0,286.048,342.033,344.048,1012.948,-7.89029932022095E+37,0
,,906,20.90953453,99.644148,0.00501506,0.14200561,0.975617,0.981886,20.828749,-0.0362,0,0,208.162,342.024,344.051,1012.944,-2.00970067977905E+37,0
,,907,20.90873446,99.22297,0.00501398,0.14195607,0.976954,0.976628,20.84183,-0.0361,0,0,364.225,341.989,344.039,1012.93,400.695,0
,,908,20.9083032,100.715252,0.00501398,0.14202498,0.975747,0.97995,20.782024,-0.0359,0,0,383.383,341.947,343.957,1012.926,344.296,0
,,909,20.90846241,101.058163,0.00501822,0.14441404,0.974993,0.969949,20.777153,-0.0362,0,0,233.305,341.934,343.943,1012.905,142.204,0
,,910,20.90915768,101.52437,0.00501506,0.14517535,0.975945,0.964099,20.790578,-0.0361,0,0,257.656,341.891,343.886,1012.944,271.213,0
,,911,20.90932091,100.943025,0.00501398,0.14513661,0.97531,0.974169,20.800571,-0.0362,0,0,540.446,341.866,343.854,1012.982,343.653,0
,,912,20.90932091,101.199282,0.00500974,0.14519546,0.97546,0.984241,20.791005,-0.0362,0,0,242.004,341.858,343.876,1012.995,-7.89029932022095E+37,0
,,913,20.90889367,101.170774,0.0050129,0.14513661,0.975888,0.982573,20.75244,-0.0362,0,0,-7.89029932022095E+37,341.857,343.88,1012.995,-2.00970067977905E+37,0
,,914,20.90857123,100.537509,0.00501398,0.14515598,0.975854,0.981674,20.736501,-0.0361,0,0,-2.00970067977905E+37,341.813,343.818,1013.02,463.298,0
,,915,20.9104394,100.376332,0.00501398,0.14512656,0.975492,0.987473,20.737955,-0.0361,0,0,292.561,341.814,343.829,1013.059,262.031,0
,,916,20.91135633,100.334231,0.00501822,0.14507702,0.975076,0.975336,20.677057,-0.0361,0,0,219.368,341.836,343.849,1013.085,196.964,0
,,917,20.91125153,103.512017,0.00501929,0.14510644,0.976389,0.963297,20.643053,-0.0359,0,0,190.217,341.841,343.83,1013.15,287.808,0
