Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²).Specimen mass (g)
Total oxygen consumed (g),94.4322525409515,24,178.231592170188,7.26697529089486,41.1436771500862,0.245262416666674,24.5262416666674,0.00292163092694418,0.15628896608263,0.54554558140549,24.6220554817848,0.430762551845396,23.0960731507068,23.4258935581877,0.0100909976883836,1.00909976883836,0.110631412458599,11.0631412458599,0.000716566261750426,0.0383318095197617,0.113029358842392,0.340938805120096,22.7310658918954,120.128858
Mass lost (g),97.279956,25,196.217857563716,4.71761839408126,25.5742198723356,0.415925666666663,41.5925666666663,0.00184250631820827,0.118394010964258,0.732770306272442,24.1947041656051,0.45728412066108,22.8758544451952,23.2611935758966,0.010636974449881,1.0636974449881,0.120995398527732,12.0995398527732,0.000766345668738311,0.0492431079396491,0.125932479454432,0.460419724268508,29.3108122508977,119.638084
Average specific MLR (g/s·m²),14.2534734065934,26,211.468547776355,10.84208059332,64.2492604971313,0.19504424999999,19.504424999999,0.00397623854824943,0.296605172732659,0.936613508942478,23.9487157431971,0.538807371442941,22.8118461102926,23.2577531245674,0.012531448826717,1.2531448826717,0.132579610166031,13.2579610166031,0.000775542465464361,0.0578511334617591,0.136757927797269,0.591764927894359,36.0235964977876,119.392076
Total smoke release (m²/m²),766.83517429504,27,222.302623858438,11.6937168112125,72.5655376719955,0.190104333333336,19.0104333333336,0.00403344963875046,0.371650474855819,1.15349909475987,23.7304577717799,0.593029693934883,22.7566053578361,23.2619433785462,0.0137950231621098,1.37950231621098,0.145742846160444,14.5742846160444,0.000766776254608243,0.0706523657554835,0.145452443527342,0.732870113556665,42.7221886948102,119.20376
Total smoke production (m²),7.66835174295041,28,233.029937789004,10.0393020977433,68.8129953678332,0.232117666666676,23.2117666666676,0.00329296265065596,0.344243551460965,1.3811653755836,23.700419769447,0.681808717207656,22.87120391384,23.4269693507915,0.0159727119211262,1.59727119211262,0.160626713702062,16.0626713702062,0.000764354806890772,0.0799050099301689,0.153525816267421,0.882359243454046,49.3273348422712,118.994797
MAHRE (kW/m²),187.424170545138,29,241.866349137625,9.06808379506392,53.3547308349119,0.266722666666669,26.6722666666669,0.00310905331749473,0.342491562133138,1.61861351904691,23.7383726284818,0.602156405129887,23.0202085024482,23.6332553574688,0.01423091608757,1.423091608757,0.17572852770641,17.572852770641,0.000829254991651048,0.0913502627629836,0.160761883891168,1.03950309353334,55.8142592774796,118.741104
,,30,247.933903687547,9.9613421138293,69.3829735372127,0.24889608333333,24.889608333333,0.00338774818117675,0.401678971794052,1.8635136454595,23.6631985972036,0.727944566204205,23.0555134637149,23.7231667975497,0.0172691503634324,1.72691503634324,0.191478560931911,19.1478560931911,0.000843197253614507,0.0999763228368988,0.165850739798224,1.20280940537804,62.1171215153165,118.47624
Test Averages,,31,250.129733859389,13.7928479190384,97.7507248868122,0.181347416666672,18.1347416666672,0.00459313646322973,0.603648410636825,2.11254546423296,23.4296422884059,0.749960930676957,22.9273301583166,23.6370198905117,0.0177268414355179,1.77268414355179,0.208976556831387,20.8976556831387,0.000832953432004203,0.10947007984393,0.16866884719613,1.37006919887521,68.1466278784827,118.255976
HRR(60) (kW/m²),238.299165207921,32,252.993592841237,14.7100986420173,115.639967490782,0.171986333333345,17.1986333333345,0.00483143796237739,0.674146187401275,2.36410712758328,23.3867857953826,0.838607726289996,22.9634625510114,23.7160872384441,0.0198884939955268,1.98884939955268,0.227784224546909,22.7784224546909,0.000830941299876814,0.115943930901799,0.17142521269077,1.54011622881867,73.8783477369774,118.100526
HRR(120) (kW/m²),216.65035546051,33,253.094768172746,15.9195953558658,107.646751949753,0.158983166666664,15.8983166666664,0.00519884681314385,0.792326056822502,2.61715130809027,23.2626055595635,0.72162259982203,22.91991015596,23.7160276168919,0.0171140215063526,1.71140215063526,0.246285482297849,24.6285482297849,0.000826529129368505,0.125966505546153,0.172995387444387,1.71232652888624,79.3076153966748,117.911561
HRR(180) (kW/m²),198.026069738123,34,253.690412643046,20.0180234230824,140.723201806511,0.12673099999999,12.673099999999,0.00698287282898124,1.04741529333073,2.87054389849816,23.2193203873342,0.749533437455213,22.9551024015264,23.7934576323757,0.0178339920881395,1.78339920881395,0.263759489095095,26.3759489095095,0.000884946456489552,0.132739987539087,0.174402428571837,1.88602543689436,84.4277617205342,117.784756
HRR(240) (kW/m²),186.425312283023,35,254.220190840021,13.793394445915,91.1940963079093,0.184305750000001,18.4305750000001,0.00486426559496446,0.762090818432586,3.1244992002397,23.1482115257221,0.7052335545039,22.9574884510967,23.8326667928116,0.0168075963156016,1.68075963156016,0.281080283296965,28.1080283296965,0.000896512118679128,0.140457719859332,0.17589473257461,2.06117401746758,89.2714057211342,117.637614
HRR(300) (kW/m²),178.381805458473,36,255.172252130255,13.70346049808,96.8524214211696,0.186210083333336,18.6210083333336,0.0048099410950042,0.788653105967555,3.37919542172484,23.1079637100662,0.755231827032631,22.9719427012518,23.8799489353249,0.0180348974638713,1.80348974638713,0.298501530186702,29.8501530186702,0.000895659532129168,0.146855160583312,0.177444482527815,2.23784362501879,93.8665394923566,117.429722
HRR(360) (kW/m²),172.52160920519,37,256.453255516944,23.0285699570051,165.657823855484,0.111363083333333,11.1363083333333,0.008239094114349,1.37243999401517,3.63500817554844,23.104360451015,0.769998083850906,23.0166387981244,23.9587168198836,0.0184481660428368,1.84481660428368,0.316743061940056,31.6743061940056,0.000917530924447419,0.15283914942351,0.179140628570607,2.416136180568,98.2434642040118,117.282958
EHC(60) (MJ/kg),13.7962439815872,38,258.720609031884,18.0828346644075,138.564921299499,0.143075250000004,14.3075250000004,0.00677590876263007,1.1345388206683,3.89259510782285,23.3008016881077,0.817931593681388,23.2528420745783,24.2382259217135,0.0198252107561567,1.98252107561567,0.335879750339552,33.5879750339552,0.000969464840190513,0.162324425401827,0.181948648347257,2.59668081902693,102.436713363759,117.182029
EHC(120) (MJ/kg),13.4189374535779,39,257.70444631613,13.8116317613529,115.463373083095,0.18658508333333,18.658508333333,0.00521580638918767,0.887900492270947,4.15080763549686,23.137660385057,0.892930008119286,23.1275748392619,24.1270232747949,0.0215437430886568,2.15437430886568,0.356564227261959,35.6564227261959,0.000973191669777098,0.16566898734208,0.181839495734175,2.77857489106765,106.43096501274,116.992427
EHC(180) (MJ/kg),13.2015257802383,40,259.107130146062,15.0414633228223,120.018831702222,0.172261916666658,17.2261916666658,0.00601015977013074,1.0001530206797,4.40921342372795,23.2330712125864,0.851256955232117,23.2567560118953,24.2872306159077,0.0206746739851178,2.06746739851178,0.377673435798846,37.7673435798846,0.00103532164147557,0.172288276302233,0.183704069471624,2.96134667367055,110.230335593199,116.822377
EHC(240) (MJ/kg),13.0490476920357,41,258.206707654527,14.0602659503653,135.935833138475,0.183642833333333,18.3642833333333,0.00570525638293819,0.965340573815331,4.66787034262825,23.1334713524006,1.02926226288236,23.1968785948586,24.2539170523635,0.0249636415490768,2.49636415490768,0.400492593565944,40.0492593565944,0.00104772944705585,0.177277878107072,0.183903390820773,3.14515040381675,113.850496161665,116.644763
EHC(300) (MJ/kg),12.8523793154588,42,258.681227020789,17.8619192786208,146.378946243766,0.144822750000001,14.4822750000001,0.00723157419215475,1.2623488508745,4.92631430996591,23.1394257860702,0.871923988021022,23.2353456947807,24.3129009275673,0.0211990015371244,2.11990015371244,0.423573915109044,42.3573915109044,0.00104729646133688,0.182816832042985,0.185019241727609,3.32961172009094,117.293197856331,116.46786
EHC(360) (MJ/kg),12.6299990944283,43,259.814343790802,32.3670148484881,236.576899657482,0.0802713333333358,8.02713333333358,0.0138156543255165,2.32614857604018,5.1855620953717,23.1655036326966,0.778387269903385,23.2856690057144,24.3970371891231,0.0189903431713728,1.89903431713728,0.443668587463293,44.3668587463293,0.00110900099358168,0.186723047730186,0.18632482463506,3.51528375327227,120.594467334226,116.360005
MLR(60) (g/s),0.172541539583333,44,257.501014887606,22.1532610952351,179.307170515175,0.116236166666673,11.6236166666673,0.00959045713947014,1.64458655199412,5.4442197747109,22.9846496826798,0.859669194227326,23.1279559997988,24.2441840378661,0.0208419781565314,2.08419781565314,0.463584748127245,46.3584748127245,0.00111475797447303,0.191160436555358,0.185571646207871,3.70123198869374,123.732267607066,116.282186
MLR(120) (g/s),0.161507233680556,45,256.811067041332,16.0230186017065,137.542198402939,0.160276333333334,16.0276333333334,0.00696273540226895,1.21766015186548,5.70137581567537,22.9949795302655,0.907274225715803,23.1583383599893,24.2977906941384,0.0220447592386291,2.20447592386291,0.485028116824825,48.5028116824825,0.00111596170024587,0.195162104387111,0.185733098471132,3.88688436103324,126.697240348342,116.122627
MLR(180) (g/s),0.150026328472222,46,255.004521655765,12.775702963782,104.465557925583,0.199601166666664,19.9601166666664,0.00557412361240429,0.991163952356584,5.95728361002392,22.9208551474953,0.858873133311521,23.1076347390844,24.2776801714989,0.0208514472384303,2.08514472384303,0.506476220063355,50.6476220063355,0.0011126015761801,0.197837481248316,0.185013897147073,4.07225785884234,129.506165435303,115.96367
MLR(240) (g/s),0.142842859201389,47,254.367219410915,12.5667328662373,107.711436065997,0.202413166666665,20.2413166666665,0.00549953381438788,0.996577401500958,6.21196948055726,22.9133753889797,0.896497505550578,23.1309105031409,24.3193235065866,0.0218022128603324,2.18022128603324,0.527803050112737,52.7803050112737,0.00111317805456065,0.201720387666245,0.185193539758387,4.25736157729507,132.169563416112,115.735193
MLR(300) (g/s),0.138773217916667,48,254.843008631317,19.5708533577703,184.405548015088,0.130215583333333,13.0215583333333,0.00854855152199873,1.57123743538564,6.46657459457838,22.9269955983961,0.985305628857525,23.1632907262553,24.370586446898,0.0240124760046876,2.40124760046876,0.550710394545247,55.0710394545247,0.00111315462309211,0.204599599203911,0.185914750885972,4.44291572261725,134.720304053716,115.577928
MLR(360) (g/s),0.13661073287037,49,255.873073841223,26.8538936566846,227.145242630734,0.0952834166666664,9.52834166666664,0.0117003226047453,2.19244479093696,6.72193263581465,22.9864335223644,0.885023367187775,23.2346657962496,24.4549190449152,0.0216431747974353,2.16431747974353,0.573538219946308,57.3538219946308,0.00111484671388236,0.208903630533509,0.187185911254581,4.62946605368753,137.182298690095,115.465649
SEA(60) (m²/kg),112.72507958392,50,257.028213592101,21.3962248764533,176.52778526133,0.120127833333329,12.0127833333329,0.00930478038242797,1.76576983821963,6.97838327953131,23.0320984663806,0.864606407291429,23.2900189040446,24.5266518819898,0.0212059003665748,2.12059003665748,0.594962757528313,59.4962757528313,0.00111776310698354,0.212118104830668,0.188376212664505,4.81724711564707,139.567665590626,115.369905
SEA(120) (m²/kg),96.9571389870407,51,256.625972663935,13.873055254452,130.248196933471,0.184981583333334,18.4981583333334,0.00602977848890122,1.16536643721652,7.23521037265933,22.9978454793412,0.98351570844638,23.254210254437,24.4973389729839,0.0240935176950654,2.40935176950654,0.617612466559133,61.7612466559133,0.00111539797202622,0.215571328719838,0.188641897123449,5.00575617054105,141.866870052144,115.21441
SEA(180) (m²/kg),83.7610788560677,52,256.772702036187,12.5640990671105,99.8230611161007,0.204370166666666,20.4370166666666,0.0054574588778009,1.06857805030921,7.49190971000939,23.0016403269104,0.83242862716545,23.2580474044577,24.5076334135004,0.0204008556374743,2.04008556374743,0.639859653225403,63.9859653225403,0.00111534178043265,0.218385474238034,0.189149814993275,5.19465202659941,144.07518673095,115.00955
SEA(240) (m²/kg),77.7515299168856,53,255.899990350664,10.6756439846004,80.1270909920812,0.239704499999998,23.9704499999998,0.00463075302615495,0.922974631921563,7.74824605620281,22.8917315055112,0.786607299071633,23.1638302391752,24.4172973037237,0.0192068242827112,1.92068242827112,0.659663493185496,65.9663493185495,0.00111001233875795,0.221241172657441,0.189044671437567,5.38374926981483,146.193321815147,114.802588
SEA(300) (m²/kg),72.8768604982591,54,257.197562194471,8.95134442942508,73.1463937655634,0.287328416666668,28.7328416666668,0.00387448363566444,0.780812824934393,8.00479483247538,22.9390880298472,0.858003441018094,23.223830282771,24.4952834694899,0.021017037505536,2.1017037505536,0.679775424079619,67.9775424079619,0.00111324924843638,0.224349712701427,0.190307728498727,5.57342546978298,148.236941342137,114.527771
SEA(360) (m²/kg),69.565751947729,55,256.239873506003,8.31990411323113,75.2281737603344,0.307984166666663,30.7984166666663,0.00359034518078684,0.733925992987059,8.26151355032562,22.7993200734412,0.950772671579346,23.0948508380555,24.3686920101993,0.0231690864054315,2.31690864054315,0.701868486035103,70.1868486035103,0.0011057694685503,0.226037585345122,0.189980395982664,5.76356953202368,150.209337278648,114.236632
COY(60) (kg/kg),0.00583018705987425,56,256.95839891018,9.32750558310789,86.9213301503259,0.275484583333332,27.5484583333332,0.00402540044323188,0.834820761621042,8.51811268653371,22.8695293526191,0.978641779937819,23.1864967760395,24.4680810794354,0.0239454864192415,2.39454864192415,0.725425772447439,72.5425772447439,0.00110893576385354,0.229980249673187,0.191002456743676,5.95406095838685,152.109155116673,113.929843
COY(120) (kg/kg),0.00493802647171472,57,257.160026675712,20.8959793506933,198.405385516173,0.123066750000009,12.3066750000009,0.00904127459303709,1.89834453611842,8.77517189932665,22.908054286702,0.995590306199738,23.2355443637181,24.5252548422018,0.0244171059779743,2.44171059779743,0.749607068646047,74.9607068646047,0.00111268028002273,0.233623092440369,0.191663262808223,6.14539381816279,153.950384198713,113.714974
COY(180) (kg/kg),0.00418826421529568,58,255.469423150031,45.0055357533017,409.925392842986,0.0567639999999976,5.67639999999976,0.0194969093528213,4.14068260523135,9.03148662423953,22.8134671715414,0.951792254196912,23.1485190048537,24.4475670995787,0.0232690049993383,2.32690049993383,0.773450124134703,77.3450124134703,0.0011067225625035,0.235041707403342,0.190832774837166,6.33664183698549,155.715286624819,113.660322
COY(240) (kg/kg),0.00379222526464055,59,256.191982052073,16.0305007478681,164.981333081087,0.15981533333333,15.981533333333,0.00731161597967191,1.48899440564382,9.28731732684058,22.8851381758607,1.07434116353301,23.2315453083258,24.5420613442975,0.026366546740131,2.6366546740131,0.798267900004438,79.8267900004438,0.00116850834499656,0.23796413726943,0.191728846917461,6.5279226478628,157.412158082044,113.557265
COY(300) (kg/kg),0.00344658057689303,60,256.860968580542,11.7032183537993,95.0444623797038,0.219478916666676,21.9478916666676,0.00542407020566258,1.09838606058384,9.54384380215689,22.9728884464966,0.846047308805349,23.3351939804738,24.6561337896335,0.0208602556382641,2.0860255638264,0.821881301193636,82.1881301193636,0.00119046905266282,0.241072582658719,0.192601083610842,6.72008761312695,159.064063369281,113.349339
COY(360) (kg/kg),0.00320986335932682,61,256.395352943394,14.2505924437366,123.196836258221,0.179919083333328,17.9919083333328,0.00661239335368034,1.35672448143164,9.80047196291886,22.970783504777,0.898350336615712,23.3435922136587,24.6735164954104,0.0221654618491453,2.21654618491453,0.84339415993734,84.339415993734,0.00118969575083356,0.244100625035066,0.192759883991852,6.9127680969283,160.663474801948,113.144894
CO2Y(60) (kg/kg),1.08829153922457,62,257.301573308746,20.5293398996215,179.068880105321,0.12533358333333,12.533358333333,0.00957294287597446,1.98245992055953,10.0573204260449,23.1529084575483,0.902500362346534,23.5304429830752,24.8679616579131,0.0224433444070863,2.24433444070863,0.865698563065456,86.5698563065456,0.00119981123369115,0.248468805658434,0.193947444895838,7.10612176137215,162.21484558137,112.995101
CO2Y(120) (kg/kg),1.34818955998602,63,255.210095703301,21.9438824349091,162.942465014774,0.116301250000002,11.6301250000002,0.0102627847919119,2.14685330848176,10.3135762605509,23.064326824612,0.764504436851439,23.4440739604844,24.7878382986838,0.0189504123592998,1.89504123592998,0.886395441448649,88.6395441448649,0.00119357469978036,0.249681723343068,0.192836191863678,7.2995135797519,163.707559691285,112.88239
CO2Y(180) (kg/kg),1.43178386601269,64,252.067396098407,18.4506835613274,132.912794730601,0.136616833333341,13.6616833333341,0.00868415140691872,1.83032028326132,10.5672150064518,22.8986643710696,0.737491606458077,23.2829454601214,24.6214668296856,0.0181581251255791,1.81581251255791,0.904949710191089,90.4949710191089,0.00118640126540051,0.250052561084944,0.190957248847883,7.49141030010768,165.112734475809,112.75331
CO2Y(240) (kg/kg),1.46235634540024,65,249.578028923767,15.1113182752708,138.249959798775,0.165159666666669,16.5159666666669,0.00715623634363502,1.52197871331387,10.8180377189629,22.8210629920064,0.930486185288419,23.2056571746576,24.5391255002549,0.022833317277046,2.2833317277046,0.925445431392401,92.5445431392401,0.00118192160910266,0.251369496964684,0.189613149967366,7.68169549951531,166.431349522506,112.606181
CO2Y(300) (kg/kg),1.46928503744035,66,247.12161344947,13.3455113211981,128.586264335853,0.185172083333323,18.5172083333323,0.00636796859716933,1.36164038332679,11.0663875401495,22.7725264336301,0.972210252274026,23.1586883348129,24.4911904594975,0.0238105864551193,2.38105864551193,0.948767383258484,94.8767383258484,0.00117917001173902,0.252137786531406,0.188204763645245,7.87060445632161,167.672538487114,112.424831
CO2Y(360) (kg/kg),1.46945604510593,67,244.700941057314,12.1227499788946,116.460849996009,0.201852666666666,20.1852666666666,0.00584047624483292,1.25849161595308,11.3122988174029,22.7676151693783,0.960100106946296,23.1527268272389,24.4848771121697,0.0235079331339611,2.35079331339611,0.972426643053024,97.2426643053024,0.00117891570462284,0.254029888657772,0.186980146693043,8.05819691149076,168.84028085676,112.236474
,,68,242.73834330955,10.1922523955031,101.337107409821,0.238159666666662,23.8159666666662,0.00470321655096421,1.07293863495777,11.5560184595863,22.7862176814956,0.984980291510785,23.167063309193,24.5024310939957,0.0241344117216868,2.41344117216868,0.996247815480848,99.6247815480848,0.00112011648603877,0.255530707655327,0.185956502683958,8.24466523617926,169.941447935093,112.017719
User-defined Test Averages,,69,241.412961278013,10.041746629832,99.2100624988628,0.24040933333333,24.040933333333,0.00462678397398421,1.0727403848586,11.7980941118801,22.9006789986073,0.968618210992261,23.2829838307339,24.623762711292,0.0238510249853096,2.38510249853096,1.02024053383435,102.024053383435,0.00111232205066288,0.257896800763597,0.185463731662926,8.4303753533527,170.986871186668,111.771517
HRR(0-20) (kW/m²),-1.23639012082036,70,239.439119518345,17.8972845408887,149.019105206751,0.133785166666661,13.3785166666661,0.00833788686589641,1.9423262372564,12.0385201522783,22.9753253837643,0.807088336084793,23.3565344866248,24.7018138352916,0.0199365458266019,1.99365458266019,1.0421343192403,104.21343192403,0.00111548558400172,0.259854439372377,0.184517768010746,8.61536610318953,171.978859318261,111.563091
