s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.6201389E+002, 1.5162308E+000,-4.2882986E-001,-1.0831412E+000,-2.4825071E-002, 1.9938833E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5040143E-002,-6.2641724E-004, 1.0417763E-004, 1.1460928E-004
 1.6320622E+002, 1.5106631E+000,-4.2343811E-001,-1.1210226E+000,-1.4955199E-002, 2.0498551E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3775986E-002,-2.8254209E-002, 1.0403639E-004, 1.1444468E-004
 1.6440071E+002, 1.5173235E+000,-4.3867776E-001,-1.0128800E+000,-2.2053620E-002, 2.0173590E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5513411E-002, 6.3885746E-002, 1.0481063E-004, 1.1519643E-004
 1.6560645E+002, 1.5282391E+000,-4.2832197E-001,-1.1296921E+000,-3.1751137E-002, 2.1855846E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5268317E-002,-3.9670297E-002, 1.0497409E-004, 1.1533789E-004
 1.6682654E+002, 1.5067530E+000,-4.2176070E-001,-1.1085925E+000,-3.9300700E-002, 2.1547386E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4852883E-002,-4.1353463E-002, 1.0388793E-004, 1.1423012E-004
 1.6801770E+002, 1.4974399E+000,-4.3470172E-001,-1.1283535E+000,-2.7494918E-002, 1.9891008E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1110117E-002,-7.3219228E-002, 1.0265808E-004, 1.1297928E-004
 1.6921080E+002, 1.4890041E+000,-4.2194541E-001,-1.0685958E+000,-2.4653059E-002, 2.0200117E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1423791E-002,-5.9900948E-003, 1.0291879E-004, 1.1321985E-004
 1.7041167E+002, 1.5083637E+000,-4.2066576E-001,-1.0763116E+000,-1.9546077E-002, 2.1826306E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6109301E-002, 1.3666562E-002, 1.0384429E-004, 1.1412546E-004
 1.7162103E+002, 1.5145572E+000,-4.3494225E-001,-1.0904543E+000,-2.3264643E-002, 2.0272570E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2754259E-003,-1.3831512E-002, 1.0396864E-004, 1.1423010E-004
 1.7281970E+002, 1.5217225E+000,-4.2806107E-001,-1.1234857E+000,-2.4618746E-002, 2.0594871E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5882337E-002,-3.3848134E-002, 1.0424494E-004, 1.1448707E-004
 1.7400052E+002, 1.5139681E+000,-4.2988106E-001,-1.0754729E+000,-2.4549165E-002, 2.0458248E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3889326E-002, 4.5232579E-003, 1.0491896E-004, 1.1514242E-004
 1.7522449E+002, 1.5336122E+000,-4.3352706E-001,-1.1605748E+000,-3.3922653E-002, 2.1044466E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9744668E-002,-7.3367806E-002, 1.0541902E-004, 1.1562397E-004
 1.7641434E+002, 1.5375846E+000,-4.3779580E-001,-1.1263430E+000,-1.0770624E-002, 2.0876589E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9411961E-003,-1.6448258E-002, 1.0572488E-004, 1.1591175E-004
 1.7762048E+002, 1.5440831E+000,-4.4237872E-001,-1.0900868E+000,-1.7009692E-002, 2.0576546E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8973653E-002, 1.5184424E-002, 1.0607783E-004, 1.1624727E-004
 1.7881960E+002, 1.5442234E+000,-4.2548767E-001,-1.1030153E+000,-1.6182452E-002, 2.2277594E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3476981E-002, 2.1815656E-002, 1.0641121E-004, 1.1656363E-004
 1.8000142E+002, 1.5454023E+000,-4.4994505E-001,-1.2026543E+000,-2.5075045E-002, 1.9930497E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4979859E-002,-1.1234160E-001, 1.0583657E-004, 1.1597257E-004
 1.8122627E+002, 1.5217170E+000,-4.2266187E-001,-1.0421722E+000,-2.0940143E-002, 2.0841517E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9891791E-002, 5.6784334E-002, 1.0525096E-004, 1.1537081E-004
 1.8240880E+002, 1.5253270E+000,-4.2976521E-001,-1.0781942E+000,-2.3781050E-002, 2.1744697E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8596422E-002, 1.5331197E-002, 1.0511170E-004, 1.1521582E-004
 1.8360329E+002, 1.5278701E+000,-4.2506346E-001,-1.1619186E+000,-4.2891701E-002, 2.1915385E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7055554E-002,-8.0088321E-002, 1.0504654E-004, 1.1513543E-004
 1.8481360E+002, 1.5162822E+000,-4.2972233E-001,-1.1098273E+000,-2.1361442E-002, 2.2101960E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5143744E-003,-2.2526853E-002, 1.0425954E-004, 1.1433322E-004
 1.8602414E+002, 1.5123336E+000,-4.2911198E-001,-1.1264511E+000,-2.4228148E-002, 2.0967889E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2308570E-002,-4.6489781E-002, 1.0386395E-004, 1.1392239E-004
 1.8721419E+002, 1.5000475E+000,-4.3263072E-001,-1.0510507E+000,-1.9194339E-002, 2.1398319E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3695775E-002, 1.8570136E-002, 1.0329541E-004, 1.1333874E-004
 1.8841901E+002, 1.4914310E+000,-4.1388308E-001,-1.0229792E+000,-3.1195700E-002, 2.1901771E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4228415E-002, 4.5274698E-002, 1.0301188E-004, 1.1304007E-004
