s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4215079E+001, 6.7773546E+001, 0.0000000E+000, 4.9999997E-002
 2.5000000E+000, 1.4213755E+001, 1.3711016E+002, 0.0000000E+000, 4.9998673E-002
 3.6526748E+000, 1.4211026E+001, 1.6320083E+002, 1.2132314E-005, 4.9995945E-002
 4.8770048E+000, 1.4207702E+001, 1.8817002E+002, 2.3351591E-004, 4.9992624E-002
 6.0318754E+000, 1.4204309E+001, 2.1086530E+002, 1.6096241E-003, 4.9989227E-002
 7.2759119E+000, 1.4201069E+001, 2.3029669E+002, 7.6499755E-003, 4.9985985E-002
 8.4462924E+000, 1.4197976E+001, 2.4731786E+002, 2.6998703E-002, 4.9982890E-002
 9.6793520E+000, 1.4195050E+001, 2.6204731E+002, 7.8897621E-002, 4.9979965E-002
 1.0850482E+001, 1.4192249E+001, 2.7522870E+002, 1.9258534E-001, 4.9977168E-002
 1.2067486E+001, 1.4189567E+001, 2.8700375E+002, 4.1376698E-001, 4.9974491E-002
 1.3244476E+001, 1.4186957E+001, 2.9785190E+002, 8.0138234E-001, 4.9971887E-002
 1.4402994E+001, 1.4184458E+001, 3.0757545E+002, 1.4188852E+000, 4.9969397E-002
 1.5626074E+001, 1.4181935E+001, 3.1691047E+002, 2.3993311E+000, 4.9966883E-002
 1.6859886E+001, 1.4179311E+001, 3.2584428E+002, 3.8737140E+000, 4.9964265E-002
 1.8029093E+001, 1.4176689E+001, 3.3237792E+002, 5.9206226E+000, 4.9961654E-002
 1.9262528E+001, 1.4173935E+001, 3.3925808E+002, 8.6457248E+000, 4.9958935E-002
 2.0432552E+001, 1.4171008E+001, 3.4560863E+002, 1.2235784E+001, 4.9956073E-002
 2.1603113E+001, 1.4167914E+001, 3.5151081E+002, 1.6395738E+001, 4.9953069E-002
 2.2812168E+001, 1.4164478E+001, 3.5737396E+002, 2.1787419E+001, 4.9949766E-002
 2.4017085E+001, 1.4160610E+001, 3.6491947E+002, 2.7509972E+001, 4.9945981E-002
 2.5221204E+001, 1.4156349E+001, 3.6907252E+002, 3.3928947E+001, 4.9941691E-002
 2.6402597E+001, 1.4151698E+001, 3.6969684E+002, 4.0034430E+001, 4.9937205E-002
 2.7630482E+001, 1.4146538E+001, 3.7591200E+002, 4.6946321E+001, 4.9932362E-002
 2.8807397E+001, 1.4140936E+001, 3.7854997E+002, 5.3429180E+001, 4.9926992E-002
 3.0002939E+001, 1.4134950E+001, 3.8153201E+002, 5.9179676E+001, 4.9921486E-002
 3.1211518E+001, 1.4128520E+001, 3.8150172E+002, 6.3343378E+001, 4.9915602E-002
 3.2423720E+001, 1.4121807E+001, 3.8896793E+002, 6.6607236E+001, 4.9909471E-002
 3.3617579E+001, 1.4114831E+001, 3.8669024E+002, 7.0206382E+001, 4.9902764E-002
 3.4814623E+001, 1.4107588E+001, 3.8831978E+002, 7.4974962E+001, 4.9896415E-002
 3.6012776E+001, 1.4100000E+001, 3.9439552E+002, 7.9004567E+001, 4.9889483E-002
 3.7231326E+001, 1.4091907E+001, 3.9192345E+002, 8.4766724E+001, 4.9882192E-002
 3.8420587E+001, 1.4083406E+001, 3.9210961E+002, 8.8420728E+001, 4.9875170E-002
 3.9624754E+001, 1.4074624E+001, 3.9372864E+002, 9.3430190E+001, 4.9868180E-002
 4.0812775E+001, 1.4065467E+001, 4.0189476E+002, 9.6417352E+001, 4.9860587E-002
 4.2019961E+001, 1.4056085E+001, 4.0713607E+002, 1.0098720E+002, 4.9851445E-002
 4.3201125E+001, 1.4046286E+001, 4.0396291E+002, 1.0328484E+002, 4.9841651E-002
 4.4401188E+001, 1.4036439E+001, 4.0207826E+002, 1.0425250E+002, 4.9832509E-002
 4.5600615E+001, 1.4026230E+001, 4.0477533E+002, 1.1149269E+002, 4.9823453E-002
 4.6823429E+001, 1.4015273E+001, 4.0569515E+002, 1.1504309E+002, 4.9813811E-002
 4.8029944E+001, 1.4004107E+001, 4.1801350E+002, 1.1733251E+002, 4.9802866E-002
 4.9217240E+001, 1.3992921E+001, 4.2285846E+002, 1.2205616E+002, 4.9789080E-002
 5.0406227E+001, 1.3981006E+001, 4.2173246E+002, 1.3333201E+002, 4.9773304E-002
 5.1616224E+001, 1.3968050E+001, 4.2433634E+002, 1.4325480E+002, 4.9758069E-002
 5.2805443E+001, 1.3954595E+001, 4.2088376E+002, 1.4798874E+002, 4.9741731E-002
 5.4021172E+001, 1.3940502E+001, 4.2629042E+002, 1.5508837E+002, 4.9725745E-002
 5.5207641E+001, 1.3926002E+001, 4.2460422E+002, 1.5860781E+002, 4.9708555E-002
 5.6416257E+001, 1.3911685E+001, 4.2016071E+002, 1.5446011E+002, 4.9692858E-002
 5.7607005E+001, 1.3897375E+001, 4.2202922E+002, 1.5747211E+002, 4.9678043E-002
 5.8828341E+001, 1.3882596E+001, 4.1876883E+002, 1.6059454E+002, 4.9663337E-002
 6.0002889E+001, 1.3867773E+001, 4.2092611E+002, 1.6341849E+002, 4.9649406E-002
 6.1200896E+001, 1.3852858E+001, 4.2533036E+002, 1.6719797E+002, 4.9635054E-002
 6.2404762E+001, 1.3837315E+001, 4.3242046E+002, 1.7344281E+002, 4.9618826E-002
 6.3619442E+001, 1.3821135E+001, 4.3044571E+002, 1.7804644E+002, 4.9600694E-002
 6.4816263E+001, 1.3804829E+001, 4.3308619E+002, 1.7930788E+002, 4.9583027E-002
 6.6029789E+001, 1.3788417E+001, 4.3760727E+002, 1.7990271E+002, 4.9564731E-002
 6.7214801E+001, 1.3771996E+001, 4.3658815E+002, 1.7931521E+002, 4.9544838E-002
 6.8413818E+001, 1.3756146E+001, 4.2909309E+002, 1.7456126E+002, 4.9527051E-002
 6.9616828E+001, 1.3740281E+001, 4.2702443E+002, 1.7359329E+002, 4.9511575E-002
 7.0813405E+001, 1.3724703E+001, 4.3659912E+002, 1.6901074E+002, 4.9496160E-002
 7.2010730E+001, 1.3709331E+001, 4.3454993E+002, 1.6929989E+002, 4.9479382E-002
 7.3216023E+001, 1.3694127E+001, 4.3451565E+002, 1.6427203E+002, 4.9462823E-002
 7.4423458E+001, 1.3679206E+001, 4.3376562E+002, 1.6075467E+002, 4.9446597E-002
 7.5602126E+001, 1.3664861E+001, 4.2848150E+002, 1.5453793E+002, 4.9431287E-002
 7.6819021E+001, 1.3650708E+001, 4.2688198E+002, 1.5643341E+002, 4.9417466E-002
 7.8017700E+001, 1.3636043E+001, 4.3347021E+002, 1.6219182E+002, 4.9403725E-002
 7.9214504E+001, 1.3621014E+001, 4.3350573E+002, 1.6431294E+002, 4.9389321E-002
 8.0407946E+001, 1.3606372E+001, 4.3199433E+002, 1.6085804E+002, 4.9374897E-002
 8.1604489E+001, 1.3591540E+001, 4.3818388E+002, 1.6241876E+002, 4.9360325E-002
 8.2825439E+001, 1.3576522E+001, 4.3937765E+002, 1.6361163E+002, 4.9344623E-002
 8.4017300E+001, 1.3561615E+001, 4.4112270E+002, 1.6407794E+002, 4.9328521E-002
 8.5219728E+001, 1.3546382E+001, 4.4508263E+002, 1.7046151E+002, 4.9311773E-002
 8.6408967E+001, 1.3530753E+001, 4.5273725E+002, 1.7491636E+002, 4.9293419E-002
 8.7625412E+001, 1.3514572E+001, 4.4553789E+002, 1.7976767E+002, 4.9273915E-002
 8.8819322E+001, 1.3498133E+001, 4.4233175E+002, 1.8066070E+002, 4.9256221E-002
 9.0003193E+001, 1.3481858E+001, 4.4867006E+002, 1.8383521E+002, 4.9239509E-002
 9.1208811E+001, 1.3465456E+001, 4.4597347E+002, 1.7873354E+002, 4.9222214E-002
 9.2410055E+001, 1.3449661E+001, 4.5757149E+002, 1.7293124E+002, 4.9204419E-002
 9.3608806E+001, 1.3434065E+001, 4.5166816E+002, 1.6975769E+002, 4.9185271E-002
 9.4804621E+001, 1.3418685E+001, 4.6698340E+002, 1.7097540E+002, 4.9165882E-002
 9.6000474E+001, 1.3403143E+001, 4.6914228E+002, 1.7258121E+002, 4.9143762E-002
 9.7215057E+001, 1.3387494E+001, 4.6562173E+002, 1.7218301E+002, 4.9119856E-002
 9.8427912E+001, 1.3371636E+001, 4.6373456E+002, 1.7320617E+002, 4.9097096E-002
 9.9610936E+001, 1.3355945E+001, 4.5766999E+002, 1.7395909E+002, 4.9076065E-002
 1.0082634E+002, 1.3340380E+001, 4.5964895E+002, 1.6822837E+002, 4.9056904E-002
 1.0202028E+002, 1.3325424E+001, 4.5660115E+002, 1.5692788E+002, 4.9038244E-002
 1.0322089E+002, 1.3311401E+001, 4.4722719E+002, 1.5033339E+002, 4.9020838E-002
 1.0441895E+002, 1.3297906E+001, 4.4707167E+002, 1.4695613E+002, 4.9005585E-002
 1.0561990E+002, 1.3284367E+001, 4.4624633E+002, 1.4812098E+002, 4.8991278E-002
 1.0680708E+002, 1.3270791E+001, 4.4700238E+002, 1.4801922E+002, 4.8977440E-002
 1.0802669E+002, 1.3257135E+001, 4.4187555E+002, 1.4714239E+002, 4.8963850E-002
 1.0920800E+002, 1.3243689E+001, 4.4768076E+002, 1.4779588E+002, 4.8951065E-002
 1.1041275E+002, 1.3230268E+001, 4.4908758E+002, 1.4904860E+002, 4.8937991E-002
 1.1160646E+002, 1.3216513E+001, 4.4988501E+002, 1.5244895E+002, 4.8924351E-002
 1.1281182E+002, 1.3202347E+001, 4.5013777E+002, 1.5705645E+002, 4.8910527E-002
 1.1401044E+002, 1.3187804E+001, 4.4964661E+002, 1.6121836E+002, 4.8896635E-002
 1.1521469E+002, 1.3172960E+001, 4.5246482E+002, 1.6526730E+002, 4.8882770E-002
 1.1641929E+002, 1.3157673E+001, 4.5381047E+002, 1.6991039E+002, 4.8868544E-002
 1.1762557E+002, 1.3142098E+001, 4.6077067E+002, 1.7074530E+002, 4.8853859E-002
 1.1881866E+002, 1.3126748E+001, 4.5349908E+002, 1.6872059E+002, 4.8838337E-002
 1.2002177E+002, 1.3111649E+001, 4.5335767E+002, 1.6684700E+002, 4.8823244E-002
 1.2120582E+002, 1.3096595E+001, 4.5600006E+002, 1.6810685E+002, 4.8808658E-002
 1.2240765E+002, 1.3081393E+001, 4.5406431E+002, 1.6866625E+002, 4.8794031E-002
 1.2360732E+002, 1.3066057E+001, 4.6077917E+002, 1.6925946E+002, 4.8779322E-002
 1.2481722E+002, 1.3050768E+001, 4.5806305E+002, 1.6532641E+002, 4.8763970E-002
 1.2600837E+002, 1.3035936E+001, 4.5765623E+002, 1.6214291E+002, 4.8748771E-002
 1.2720526E+002, 1.3021569E+001, 4.5843725E+002, 1.5741550E+002, 4.8733876E-002
 1.2841149E+002, 1.3007090E+001, 4.5829556E+002, 1.6007202E+002, 4.8718857E-002
 1.2961190E+002, 1.2992482E+001, 4.6400925E+002, 1.6109306E+002, 4.8703735E-002
 1.3081881E+002, 1.2977890E+001, 4.6181318E+002, 1.6048838E+002, 4.8688205E-002
 1.3202266E+002, 1.2963224E+001, 4.6787497E+002, 1.6207481E+002, 4.8672514E-002
 1.3320509E+002, 1.2948494E+001, 4.6506790E+002, 1.6429234E+002, 4.8656314E-002
 1.3441303E+002, 1.2933655E+001, 4.6437584E+002, 1.6400211E+002, 4.8640054E-002
 1.3562549E+002, 1.2918680E+001, 4.6588999E+002, 1.6374670E+002, 4.8623898E-002
 1.3681030E+002, 1.2903909E+001, 4.6866003E+002, 1.6406043E+002, 4.8607902E-002
 1.3800778E+002, 1.2889130E+001, 4.6419819E+002, 1.6316634E+002, 4.8591679E-002
 1.3922666E+002, 1.2874289E+001, 4.5964018E+002, 1.6089539E+002, 4.8575667E-002
 1.4041875E+002, 1.2859749E+001, 4.6580227E+002, 1.5864612E+002, 4.8560557E-002
 1.4163567E+002, 1.2845305E+001, 4.6106914E+002, 1.5699052E+002, 4.8545495E-002
 1.4280328E+002, 1.2831310E+001, 4.6661303E+002, 1.5378644E+002, 4.8530810E-002
 1.4401905E+002, 1.2817615E+001, 4.6998560E+002, 1.5055006E+002, 4.8516030E-002
 1.4521547E+002, 1.2803902E+001, 4.7341334E+002, 1.4898364E+002, 4.8500489E-002
 1.4642589E+002, 1.2790299E+001, 4.7447809E+002, 1.4802149E+002, 4.8484328E-002
 1.4760333E+002, 1.2776880E+001, 4.7240767E+002, 1.4575933E+002, 4.8467921E-002
 1.4880896E+002, 1.2763720E+001, 4.7382658E+002, 1.4457148E+002, 4.8451492E-002
 1.5000810E+002, 1.2750588E+001, 4.7117607E+002, 1.4227797E+002, 4.8434834E-002
 1.5121987E+002, 1.2737522E+001, 4.7577576E+002, 1.4303635E+002, 4.8418508E-002
 1.5242748E+002, 1.2724247E+001, 4.7870726E+002, 1.4521966E+002, 4.8402114E-002
 1.5360839E+002, 1.2710965E+001, 4.7096495E+002, 1.4720764E+002, 4.8385390E-002
 1.5481174E+002, 1.2697700E+001, 4.6885990E+002, 1.4681285E+002, 4.8369147E-002
 1.5602824E+002, 1.2684175E+001, 4.7839945E+002, 1.4757397E+002, 4.8353388E-002
 1.5720687E+002, 1.2670680E+001, 4.8288223E+002, 1.4843063E+002, 4.8337658E-002
 1.5842364E+002, 1.2657157E+001, 4.8012083E+002, 1.4901449E+002, 4.8321032E-002
 1.5962311E+002, 1.2643429E+001, 4.8348299E+002, 1.5115152E+002, 4.8303972E-002
 1.6080794E+002, 1.2629766E+001, 4.9002088E+002, 1.5144824E+002, 4.8286949E-002
 1.6201389E+002, 1.2616038E+001, 4.8796805E+002, 1.5162308E+002, 4.8269238E-002
 1.6320622E+002, 1.2602324E+001, 4.8915796E+002, 1.5106631E+002, 4.8251023E-002
 1.6440071E+002, 1.2588606E+001, 4.9254916E+002, 1.5173235E+002, 4.8232868E-002
 1.6560644E+002, 1.2574765E+001, 4.8340431E+002, 1.5282391E+002, 4.8214306E-002
 1.6682654E+002, 1.2560826E+001, 4.7811330E+002, 1.5067530E+002, 4.8196172E-002
 1.6801770E+002, 1.2547158E+001, 4.8342873E+002, 1.4974399E+002, 4.8179481E-002
 1.6921079E+002, 1.2533692E+001, 4.8440835E+002, 1.4890041E+002, 4.8163553E-002
 1.7041166E+002, 1.2520065E+001, 4.8006819E+002, 1.5083637E+002, 4.8147564E-002
 1.7162104E+002, 1.2506306E+001, 4.7818429E+002, 1.5145572E+002, 4.8131807E-002
 1.7281970E+002, 1.2492553E+001, 4.8259642E+002, 1.5217225E+002, 4.8116707E-002
 1.7400052E+002, 1.2478880E+001, 4.9009856E+002, 1.5139681E+002, 4.8101955E-002
 1.7522448E+002, 1.2464998E+001, 4.8576599E+002, 1.5336122E+002, 4.8086605E-002
 1.7641433E+002, 1.2451040E+001, 4.8733018E+002, 1.5375846E+002, 4.8071004E-002
 1.7762048E+002, 1.2437127E+001, 4.8845325E+002, 1.5440831E+002, 4.8055655E-002
 1.7881960E+002, 1.2423127E+001, 4.8571562E+002, 1.5442234E+002, 4.8040051E-002
 1.8000142E+002, 1.2409267E+001, 4.8159033E+002, 1.5454023E+002, 4.8024746E-002
 1.8122628E+002, 1.2395355E+001, 4.8906784E+002, 1.5217170E+002, 4.8009728E-002
 1.8240880E+002, 1.2381481E+001, 4.8651289E+002, 1.5253270E+002, 4.7994875E-002
 1.8360329E+002, 1.2367785E+001, 4.8864746E+002, 1.5278701E+002, 4.7980185E-002
 1.8481360E+002, 1.2353987E+001, 4.9338396E+002, 1.5162822E+002, 4.7965361E-002
 1.8602414E+002, 1.2340181E+001, 4.9410029E+002, 1.5123336E+002, 4.7950369E-002
 1.8721418E+002, 1.2326525E+001, 4.9087359E+002, 1.5000475E+002, 4.7934946E-002
 1.8841900E+002, 1.2312989E+001, 4.9480745E+002, 1.4914310E+002, 4.7919910E-002
 1.8962730E+002, 1.2299390E+001, 4.9286762E+002, 1.4844950E+002, 4.7904424E-002
 1.9080711E+002, 1.2286016E+001, 4.8876625E+002, 1.4776806E+002, 4.7889298E-002
 1.9202469E+002, 1.2272573E+001, 4.9079665E+002, 1.4789399E+002, 4.7874220E-002
 1.9321080E+002, 1.2259171E+001, 4.8781250E+002, 1.4740958E+002, 4.7859432E-002
 1.9442119E+002, 1.2245897E+001, 4.8829405E+002, 1.4539499E+002, 4.7844953E-002
 1.9561345E+002, 1.2232618E+001, 4.8506225E+002, 1.4465090E+002, 4.7830606E-002
 1.9680141E+002, 1.2219666E+001, 4.8658383E+002, 1.4262133E+002, 4.7816800E-002
 1.9800991E+002, 1.2206752E+001, 4.9028474E+002, 1.4341686E+002, 4.7803381E-002
 1.9920375E+002, 1.2193824E+001, 4.9087091E+002, 1.4175004E+002, 4.7789919E-002
 2.0041234E+002, 1.2180922E+001, 4.9114074E+002, 1.4249907E+002, 4.7776416E-002
 2.0160566E+002, 1.2168066E+001, 4.9210889E+002, 1.4126425E+002, 4.7762935E-002
 2.0281747E+002, 1.2155172E+001, 4.9553268E+002, 1.4217612E+002, 4.7749335E-002
 2.0401401E+002, 1.2142201E+001, 4.9733671E+002, 1.4233787E+002, 4.7735763E-002
 2.0521610E+002, 1.2129217E+001, 4.9574256E+002, 1.4432142E+002, 4.7721872E-002
 2.0642633E+002, 1.2116081E+001, 4.9049606E+002, 1.4472452E+002, 4.7707852E-002
