s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 6.0000000E+000, 2.1000711E+001, 9.7500002E-001, 8.6518114E-014, 3.4607246E-009, 2.1801841E-001
 1.2000000E+001, 2.2000711E+001, 9.7500002E-001, 1.0107089E-013, 4.0428358E-009, 2.1801841E-001
 1.8000000E+001, 2.3000711E+001, 9.7500002E-001, 1.1794763E-013, 4.7179052E-009, 2.1801840E-001
 2.4000000E+001, 2.4000711E+001, 9.7500002E-001, 1.3749944E-013, 5.4999778E-009, 2.1801840E-001
 3.0000000E+001, 2.5000711E+001, 9.7500002E-001, 1.6012747E-013, 6.4050991E-009, 2.1801840E-001
 3.6000000E+001, 2.6000711E+001, 9.7500002E-001, 1.8628950E-013, 7.4515798E-009, 2.1801841E-001
 4.2000000E+001, 2.7000711E+001, 9.7500002E-001, 2.1650752E-013, 8.6603009E-009, 2.1801838E-001
 4.8000000E+001, 2.8000711E+001, 9.7500002E-001, 2.5137612E-013, 1.0055045E-008, 2.1801838E-001
 5.4000000E+001, 2.9000711E+001, 9.7500002E-001, 2.9157197E-013, 1.1662880E-008, 2.1801840E-001
 6.0000000E+001, 3.0000711E+001, 9.7500002E-001, 3.3786447E-013, 1.3514580E-008, 2.1801840E-001
 6.6000000E+001, 3.1000711E+001, 9.7500002E-001, 3.9112759E-013, 1.5645105E-008, 2.1801840E-001
 7.2000000E+001, 3.2000713E+001, 9.7500002E-001, 4.5235324E-013, 1.8094131E-008, 2.1801840E-001
 7.8000000E+001, 3.3000713E+001, 9.7500002E-001, 5.2266611E-013, 2.0906645E-008, 2.1801840E-001
 8.4000000E+001, 3.4000713E+001, 9.7500002E-001, 6.0334040E-013, 2.4133616E-008, 2.1801841E-001
 9.0000000E+001, 3.5000713E+001, 9.7500002E-001, 6.9581829E-013, 2.7832733E-008, 2.1801840E-001
 9.6000000E+001, 3.6000713E+001, 9.7500002E-001, 8.0173097E-013, 3.2069238E-008, 2.1801841E-001
 1.0200000E+002, 3.7000713E+001, 9.7500002E-001, 9.2292124E-013, 3.6916852E-008, 2.1801838E-001
 1.0800000E+002, 3.8000713E+001, 9.7500002E-001, 1.0614699E-012, 4.2458797E-008, 2.1801841E-001
 1.1400000E+002, 3.9000713E+001, 9.7500002E-001, 1.2197239E-012, 4.8788955E-008, 2.1801840E-001
 1.2000000E+002, 4.0000713E+001, 9.7500002E-001, 1.4003284E-012, 5.6013139E-008, 2.1801841E-001
 1.2600000E+002, 4.1000713E+001, 9.7500002E-001, 1.6062623E-012, 6.4250500E-008, 2.1801840E-001
 1.3200000E+002, 4.2000713E+001, 9.7500002E-001, 1.8408777E-012, 7.3635107E-008, 2.1801840E-001
 1.3800000E+002, 4.3000713E+001, 9.7500002E-001, 2.1079427E-012, 8.4317712E-008, 2.1801840E-001
 1.4400000E+002, 4.4000713E+001, 9.7500002E-001, 2.4116911E-012, 9.6467645E-008, 2.1801840E-001
 1.5000000E+002, 4.5000713E+001, 9.7500002E-001, 2.7568746E-012, 1.1027499E-007, 2.1801841E-001
 1.5600000E+002, 4.6000713E+001, 9.7500002E-001, 3.1488232E-012, 1.2595294E-007, 2.1801840E-001
 1.6200000E+002, 4.7000713E+001, 9.7500002E-001, 3.5935105E-012, 1.4374042E-007, 2.1801841E-001
 1.6800000E+002, 4.8000713E+001, 9.7500002E-001, 4.0976255E-012, 1.6390503E-007, 2.1801843E-001
 1.7400000E+002, 4.9000713E+001, 9.7500002E-001, 4.6686535E-012, 1.8674615E-007, 2.1801841E-001
 1.8000000E+002, 5.0000713E+001, 9.7500002E-001, 5.3149646E-012, 2.1259859E-007, 2.1801840E-001
 1.8600000E+002, 5.1000713E+001, 9.7500002E-001, 6.0459099E-012, 2.4183640E-007, 2.1801840E-001
 1.9200000E+002, 5.2000713E+001, 9.7500002E-001, 6.8719301E-012, 2.7487721E-007, 2.1801843E-001
 1.9800000E+002, 5.3000713E+001, 9.7500002E-001, 7.8046736E-012, 3.1218696E-007, 2.1801840E-001
 2.0400000E+002, 5.4000713E+001, 9.7500002E-001, 8.8571268E-012, 3.5428508E-007, 2.1801838E-001
 2.1000000E+002, 5.5000713E+001, 9.7500002E-001, 1.0043755E-011, 4.0175021E-007, 2.1801837E-001
 2.1600000E+002, 5.6000713E+001, 9.7500002E-001, 1.1380664E-011, 4.5522657E-007, 2.1801841E-001
 2.2200000E+002, 5.7000713E+001, 9.7500002E-001, 1.2885767E-011, 5.1543071E-007, 2.1801841E-001
 2.2800000E+002, 5.8000713E+001, 9.7500002E-001, 1.4578982E-011, 5.8315931E-007, 2.1801841E-001
 2.3400000E+002, 5.9000713E+001, 9.7500002E-001, 1.6482432E-011, 6.5929726E-007, 2.1801840E-001
 2.4000000E+002, 6.0000713E+001, 9.7500002E-001, 1.8620674E-011, 7.4482699E-007, 2.1801841E-001
 2.4600000E+002, 6.1000713E+001, 9.7500002E-001, 2.1020956E-011, 8.4083825E-007, 2.1801840E-001
 2.5200000E+002, 6.2000713E+001, 9.7500002E-001, 2.3713479E-011, 9.4853920E-007, 2.1801841E-001
 2.5800000E+002, 6.3000713E+001, 9.7500002E-001, 2.6731705E-011, 1.0692683E-006, 2.1801840E-001
