s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 3.0000000E+001, 2.1000143E+001, 9.7250003E-001, 8.5272941E-014, 3.4109178E-009, 4.3491814E-002
 6.0000000E+001, 2.2000143E+001, 9.7250003E-001, 9.9616197E-014, 3.9846482E-009, 4.3491796E-002
 9.0000000E+001, 2.3000143E+001, 9.7250003E-001, 1.1624993E-013, 4.6499977E-009, 4.3491807E-002
 1.2000000E+002, 2.4000143E+001, 9.7250003E-001, 1.3552023E-013, 5.4208091E-009, 4.3491796E-002
 1.5000000E+002, 2.5000143E+001, 9.7250003E-001, 1.5782240E-013, 6.3128964E-009, 4.3491773E-002
 1.8000000E+002, 2.6000143E+001, 9.7250003E-001, 1.8360769E-013, 7.3443078E-009, 4.3491796E-002
 2.1000000E+002, 2.7000143E+001, 9.7250003E-001, 2.1339053E-013, 8.5356211E-009, 4.3491781E-002
 2.4000000E+002, 2.8000143E+001, 9.7250003E-001, 2.4775695E-013, 9.9102779E-009, 4.3491811E-002
 2.7000000E+002, 2.9000143E+001, 9.7250003E-001, 2.8737388E-013, 1.1494955E-008, 4.3491784E-002
 3.0000000E+002, 3.0000143E+001, 9.7250003E-001, 3.3299961E-013, 1.3319984E-008, 4.3491799E-002
 3.3000000E+002, 3.1000143E+001, 9.7250003E-001, 3.8549551E-013, 1.5419822E-008, 4.3491796E-002
 3.6000000E+002, 3.2000141E+001, 9.7250003E-001, 4.4583919E-013, 1.7833569E-008, 4.3491811E-002
 3.9000000E+002, 3.3000141E+001, 9.7250003E-001, 5.1513915E-013, 2.0605567E-008, 4.3491788E-002
 4.2000000E+002, 3.4000141E+001, 9.7250003E-001, 5.9465123E-013, 2.3786050E-008, 4.3491803E-002
 4.5000000E+002, 3.5000141E+001, 9.7250003E-001, 6.8579685E-013, 2.7431874E-008, 4.3491807E-002
 4.8000000E+002, 3.6000141E+001, 9.7250003E-001, 7.9018351E-013, 3.1607343E-008, 4.3491807E-002
 5.1000000E+002, 3.7000141E+001, 9.7250003E-001, 9.0962762E-013, 3.6385106E-008, 4.3491803E-002
 5.4000000E+002, 3.8000141E+001, 9.7250003E-001, 1.0461800E-012, 4.1847201E-008, 4.3491811E-002
 5.7000000E+002, 3.9000141E+001, 9.7250003E-001, 1.2021535E-012, 4.8086143E-008, 4.3491799E-002
 6.0000000E+002, 4.0000141E+001, 9.7250003E-001, 1.3801554E-012, 5.5206222E-008, 4.3491803E-002
 6.3000000E+002, 4.1000141E+001, 9.7250003E-001, 1.5831218E-012, 6.3324869E-008, 4.3491788E-002
 6.6000000E+002, 4.2000141E+001, 9.7250003E-001, 1.8143558E-012, 7.2574238E-008, 4.3491811E-002
 6.9000000E+002, 4.3000141E+001, 9.7250003E-001, 2.0775718E-012, 8.3102876E-008, 4.3491784E-002
 7.2000000E+002, 4.4000141E+001, 9.7250003E-001, 2.3769424E-012, 9.5077695E-008, 4.3491803E-002
 7.5000000E+002, 4.5000141E+001, 9.7250003E-001, 2.7171505E-012, 1.0868603E-007, 4.3491773E-002
 7.8000000E+002, 4.6000141E+001, 9.7250003E-001, 3.1034498E-012, 1.2413800E-007, 4.3491837E-002
 8.1000000E+002, 4.7000141E+001, 9.7250003E-001, 3.5417268E-012, 1.4166908E-007, 4.3491803E-002
 8.4000000E+002, 4.8000141E+001, 9.7250003E-001, 4.0385750E-012, 1.6154300E-007, 4.3491818E-002
 8.7000000E+002, 4.9000141E+001, 9.7250003E-001, 4.6013709E-012, 1.8405485E-007, 4.3491777E-002
 9.0000000E+002, 5.0000141E+001, 9.7250003E-001, 5.2383644E-012, 2.0953459E-007, 4.3491796E-002
 9.3000000E+002, 5.1000141E+001, 9.7250003E-001, 5.9587717E-012, 2.3835088E-007, 4.3491799E-002
 9.6000000E+002, 5.2000141E+001, 9.7250003E-001, 6.7728826E-012, 2.7091531E-007, 4.3491811E-002
 9.9000000E+002, 5.3000141E+001, 9.7250003E-001, 7.6921776E-012, 3.0768712E-007, 4.3491788E-002
 1.0200000E+003, 5.4000141E+001, 9.7250003E-001, 8.7294555E-012, 3.4917824E-007, 4.3491811E-002
 1.0500000E+003, 5.5000141E+001, 9.7250003E-001, 9.8989731E-012, 3.9595895E-007, 4.3491770E-002
 1.0800000E+003, 5.6000141E+001, 9.7250003E-001, 1.1216604E-011, 4.4866417E-007, 4.3491822E-002
 1.1100000E+003, 5.7000141E+001, 9.7250003E-001, 1.2700003E-011, 5.0800014E-007, 4.3491792E-002
 1.1400000E+003, 5.8000141E+001, 9.7250003E-001, 1.4368800E-011, 5.7475205E-007, 4.3491792E-002
 1.1700000E+003, 5.9000141E+001, 9.7249997E-001, 1.6244797E-011, 6.4979196E-007, 4.3491796E-002
 1.2000000E+003, 6.0000141E+001, 9.7249997E-001, 1.8352203E-011, 7.3408813E-007, 4.3491822E-002
 1.2300000E+003, 6.1000141E+001, 9.7249997E-001, 2.0717865E-011, 8.2871469E-007, 4.3491803E-002
 1.2600000E+003, 6.2000141E+001, 9.7249997E-001, 2.3371555E-011, 9.3486221E-007, 4.3491814E-002
 1.2900000E+003, 6.3000141E+001, 9.7249997E-001, 2.6346246E-011, 1.0538499E-006, 4.3491822E-002
 1.3200000E+003, 6.4000145E+001, 9.7249997E-001, 2.9678454E-011, 1.1871382E-006, 4.3491799E-002
 1.3500000E+003, 6.5000145E+001, 9.7249997E-001, 3.3408568E-011, 1.3363427E-006, 4.3491822E-002
 1.3800000E+003, 6.6000145E+001, 9.7249997E-001, 3.7581251E-011, 1.5032501E-006, 4.3491822E-002
 1.4100000E+003, 6.7000145E+001, 9.7249997E-001, 4.2245853E-011, 1.6898342E-006, 4.3491825E-002
 1.4400000E+003, 6.8000145E+001, 9.7249997E-001, 4.7456865E-011, 1.8982747E-006, 4.3491811E-002
 1.4700000E+003, 6.9000145E+001, 9.7249997E-001, 5.3274420E-011, 2.1309770E-006, 4.3491792E-002
 1.5000000E+003, 7.0000145E+001, 9.7249997E-001, 5.9764832E-011, 2.3905934E-006, 4.3491811E-002
 1.5300000E+003, 7.1000145E+001, 9.7249997E-001, 6.7001196E-011, 2.6800478E-006, 4.3491822E-002
 1.5600000E+003, 7.2000145E+001, 9.7249997E-001, 7.5064011E-011, 3.0025606E-006, 4.3491814E-002
 1.5900000E+003, 7.3000145E+001, 9.7249997E-001, 8.4041892E-011, 3.3616759E-006, 4.3491837E-002
 1.6200000E+003, 7.4000145E+001, 9.7249997E-001, 9.4032337E-011, 3.7612938E-006, 4.3491788E-002
