s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.5900000E+002, 7.3001419E+001, 9.8750001E-001, 8.6355839E-011, 3.4542338E-006, 4.4163090E-001
 1.6200000E+002, 7.4001419E+001, 9.8750001E-001, 9.6621461E-011, 3.8648586E-006, 4.4163090E-001
 1.6500000E+002, 7.5001419E+001, 9.8750001E-001, 1.0803768E-010, 4.3215073E-006, 4.4163090E-001
 1.6800000E+002, 7.6001419E+001, 9.8750001E-001, 1.2072553E-010, 4.8290212E-006, 4.4163090E-001
 1.7100000E+002, 7.7001419E+001, 9.8750001E-001, 1.3481787E-010, 5.3927151E-006, 4.4163090E-001
 1.7400000E+002, 7.8001419E+001, 9.8750001E-001, 1.5046059E-010, 6.0184238E-006, 4.4163090E-001
 1.7700000E+002, 7.9001419E+001, 9.8750001E-001, 1.6781364E-010, 6.7125461E-006, 4.4163093E-001
 1.8000000E+002, 8.0001419E+001, 9.8750001E-001, 1.8705242E-010, 7.4820969E-006, 4.4163093E-001
 1.8300000E+002, 8.1001419E+001, 9.8750001E-001, 2.0836903E-010, 8.3347613E-006, 4.4163090E-001
 1.8600000E+002, 8.2001419E+001, 9.8750001E-001, 2.3197387E-010, 9.2789551E-006, 4.4163093E-001
 1.8900000E+002, 8.3001419E+001, 9.8750001E-001, 2.5809718E-010, 1.0323888E-005, 4.4163093E-001
 1.9200000E+002, 8.4001419E+001, 9.8750001E-001, 2.8699076E-010, 1.1479631E-005, 4.4163093E-001
 1.9500000E+002, 8.5001419E+001, 9.8750001E-001, 3.1892991E-010, 1.2757197E-005, 4.4163096E-001
 1.9800000E+002, 8.6001419E+001, 9.8750001E-001, 3.5421532E-010, 1.4168614E-005, 4.4163099E-001
 2.0100000E+002, 8.7001419E+001, 9.8750001E-001, 3.9317544E-010, 1.5727019E-005, 4.4163099E-001
 2.0400000E+002, 8.8001419E+001, 9.8750001E-001, 4.3616866E-010, 1.7446748E-005, 4.4163099E-001
 2.0700000E+002, 8.9001419E+001, 9.8750001E-001, 4.8358589E-010, 1.9343437E-005, 4.4163099E-001
 2.1000000E+002, 9.0001419E+001, 9.8750001E-001, 5.3585336E-010, 2.1434136E-005, 4.4163102E-001
 2.1300000E+002, 9.1001419E+001, 9.8750001E-001, 5.9343547E-010, 2.3737421E-005, 4.4163105E-001
 2.1600000E+002, 9.2001419E+001, 9.8749995E-001, 6.5683797E-010, 2.6273519E-005, 4.4163102E-001
 2.1900000E+002, 9.3001419E+001, 9.8749995E-001, 7.2661133E-010, 2.9064455E-005, 4.4163108E-001
 2.2200000E+002, 9.4001419E+001, 9.8749995E-001, 8.0335461E-010, 3.2134187E-005, 4.4163108E-001
 2.2500000E+002, 9.5001419E+001, 9.8749995E-001, 8.8771895E-010, 3.5508761E-005, 4.4163111E-001
 2.2800000E+002, 9.6001419E+001, 9.8749995E-001, 9.8041231E-010, 3.9216495E-005, 4.4163111E-001
 2.3100000E+002, 9.7001419E+001, 9.8749995E-001, 1.0822035E-009, 4.3288142E-005, 4.4163114E-001
 2.3400000E+002, 9.8001419E+001, 9.8749995E-001, 1.1939275E-009, 4.7757101E-005, 4.4163117E-001
 2.3700000E+002, 9.9001419E+001, 9.8749995E-001, 1.3164903E-009, 5.2659612E-005, 4.4163120E-001
 2.4000000E+002, 1.0000142E+002, 9.8749995E-001, 1.4508746E-009, 5.8034988E-005, 4.4163123E-001
 2.4300000E+002, 1.0100142E+002, 9.8749995E-001, 1.5981461E-009, 6.3925843E-005, 4.4163129E-001
 2.4600000E+002, 1.0200142E+002, 9.8749995E-001, 1.7594592E-009, 7.0378373E-005, 4.4163135E-001
 2.4900000E+002, 1.0300142E+002, 9.8749995E-001, 1.9360649E-009, 7.7442601E-005, 4.4163135E-001
 2.5200000E+002, 1.0400142E+002, 9.8749995E-001, 2.1293169E-009, 8.5172680E-005, 4.4163141E-001
 2.5500000E+002, 1.0500142E+002, 9.8749995E-001, 2.3406808E-009, 9.3627234E-005, 4.4163144E-001
 2.5800000E+002, 1.0600142E+002, 9.8749989E-001, 2.5717410E-009, 1.0286964E-004, 4.4163150E-001
 2.6100000E+002, 1.0700142E+002, 9.8749989E-001, 2.8242113E-009, 1.1296845E-004, 4.4163159E-001
 2.6400000E+002, 1.0800142E+002, 9.8749989E-001, 3.0999432E-009, 1.2399773E-004, 4.4163164E-001
 2.6700000E+002, 1.0900142E+002, 9.8749989E-001, 3.4009366E-009, 1.3603747E-004, 4.4163170E-001
 2.7000000E+002, 1.1000142E+002, 9.8749989E-001, 3.7293511E-009, 1.4917405E-004, 4.4163179E-001
 2.7300000E+002, 1.1100142E+002, 9.8749989E-001, 4.0875170E-009, 1.6350069E-004, 4.4163191E-001
 2.7600000E+002, 1.1200142E+002, 9.8749983E-001, 4.4779482E-009, 1.7911794E-004, 4.4163200E-001
 2.7900000E+002, 1.1300142E+002, 9.8749983E-001, 4.9033551E-009, 1.9613421E-004, 4.4163209E-001
 2.8200000E+002, 1.1400142E+002, 9.8749983E-001, 5.3666591E-009, 2.1466638E-004, 4.4163221E-001
 2.8500000E+002, 1.1500142E+002, 9.8749983E-001, 5.8710077E-009, 2.3484031E-004, 4.4163230E-001
 2.8800000E+002, 1.1600142E+002, 9.8749977E-001, 6.4197896E-009, 2.5679159E-004, 4.4163245E-001
 2.9100000E+002, 1.1700142E+002, 9.8749977E-001, 7.0166530E-009, 2.8066614E-004, 4.4163260E-001
 2.9400000E+002, 1.1800142E+002, 9.8749977E-001, 7.6655224E-009, 3.0662093E-004, 4.4163272E-001
 2.9700000E+002, 1.1900142E+002, 9.8749971E-001, 8.3706206E-009, 3.3482484E-004, 4.4163296E-001
 3.0000000E+002, 1.2000142E+002, 9.8749971E-001, 9.1364845E-009, 3.6545942E-004, 4.4163316E-001
 3.0300000E+002, 1.2100142E+002, 9.8749965E-001, 9.9679918E-009, 3.9871968E-004, 4.4163331E-001
 3.0600000E+002, 1.2200142E+002, 9.8749965E-001, 1.0870381E-008, 4.3481524E-004, 4.4163352E-001
 3.0900000E+002, 1.2300142E+002, 9.8749959E-001, 1.1849276E-008, 4.7397107E-004, 4.4163379E-001
 3.1200000E+002, 1.2400142E+002, 9.8749959E-001, 1.2910715E-008, 5.1642861E-004, 4.4163406E-001
 3.1500000E+002, 1.2500142E+002, 9.8749954E-001, 1.4061174E-008, 5.6244701E-004, 4.4163433E-001
 3.1800000E+002, 1.2600142E+002, 9.8749948E-001, 1.5307602E-008, 6.1230414E-004, 4.4163463E-001
 3.2100000E+002, 1.2700142E+002, 9.8749942E-001, 1.6657443E-008, 6.6629780E-004, 4.4163498E-001
 3.2400000E+002, 1.2800142E+002, 9.8749942E-001, 1.8118682E-008, 7.2474731E-004, 4.4163531E-001
 3.2700000E+002, 1.2900142E+002, 9.8749936E-001, 1.9699861E-008, 7.8799453E-004, 4.4163573E-001
 3.3000000E+002, 1.3000142E+002, 9.8749930E-001, 2.1410141E-008, 8.5640565E-004, 4.4163615E-001
 3.3300000E+002, 1.3100142E+002, 9.8749918E-001, 2.3259314E-008, 9.3037263E-004, 4.4163659E-001
 3.3600000E+002, 1.3200142E+002, 9.8749912E-001, 2.5257869E-008, 1.0103148E-003, 4.4163710E-001
 3.3900000E+002, 1.3300142E+002, 9.8749906E-001, 2.7417018E-008, 1.0966808E-003, 4.4163758E-001
 3.4200000E+002, 1.3400142E+002, 9.8749894E-001, 2.9748751E-008, 1.1899500E-003, 4.4163817E-001
 3.4500000E+002, 1.3500142E+002, 9.8749888E-001, 3.2265881E-008, 1.2906353E-003, 4.4163880E-001
 3.4800000E+002, 1.3600142E+002, 9.8749876E-001, 3.4982101E-008, 1.3992841E-003, 4.4163948E-001
 3.5100000E+002, 1.3700142E+002, 9.8749864E-001, 3.7912034E-008, 1.5164815E-003, 4.4164017E-001
 3.5400000E+002, 1.3800142E+002, 9.8749852E-001, 4.1071292E-008, 1.6428517E-003, 4.4164094E-001
 3.5700000E+002, 1.3900142E+002, 9.8749840E-001, 4.4476536E-008, 1.7790615E-003, 4.4164178E-001
 3.6000000E+002, 1.4000142E+002, 9.8749828E-001, 4.8145541E-008, 1.9258216E-003, 4.4164264E-001
 3.6300000E+002, 1.4100142E+002, 9.8749810E-001, 5.2097263E-008, 2.0838906E-003, 4.4164366E-001
 3.6600000E+002, 1.4200142E+002, 9.8749799E-001, 5.6351922E-008, 2.2540770E-003, 4.4164467E-001
 3.6900000E+002, 1.4300142E+002, 9.8749781E-001, 6.0931050E-008, 2.4372423E-003, 4.4164580E-001
 3.7200000E+002, 1.4400142E+002, 9.8749757E-001, 6.5857606E-008, 2.6343046E-003, 4.4164696E-001
 3.7500000E+002, 1.4500142E+002, 9.8749739E-001, 7.1156030E-008, 2.8462412E-003, 4.4164824E-001
 3.7800000E+002, 1.4600142E+002, 9.8749715E-001, 7.6852338E-008, 3.0740937E-003, 4.4164968E-001
 3.8100000E+002, 1.4700142E+002, 9.8749691E-001, 8.2974239E-008, 3.3189696E-003, 4.4165114E-001
 3.8400000E+002, 1.4800142E+002, 9.8749667E-001, 8.9551186E-008, 3.5820478E-003, 4.4165275E-001
 3.8700000E+002, 1.4900142E+002, 9.8749638E-001, 9.6614535E-008, 3.8645817E-003, 4.4165447E-001
 3.9000000E+002, 1.5000142E+002, 9.8749608E-001, 1.0419761E-007, 4.1679046E-003, 4.4165632E-001
 3.9300000E+002, 1.5100142E+002, 9.8749578E-001, 1.1233583E-007, 4.4934331E-003, 4.4165832E-001
 3.9600000E+002, 1.5200142E+002, 9.8749542E-001, 1.2106682E-007, 4.8426734E-003, 4.4166040E-001
 3.9900000E+002, 1.5300142E+002, 9.8749506E-001, 1.3043059E-007, 5.2172239E-003, 4.4166270E-001
 4.0200000E+002, 1.5400142E+002, 9.8749465E-001, 1.4046957E-007, 5.6187827E-003, 4.4166508E-001
 4.0500000E+002, 1.5500142E+002, 9.8749417E-001, 1.5122882E-007, 6.0491534E-003, 4.4166774E-001
 4.0800000E+002, 1.5600142E+002, 9.8749375E-001, 1.6275619E-007, 6.5102479E-003, 4.4167054E-001
 4.1100000E+002, 1.5700142E+002, 9.8749322E-001, 1.7510240E-007, 7.0040966E-003, 4.4167349E-001
 4.1400000E+002, 1.5800142E+002, 9.8749268E-001, 1.8832127E-007, 7.5328513E-003, 4.4167674E-001
 4.1700000E+002, 1.5900142E+002, 9.8749208E-001, 2.0246985E-007, 8.0987941E-003, 4.4168016E-001
 4.2000000E+002, 1.6000142E+002, 9.8749143E-001, 2.1760859E-007, 8.7043438E-003, 4.4168383E-001
 4.2300000E+002, 1.6100142E+002, 9.8749077E-001, 2.3380156E-007, 9.3520628E-003, 4.4168773E-001
 4.2600000E+002, 1.6200142E+002, 9.8749006E-001, 2.5111663E-007, 1.0044666E-002, 4.4169191E-001
 4.2900000E+002, 1.6300142E+002, 9.8748928E-001, 2.6962570E-007, 1.0785028E-002, 4.4169641E-001
 4.3200000E+002, 1.6400142E+002, 9.8748845E-001, 2.8940480E-007, 1.1576192E-002, 4.4170114E-001
 4.3500000E+002, 1.6500142E+002, 9.8748755E-001, 3.1053443E-007, 1.2421378E-002, 4.4170630E-001
