s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.2000000E+001, 2.1000349E+001, 9.9999315E-001, 6.1164064E-007, 3.3344473E-011, 1.2150513E-001
 2.4000000E+001, 2.2000349E+001, 9.9998528E-001, 7.0236524E-007, 4.0945712E-011, 1.2170769E-001
 3.6000000E+001, 2.3000349E+001, 9.9997622E-001, 8.0576592E-007, 5.0210055E-011, 1.2193851E-001
 4.8000000E+001, 2.4000349E+001, 9.9996591E-001, 9.2349831E-007, 6.1486073E-011, 1.2220127E-001
 6.0000000E+001, 2.5000349E+001, 9.9995399E-001, 1.0574172E-006, 7.5192165E-011, 1.2250014E-001
 7.2000000E+001, 2.6000347E+001, 9.9994045E-001, 1.2095981E-006, 9.1829912E-011, 1.2283979E-001
 8.4000000E+001, 2.7000347E+001, 9.9992490E-001, 1.3823604E-006, 1.1199980E-010, 1.2322530E-001
 9.6000000E+001, 2.8000347E+001, 9.9990714E-001, 1.5782930E-006, 1.3641988E-010, 1.2366243E-001
 1.0800000E+002, 2.9000347E+001, 9.9988693E-001, 1.8002803E-006, 1.6594762E-010, 1.2415767E-001
 1.2000000E+002, 3.0000347E+001, 9.9986380E-001, 2.0515326E-006, 2.0160580E-010, 1.2471815E-001
 1.3200000E+002, 3.1000347E+001, 9.9983752E-001, 2.3356170E-006, 2.4461277E-010, 1.2535179E-001
 1.4400000E+002, 3.2000347E+001, 9.9980760E-001, 2.6564887E-006, 2.9641822E-010, 1.2606741E-001
 1.5600000E+002, 3.3000347E+001, 9.9977362E-001, 3.0185283E-006, 3.5874481E-010, 1.2687476E-001
 1.6800000E+002, 3.4000347E+001, 9.9973500E-001, 3.4265759E-006, 4.3363732E-010, 1.2778457E-001
 1.8000000E+002, 3.5000343E+001, 9.9969119E-001, 3.8859689E-006, 5.2352001E-010, 1.2880880E-001
 1.9200000E+002, 3.6000343E+001, 9.9964148E-001, 4.4025792E-006, 6.3126349E-010, 1.2996043E-001
 2.0400000E+002, 3.7000343E+001, 9.9958527E-001, 4.9828532E-006, 7.6026307E-010, 1.3125382E-001
 2.1600000E+002, 3.8000343E+001, 9.9952161E-001, 5.6338440E-006, 9.1453028E-010, 1.3270465E-001
 2.2800000E+002, 3.9000343E+001, 9.9944973E-001, 6.3632497E-006, 1.0987988E-009, 1.3432999E-001
 2.4000000E+002, 4.0000340E+001, 9.9936855E-001, 7.1794425E-006, 1.3186487E-009, 1.3614853E-001
 2.5200000E+002, 4.1000340E+001, 9.9927700E-001, 8.0914915E-006, 1.5806503E-009, 1.3818035E-001
 2.6400000E+002, 4.2000340E+001, 9.9917394E-001, 9.1091833E-006, 1.8925306E-009, 1.4044711E-001
 2.7600000E+002, 4.3000336E+001, 9.9905789E-001, 1.0243022E-005, 2.2633688E-009, 1.4297223E-001
 2.8800000E+002, 4.4000336E+001, 9.9892753E-001, 1.1504226E-005, 2.7038192E-009, 1.4578053E-001
 3.0000000E+002, 4.5000332E+001, 9.9878126E-001, 1.2904693E-005, 3.2263723E-009, 1.4889838E-001
 3.1200000E+002, 4.6000332E+001, 9.9861723E-001, 1.4456952E-005, 3.8456558E-009, 1.5235353E-001
 3.2400000E+002, 4.7000328E+001, 9.9843359E-001, 1.6174079E-005, 4.5787822E-009, 1.5617487E-001
 3.3600000E+002, 4.8000328E+001, 9.9822831E-001, 1.8069573E-005, 5.4457487E-009, 1.6039222E-001
