s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.5900000E+002, 7.3001411E+001, 9.9973696E-001, 8.2783281E-006, 3.3835115E-011, 4.6680954E-001
 1.6200000E+002, 7.4001411E+001, 9.9971116E-001, 8.9180940E-006, 4.0935873E-011, 4.6822122E-001
 1.6500000E+002, 7.5001411E+001, 9.9968344E-001, 9.5759688E-006, 4.9472648E-011, 4.6967110E-001
 1.6800000E+002, 7.6001404E+001, 9.9965370E-001, 1.0246177E-005, 5.9724850E-011, 4.7114617E-001
 1.7100000E+002, 7.7001404E+001, 9.9962193E-001, 1.0921597E-005, 7.2024088E-011, 4.7263011E-001
 1.7400000E+002, 7.8001404E+001, 9.9958813E-001, 1.1593667E-005, 8.6763548E-011, 4.7410363E-001
 1.7700000E+002, 7.9001404E+001, 9.9955237E-001, 1.2252333E-005, 1.0440892E-010, 4.7554404E-001
 1.8000000E+002, 8.0001404E+001, 9.9951464E-001, 1.2886040E-005, 1.2551123E-010, 4.7692510E-001
 1.8300000E+002, 8.1001404E+001, 9.9947506E-001, 1.3481797E-005, 1.5072180E-010, 4.7821775E-001
 1.8600000E+002, 8.2001404E+001, 9.9943382E-001, 1.4025324E-005, 1.8080978E-010, 4.7938976E-001
 1.8900000E+002, 8.3001404E+001, 9.9939102E-001, 1.4501302E-005, 2.1668252E-010, 4.8040673E-001
 1.9200000E+002, 8.4001404E+001, 9.9934685E-001, 1.4893742E-005, 2.5940938E-010, 4.8123276E-001
 1.9500000E+002, 8.5001404E+001, 9.9930173E-001, 1.5186488E-005, 3.1024944E-010, 4.8183173E-001
 1.9800000E+002, 8.6001404E+001, 9.9925590E-001, 1.5363845E-005, 3.7068371E-010, 4.8216853E-001
 2.0100000E+002, 8.7001404E+001, 9.9920970E-001, 1.5411353E-005, 4.4245263E-010, 4.8221102E-001
 2.0400000E+002, 8.8001404E+001, 9.9916357E-001, 1.5316662E-005, 5.2759958E-010, 4.8193178E-001
 2.0700000E+002, 8.9001404E+001, 9.9911791E-001, 1.5070485E-005, 6.2852124E-010, 4.8131046E-001
 2.1000000E+002, 9.0001404E+001, 9.9907327E-001, 1.4667570E-005, 7.4802625E-010, 4.8033580E-001
 2.1300000E+002, 9.1001404E+001, 9.9903005E-001, 1.4107617E-005, 8.8940294E-010, 4.7900787E-001
 2.1600000E+002, 9.2001404E+001, 9.9898881E-001, 1.3396048E-005, 1.0564976E-009, 4.7733948E-001
 2.1900000E+002, 9.3001404E+001, 9.9894983E-001, 1.2544514E-005, 1.2538051E-009, 4.7535777E-001
 2.2200000E+002, 9.4001404E+001, 9.9891365E-001, 1.1571042E-005, 1.4865739E-009, 4.7310403E-001
 2.2500000E+002, 9.5001411E+001, 9.9888057E-001, 1.0499723E-005, 1.7609263E-009, 4.7063324E-001
 2.2800000E+002, 9.6001411E+001, 9.9885076E-001, 9.3598710E-006, 2.0839983E-009, 4.6801212E-001
 2.3100000E+002, 9.7001411E+001, 9.9882442E-001, 8.1846456E-006, 2.4640998E-009, 4.6531597E-001
 2.3400000E+002, 9.8001411E+001, 9.9880165E-001, 7.0091719E-006, 2.9108989E-009, 4.6262428E-001
 2.3700000E+002, 9.9001411E+001, 9.9878234E-001, 5.8683099E-006, 3.4356351E-009, 4.6001589E-001
 2.4000000E+002, 1.0000141E+002, 9.9876636E-001, 4.7942553E-006, 4.0513628E-009, 4.5756346E-001
 2.4300000E+002, 1.0100142E+002, 9.9875349E-001, 3.8142457E-006, 4.7732316E-009, 4.5532820E-001
