s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 3.0000000E+001, 2.1000139E+001, 9.9998653E-001, 4.8045308E-007, 6.8058536E-016, 4.8421782E-002
 6.0000000E+001, 2.2000139E+001, 9.9997109E-001, 5.5153231E-007, 8.3862424E-016, 4.8580453E-002
 9.0000000E+001, 2.3000139E+001, 9.9995333E-001, 6.3248245E-007, 1.0319052E-015, 4.8761167E-002
 1.2000000E+002, 2.4000139E+001, 9.9993300E-001, 7.2457368E-007, 1.2679612E-015, 4.8966698E-002
 1.5000000E+002, 2.5000139E+001, 9.9990976E-001, 8.2922338E-007, 1.5558653E-015, 4.9200241E-002
 1.8000000E+002, 2.6000139E+001, 9.9988312E-001, 9.4801004E-007, 1.9065310E-015, 4.9465291E-002
 2.1000000E+002, 2.7000139E+001, 9.9985272E-001, 1.0826883E-006, 2.3330688E-015, 4.9765795E-002
 2.4000000E+002, 2.8000139E+001, 9.9981797E-001, 1.2352039E-006, 2.8512082E-015, 5.0106067E-002
 2.7000000E+002, 2.9000139E+001, 9.9977839E-001, 1.4077098E-006, 3.4797956E-015, 5.0490871E-002
 3.0000000E+002, 3.0000139E+001, 9.9973327E-001, 1.6025817E-006, 4.2413853E-015, 5.0925508E-002
 3.3000000E+002, 3.1000137E+001, 9.9968201E-001, 1.8224340E-006, 5.1629331E-015, 5.1415820E-002
 3.6000000E+002, 3.2000137E+001, 9.9962366E-001, 2.0701339E-006, 6.2766166E-015, 5.1968172E-002
 3.9000000E+002, 3.3000137E+001, 9.9955750E-001, 2.3488151E-006, 7.6207995E-015, 5.2589506E-002
 4.2000000E+002, 3.4000137E+001, 9.9948239E-001, 2.6618884E-006, 9.2411650E-015, 5.3287424E-002
 4.5000000E+002, 3.5000137E+001, 9.9939740E-001, 3.0130495E-006, 1.1192046E-014, 5.4070130E-002
 4.8000000E+002, 3.6000137E+001, 9.9930120E-001, 3.4062821E-006, 1.3537988E-014, 5.4946482E-002
 5.1000000E+002, 3.7000137E+001, 9.9919254E-001, 3.8458538E-006, 1.6355576E-014, 5.5925939E-002
 5.4000000E+002, 3.8000134E+001, 9.9906993E-001, 4.3363048E-006, 1.9735571E-014, 5.7018586E-002
 5.7000000E+002, 3.9000134E+001, 9.9893177E-001, 4.8824249E-006, 2.3785422E-014, 5.8235046E-002
 6.0000000E+002, 4.0000134E+001, 9.9877638E-001, 5.4892180E-006, 2.8632173E-014, 5.9586328E-002
 6.3000000E+002, 4.1000134E+001, 9.9860179E-001, 6.1618489E-006, 3.4425875E-014, 6.1083902E-002
 6.6000000E+002, 4.2000134E+001, 9.9840593E-001, 6.9055682E-006, 4.1343549E-014, 6.2739447E-002
 6.9000000E+002, 4.3000130E+001, 9.9818665E-001, 7.7256145E-006, 4.9593806E-014, 6.4564362E-002
 7.2000000E+002, 4.4000130E+001, 9.9794155E-001, 8.6270848E-006, 5.9422214E-014, 6.6569924E-002
 7.5000000E+002, 4.5000130E+001, 9.9766815E-001, 9.6147678E-006, 7.1117510E-014, 6.8766609E-002
 7.8000000E+002, 4.6000126E+001, 9.9736381E-001, 1.0692939E-005, 8.5018872E-014, 7.1163692E-002
 8.1000000E+002, 4.7000126E+001, 9.9702561E-001, 1.1865111E-005, 1.0152423E-013, 7.3768787E-002
 8.4000000E+002, 4.8000126E+001, 9.9665087E-001, 1.3133720E-005, 1.2110002E-013, 7.6586954E-002
 8.7000000E+002, 4.9000122E+001, 9.9623662E-001, 1.4499777E-005, 1.4429235E-013, 7.9620123E-002
 9.0000000E+002, 5.0000122E+001, 9.9577993E-001, 1.5962436E-005, 1.7173997E-013, 8.2865953E-002
 9.3000000E+002, 5.1000118E+001, 9.9527794E-001, 1.7518529E-005, 2.0418925E-013, 8.6316839E-002
 9.6000000E+002, 5.2000118E+001, 9.9472791E-001, 1.9162020E-005, 2.4251131E-013, 8.9958794E-002
 9.9000000E+002, 5.3000114E+001, 9.9412739E-001, 2.0883446E-005, 2.8772199E-013, 9.3770035E-002
 1.0200000E+003, 5.4000111E+001, 9.9347425E-001, 2.2669306E-005, 3.4100462E-013, 9.7719714E-002
 1.0500000E+003, 5.5000111E+001, 9.9276680E-001, 2.4501469E-005, 4.0373626E-013, 1.0176656E-001
 1.0800000E+003, 5.6000107E+001, 9.9200392E-001, 2.6356613E-005, 4.7751787E-013, 1.0585770E-001
 1.1100000E+003, 5.7000107E+001, 9.9118543E-001, 2.8205766E-005, 5.6420889E-013, 1.0992741E-001
 1.1400000E+003, 5.8000103E+001, 9.9031198E-001, 3.0014005E-005, 6.6596690E-013, 1.1389694E-001
 1.1700000E+003, 5.9000103E+001, 9.8938537E-001, 3.1740408E-005, 7.8529311E-013, 1.1767382E-001
 1.2000000E+003, 6.0000099E+001, 9.8840880E-001, 3.3338329E-005, 9.2508401E-013, 1.2115300E-001
 1.2300000E+003, 6.1000099E+001, 9.8738688E-001, 3.4756144E-005, 1.0886914E-012, 1.2421827E-001
 1.2600000E+003, 6.2000095E+001, 9.8632580E-001, 3.5938523E-005, 1.2799894E-012, 1.2674531E-001
 1.2900000E+003, 6.3000095E+001, 9.8523349E-001, 3.6828344E-005, 1.5034524E-012, 1.2860604E-001
 1.3200000E+003, 6.4000092E+001, 9.8411953E-001, 3.7369322E-005, 1.7642433E-012, 1.2967433E-001
 1.3500000E+003, 6.5000092E+001, 9.8299533E-001, 3.7509279E-005, 2.0683138E-012, 1.2983376E-001
 1.3800000E+003, 6.6000092E+001, 9.8187345E-001, 3.7204081E-005, 2.4225190E-012, 1.2898627E-001
 1.4100000E+003, 6.7000099E+001, 9.8076785E-001, 3.6421967E-005, 2.8347472E-012, 1.2706184E-001
 1.4400000E+003, 6.8000099E+001, 9.7969306E-001, 3.5147961E-005, 3.3140680E-012, 1.2402870E-001
 1.4700000E+003, 6.9000099E+001, 9.7866386E-001, 3.3387962E-005, 3.8709001E-012, 1.1990222E-001
 1.5000000E+003, 7.0000099E+001, 9.7769439E-001, 3.1171880E-005, 4.5172008E-012, 1.1475211E-001
 1.5300000E+003, 7.1000107E+001, 9.7679758E-001, 2.8555241E-005, 5.2666829E-012, 1.0870578E-001
 1.5600000E+003, 7.2000107E+001, 9.7598428E-001, 2.5618589E-005, 6.1350577E-012, 1.0194709E-001
 1.5900000E+003, 7.3000114E+001, 9.7526270E-001, 2.2464268E-005, 7.1403122E-012, 9.4708636E-002
 1.6200000E+003, 7.4000114E+001, 9.7463745E-001, 1.9210378E-005, 8.3030206E-012, 8.7258413E-002
 1.6500000E+003, 7.5000122E+001, 9.7410983E-001, 1.5982170E-005, 9.6466958E-012, 7.9879977E-002
 1.6800000E+003, 7.6000130E+001, 9.7367710E-001, 1.2901626E-005, 1.1198193E-011, 7.2848931E-002
 1.7100000E+003, 7.7000130E+001, 9.7333318E-001, 1.0076492E-005, 1.2988150E-011, 6.6408321E-002
 1.7400000E+003, 7.8000130E+001, 9.7306913E-001, 7.5903845E-006, 1.5051502E-011, 6.0745977E-002
 1.7700000E+003, 7.9000137E+001, 9.7287387E-001, 5.4956272E-006, 1.7428047E-011, 5.5978861E-002
 1.8000000E+003, 8.0000137E+001, 9.7273529E-001, 3.8101789E-006, 2.0163083E-011, 5.2145809E-002
 1.8300000E+003, 8.1000137E+001, 9.7264135E-001, 2.5192917E-006, 2.3308140E-011, 4.9211804E-002
 1.8600000E+003, 8.2000137E+001, 9.7258061E-001, 1.5815751E-006, 2.6921781E-011, 4.7081593E-002
 1.8900000E+003, 8.3000145E+001, 9.7254348E-001, 9.3817255E-007, 3.1070511E-011, 4.5620587E-002
 1.9200000E+003, 8.4000145E+001, 9.7252208E-001, 5.2309031E-007, 3.5829801E-011, 4.4678424E-002
 1.9500000E+003, 8.5000145E+001, 9.7251046E-001, 2.7257906E-007, 4.1285239E-011, 4.4110019E-002
 1.9800000E+003, 8.6000145E+001, 9.7250462E-001, 1.3192783E-007, 4.7533786E-011, 4.3790914E-002
 2.0100000E+003, 8.7000145E+001, 9.7250187E-001, 5.8909183E-008, 5.4685239E-011, 4.3625321E-002
 2.0400000E+003, 8.8000145E+001, 9.7250068E-001, 2.4091097E-008, 6.2863811E-011, 4.3546394E-002
 2.0700000E+003, 8.9000145E+001, 9.7250026E-001, 8.9518286E-009, 7.2209953E-011, 4.3512087E-002
