s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 6.3600000E+002, 7.3000214E+001, 9.7895956E-001, 1.1350532E-004, 7.2995039E-012, 3.6960354E-001
 6.4800000E+002, 7.4000214E+001, 9.7759795E-001, 1.1321851E-004, 8.4881329E-012, 3.6847791E-001
 6.6000000E+002, 7.5000214E+001, 9.7624743E-001, 1.1165846E-004, 9.8617659E-012, 3.6447504E-001
 6.7200000E+002, 7.6000214E+001, 9.7492355E-001, 1.0876302E-004, 1.1447857E-011, 3.5745978E-001
 6.8400000E+002, 7.7000221E+001, 9.7364253E-001, 1.0451689E-004, 1.3277730E-011, 3.4740323E-001
 6.9600000E+002, 7.8000229E+001, 9.7242045E-001, 9.8960518E-005, 1.5387101E-011, 3.3440256E-001
 7.0800000E+002, 7.9000237E+001, 9.7127241E-001, 9.2196140E-005, 1.7816656E-011, 3.1869441E-001
 7.2000000E+002, 8.0000252E+001, 9.7021198E-001, 8.4389860E-005, 2.0612708E-011, 3.0065945E-001
 7.3200000E+002, 8.1000259E+001, 9.6925038E-001, 7.5768367E-005, 2.3827940E-011, 2.8081453E-001
 7.4400000E+002, 8.2000275E+001, 9.6839577E-001, 6.6609507E-005, 2.7522217E-011, 2.5979131E-001
 7.5600000E+002, 8.3000282E+001, 9.6765274E-001, 5.7226560E-005, 3.1763536E-011, 2.3830022E-001
 7.6800000E+002, 8.4000298E+001, 9.6702200E-001, 4.7946971E-005, 3.6629054E-011, 2.1708253E-001
 7.8000000E+002, 8.5000305E+001, 9.6650040E-001, 3.9087361E-005, 4.2206259E-011, 1.9685347E-001
 7.9200000E+002, 8.6000320E+001, 9.6608120E-001, 3.0927644E-005, 4.8594288E-011, 1.7824410E-001
 8.0400000E+002, 8.7000328E+001, 9.6575457E-001, 2.3687735E-005, 5.5905378E-011, 1.6174853E-001
 8.1600000E+002, 8.8000336E+001, 9.6550852E-001, 1.7510456E-005, 6.4266523E-011, 1.4768571E-001
 8.2800000E+002, 8.9000343E+001, 9.6532989E-001, 1.2453503E-005, 7.3821289E-011, 1.3618144E-001
 8.4000000E+002, 9.0000343E+001, 9.6520525E-001, 8.4920484E-006, 8.4731881E-011, 1.2717491E-001
 8.5200000E+002, 9.1000351E+001, 9.6512210E-001, 5.5314804E-006, 9.7181409E-011, 1.2044750E-001
 8.6400000E+002, 9.2000351E+001, 9.6506912E-001, 3.4278708E-006, 1.1137645E-010, 1.1566964E-001
 8.7600000E+002, 9.3000351E+001, 9.6503705E-001, 2.0121583E-006, 1.2754989E-010, 1.1245550E-001
 8.8800000E+002, 9.4000359E+001, 9.6501875E-001, 1.1135211E-006, 1.4596407E-010, 1.1041603E-001
 9.0000000E+002, 9.5000359E+001, 9.6500891E-001, 5.7797456E-007, 1.6691434E-010, 1.0920102E-001
 9.1200000E+002, 9.6000359E+001, 9.6500397E-001, 2.7982543E-007, 1.9073297E-010, 1.0852478E-001
 9.2400000E+002, 9.7000359E+001, 9.6500164E-001, 1.2561259E-007, 2.1779346E-010, 1.0817511E-001
 9.3600000E+002, 9.8000359E+001, 9.6500063E-001, 5.1944145E-008, 2.4851546E-010, 1.0800809E-001
 9.4800000E+002, 9.9000359E+001, 9.6500021E-001, 1.9650006E-008, 2.8337011E-010, 1.0793492E-001
 9.6000000E+002, 1.0000036E+002, 9.6500009E-001, 6.7489356E-009, 3.2288591E-010, 1.0790567E-001
 9.7200000E+002, 1.0100036E+002, 9.6500003E-001, 2.0874673E-009, 3.6765554E-010, 1.0789513E-001
 9.8400000E+002, 1.0200036E+002, 9.6500003E-001, 5.7637611E-010, 4.1834297E-010, 1.0789169E-001
 9.9600000E+002, 1.0300036E+002, 9.6499997E-001, 1.4073460E-010, 4.7569176E-010, 1.0789074E-001
 1.0080000E+003, 1.0400036E+002, 9.6499997E-001, 3.0087082E-011, 5.4053384E-010, 1.0789046E-001
 1.0200000E+003, 1.0500036E+002, 9.6499997E-001, 5.5793395E-012, 6.1379968E-010, 1.0789041E-001
 1.0320000E+003, 1.0600036E+002, 9.6499997E-001, 8.9811519E-013, 6.9652900E-010, 1.0789041E-001
 1.0440000E+003, 1.0700036E+002, 9.6499997E-001, 1.3750184E-013, 7.8988316E-010, 1.0789038E-001
 1.0560000E+003, 1.0800036E+002, 9.6499997E-001, 3.5497379E-014, 8.9515839E-010, 1.0789037E-001
 1.0680000E+003, 1.0900036E+002, 9.6499997E-001, 2.6544883E-014, 1.0138006E-009, 1.0789037E-001
 1.0800000E+003, 1.1000036E+002, 9.6499997E-001, 2.8774224E-014, 1.1474216E-009, 1.0789040E-001
 1.0920000E+003, 1.1100036E+002, 9.6499997E-001, 3.2450642E-014, 1.2978174E-009, 1.0789041E-001
 1.1040000E+003, 1.1200036E+002, 9.6499997E-001, 3.6674921E-014, 1.4669874E-009, 1.0789039E-001
 1.1160000E+003, 1.1300036E+002, 9.6499997E-001, 4.1428924E-014, 1.6571566E-009, 1.0789039E-001
 1.1280000E+003, 1.1400036E+002, 9.6499997E-001, 4.6769988E-014, 1.8707997E-009, 1.0789040E-001
 1.1400000E+003, 1.1500036E+002, 9.6499997E-001, 5.2766663E-014, 2.1106665E-009, 1.0789040E-001
 1.1520000E+003, 1.1600036E+002, 9.6499997E-001, 5.9495310E-014, 2.3798123E-009, 1.0789040E-001
 1.1640000E+003, 1.1700036E+002, 9.6499997E-001, 6.7040713E-014, 2.6816285E-009, 1.0789041E-001
 1.1760000E+003, 1.1800036E+002, 9.6499997E-001, 7.5496941E-014, 3.0198779E-009, 1.0789040E-001
 1.1880000E+003, 1.1900036E+002, 9.6499997E-001, 8.4968314E-014, 3.3987326E-009, 1.0789040E-001
 1.2000000E+003, 1.2000036E+002, 9.6499997E-001, 9.5570423E-014, 3.8228172E-009, 1.0789039E-001
 1.2120000E+003, 1.2100036E+002, 9.6499997E-001, 1.0743132E-013, 4.2972528E-009, 1.0789040E-001
 1.2240000E+003, 1.2200036E+002, 9.6499997E-001, 1.2069274E-013, 4.8277098E-009, 1.0789041E-001
 1.2360000E+003, 1.2300036E+002, 9.6499997E-001, 1.3551150E-013, 5.4204605E-009, 1.0789039E-001
 1.2480000E+003, 1.2400036E+002, 9.6499997E-001, 1.5206104E-013, 6.0824417E-009, 1.0789040E-001
 1.2600000E+003, 1.2500036E+002, 9.6499997E-001, 1.7053295E-013, 6.8213186E-009, 1.0789041E-001
 1.2720000E+003, 1.2600036E+002, 9.6499997E-001, 1.9113896E-013, 7.6455589E-009, 1.0789040E-001
 1.2840000E+003, 1.2700036E+002, 9.6499997E-001, 2.1411274E-013, 8.5645100E-009, 1.0789039E-001
 1.2960000E+003, 1.2800035E+002, 9.6499997E-001, 2.3971214E-013, 9.5884864E-009, 1.0789037E-001
 1.3080000E+003, 1.2900035E+002, 9.6499997E-001, 2.6822153E-013, 1.0728861E-008, 1.0789040E-001
 1.3200000E+003, 1.3000035E+002, 9.6499997E-001, 2.9995432E-013, 1.1998173E-008, 1.0789038E-001
 1.3320000E+003, 1.3100035E+002, 9.6499997E-001, 3.3525580E-013, 1.3410233E-008, 1.0789038E-001
 1.3440000E+003, 1.3200035E+002, 9.6499997E-001, 3.7450614E-013, 1.4980246E-008, 1.0789039E-001
 1.3560000E+003, 1.3300035E+002, 9.6499997E-001, 4.1812373E-013, 1.6724950E-008, 1.0789040E-001
 1.3680000E+003, 1.3400035E+002, 9.6499997E-001, 4.6656873E-013, 1.8662751E-008, 1.0789043E-001
 1.3800000E+003, 1.3500035E+002, 9.6499997E-001, 5.2034717E-013, 2.0813888E-008, 1.0789040E-001
 1.3920000E+003, 1.3600035E+002, 9.6499997E-001, 5.8001488E-013, 2.3200595E-008, 1.0789040E-001
 1.4040000E+003, 1.3700035E+002, 9.6499997E-001, 6.4618249E-013, 2.5847301E-008, 1.0789038E-001
 1.4160000E+003, 1.3800035E+002, 9.6499997E-001, 7.1952026E-013, 2.8780811E-008, 1.0789040E-001
 1.4280000E+003, 1.3900035E+002, 9.6499997E-001, 8.0076354E-013, 3.2030542E-008, 1.0789040E-001
 1.4400000E+003, 1.4000035E+002, 9.6499997E-001, 8.9071887E-013, 3.5628755E-008, 1.0789039E-001
 1.4520000E+003, 1.4100035E+002, 9.6499997E-001, 9.9027026E-013, 3.9610811E-008, 1.0789040E-001
 1.4640000E+003, 1.4200035E+002, 9.6499997E-001, 1.1003862E-012, 4.4015451E-008, 1.0789037E-001
 1.4760000E+003, 1.4300035E+002, 9.6499997E-001, 1.2221273E-012, 4.8885099E-008, 1.0789038E-001
 1.4880000E+003, 1.4400035E+002, 9.6499997E-001, 1.3566547E-012, 5.4266192E-008, 1.0789039E-001
 1.5000000E+003, 1.4500035E+002, 9.6499997E-001, 1.5052382E-012, 6.0209530E-008, 1.0789041E-001
 1.5120000E+003, 1.4600035E+002, 9.6499997E-001, 1.6692669E-012, 6.6770681E-008, 1.0789039E-001
 1.5240000E+003, 1.4700035E+002, 9.6499997E-001, 1.8502591E-012, 7.4010366E-008, 1.0789041E-001
 1.5360000E+003, 1.4800035E+002, 9.6499997E-001, 2.0498729E-012, 8.1994919E-008, 1.0789036E-001
 1.5480000E+003, 1.4900035E+002, 9.6499997E-001, 2.2699199E-012, 9.0796803E-008, 1.0789041E-001
 1.5600000E+003, 1.5000035E+002, 9.6499997E-001, 2.5123775E-012, 1.0049510E-007, 1.0789043E-001
 1.5720000E+003, 1.5100035E+002, 9.6499997E-001, 2.7794019E-012, 1.1117609E-007, 1.0789040E-001
 1.5840000E+003, 1.5200035E+002, 9.6499997E-001, 3.0733463E-012, 1.2293386E-007, 1.0789040E-001
 1.5960000E+003, 1.5300035E+002, 9.6499997E-001, 3.3967744E-012, 1.3587099E-007, 1.0789040E-001
 1.6080000E+003, 1.5400035E+002, 9.6499997E-001, 3.7524810E-012, 1.5009924E-007, 1.0789038E-001
 1.6200000E+003, 1.5500035E+002, 9.6499997E-001, 4.1435080E-012, 1.6574033E-007, 1.0789039E-001
 1.6320000E+003, 1.5600035E+002, 9.6499997E-001, 4.5731695E-012, 1.8292678E-007, 1.0789041E-001
 1.6440000E+003, 1.5700035E+002, 9.6499997E-001, 5.0450694E-012, 2.0180279E-007, 1.0789038E-001
 1.6560000E+003, 1.5800035E+002, 9.6499997E-001, 5.5631294E-012, 2.2252519E-007, 1.0789039E-001
 1.6680000E+003, 1.5900035E+002, 9.6499997E-001, 6.1316126E-012, 2.4526452E-007, 1.0789039E-001
 1.6800000E+003, 1.6000035E+002, 9.6499997E-001, 6.7551524E-012, 2.7020610E-007, 1.0789037E-001
 1.6920000E+003, 1.6100035E+002, 9.6499997E-001, 7.4387822E-012, 2.9755131E-007, 1.0789042E-001
 1.7040000E+003, 1.6200035E+002, 9.6499997E-001, 8.1879668E-012, 3.2751871E-007, 1.0789042E-001
 1.7160000E+003, 1.6300035E+002, 9.6499997E-001, 9.0086402E-012, 3.6034564E-007, 1.0789040E-001
 1.7280000E+003, 1.6400035E+002, 9.6499997E-001, 9.9072382E-012, 3.9628955E-007, 1.0789040E-001
 1.7400000E+003, 1.6500035E+002, 9.6499997E-001, 1.0890742E-011, 4.3562972E-007, 1.0789038E-001
 1.7520000E+003, 1.6600035E+002, 9.6499997E-001, 1.1966721E-011, 4.7866888E-007, 1.0789041E-001
 1.7640000E+003, 1.6700035E+002, 9.6499997E-001, 1.3143375E-011, 5.2573506E-007, 1.0789039E-001
