s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-6.5460849E-008, 2.0431241E-005, 1.1139491E-003, 9.9313949E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1086160E-005, 1.1353080E-003, 5.0061901E-017, 2.5067663E-008
 2.5000000E+000, 0.0000000E+000, 3.4056392E-005, 2.1503614E-003, 5.9282313E-003, 3.5645044E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7241747E-003, 8.4690995E-003, 8.9219468E-014, 1.2004592E-005
 3.6457274E+000, 1.7920045E-008, 1.0122130E-005, 5.5470194E-003, 6.7715598E-003, 1.2354032E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2318149E-002, 1.3564122E-002, 2.1581482E-012, 2.8413704E-005
 4.8415933E+000, 2.7506514E-007, 2.6392078E-004, 6.5079550E-003, 9.0410782E-003, 2.0557248E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7387709E-002, 1.7868954E-002, 2.1511385E-011, 3.1269528E-005
 6.0176258E+000, 1.6812169E-006, 5.0783863E-004,-5.4107726E-003, 1.0279731E-002, 2.2037232E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6478201E-003, 7.5822018E-003, 1.2329244E-010, 3.0892597E-005
 7.2178087E+000, 7.4432254E-006, 6.2611540E-004,-1.4614237E-002, 1.1979664E-002, 2.2587500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7770561E-004, 2.5773585E-004, 5.2301780E-010, 2.9899727E-005
 8.4148674E+000, 2.5832790E-005, 7.4001489E-004,-1.4133785E-002, 1.3676115E-002, 2.4562084E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4009740E-003, 2.7643863E-003, 1.7628769E-009, 2.8812460E-005
 9.6501627E+000, 7.6375539E-005, 8.5438761E-004,-1.0225053E-002, 1.4738596E-002, 2.7640435E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0733284E-003, 8.2083504E-003, 5.1159045E-009, 2.7761684E-005
 1.0853470E+001, 1.9502296E-004, 9.6261873E-004,-1.8564055E-002, 1.5774224E-002, 2.8405771E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9695532E-004, 1.2083875E-003, 1.2847267E-008, 2.6771355E-005
 1.2068841E+001, 4.3475104E-004, 1.0657574E-003,-2.1630004E-002, 1.7066105E-002, 2.9096398E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5373550E-004,-1.5375128E-004, 2.8467553E-008, 2.5878485E-005
 1.3203798E+001, 8.7977291E-004, 1.1490492E-003,-2.1565620E-002, 1.8035366E-002, 3.1244193E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8642208E-003, 1.6229876E-003, 5.6330406E-008, 2.5090546E-005
 1.4473105E+001, 1.6608119E-003, 1.2576412E-003,-2.0847061E-002, 1.9158529E-002, 3.2718562E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7639265E-003, 4.5017771E-003, 1.0590519E-007, 2.4389699E-005
 1.5675880E+001, 2.9783846E-003, 1.3191849E-003,-2.3759372E-002, 1.9543694E-002, 3.1131280E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1457184E-003, 3.1950195E-003, 1.8917161E-007, 2.3764890E-005
 1.6841896E+001, 4.9726397E-003, 1.3878689E-003,-2.8093445E-002, 2.0572731E-002, 3.1873845E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4721367E-003, 2.0271792E-003, 3.1275291E-007, 2.3268334E-005
 1.8007912E+001, 7.8160894E-003, 1.4539176E-003,-2.9536826E-002, 2.1509442E-002, 3.2578517E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6058974E-003, 4.5004745E-003, 4.9001390E-007, 2.2880989E-005
 1.9224512E+001, 1.2112108E-002, 1.5191293E-003,-2.8826899E-002, 2.1565558E-002, 3.3770418E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5832185E-003, 9.7469383E-003, 7.4992970E-007, 2.2602779E-005
