s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-1.9766286E-007, 4.6398470E-003, 3.7091474E-003, 2.4586358E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1430615E-004, 8.5946603E-003, 4.5023641E-013, 1.6109479E-005
 2.4036062E+000, 3.2378530E-006,-1.2043569E-005, 2.6536569E-002, 1.2534675E-002, 1.6719062E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1500196E-002, 4.0734344E-002, 7.8319043E-010, 7.2204397E-005
 3.6460731E+000, 8.5869994E-004, 7.5719459E-004, 1.8867596E-002, 1.8396313E-002, 4.9311964E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3664496E-002, 4.3811000E-002, 7.3786092E-008, 5.2463251E-005
 4.8001456E+000, 1.3387507E-002, 4.3675692E-005,-2.2476451E-002, 2.2678893E-002, 5.4541392E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9748317E-002, 1.9087764E-002, 1.0215892E-006, 4.8753117E-005
 6.0464888E+000, 8.6280991E-002,-2.0909853E-002,-5.3460723E-002, 2.3707666E-002, 6.5417474E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7330779E-002, 4.2159828E-002, 6.0720134E-006, 4.9863140E-005
 7.2347522E+000, 3.1315702E-001,-8.3634392E-002,-1.2816169E-001, 2.0703009E-002, 9.0078990E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2708330E-001, 1.3107184E-001, 2.0860141E-005, 6.1696947E-005
 8.4335985E+000, 7.6531332E-001,-2.1722044E-001,-4.1541344E-001, 1.1496615E-002, 1.2774067E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4821445E-001, 1.5695012E-001, 4.9514885E-005, 8.8253572E-005
 9.6033258E+000, 1.3812660E+000,-3.9254557E-001,-8.5347701E-001, 8.7596012E-004, 1.7380996E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5553535E-001, 1.5350039E-001, 8.7772817E-005, 1.2497277E-004
 1.0817021E+001, 1.9642463E+000,-5.7371831E-001,-1.3115301E+000,-9.7337582E-003, 2.1990089E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0158824E-001, 9.1254163E-002, 1.2550012E-004, 1.6154152E-004
 1.2018111E+001, 2.5115251E+000,-7.2697098E-001,-1.7056464E+000,-1.8238602E-002, 2.4825899E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8631994E-002, 8.5495087E-002, 1.6454140E-004, 1.9967044E-004
 1.3205636E+001, 3.0439169E+000,-8.9380613E-001,-2.0357703E+000,-3.0701970E-002, 3.1914040E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2700494E-001, 1.1555255E-001, 2.0648455E-004, 2.4088112E-004
 1.4400682E+001, 3.6059676E+000,-1.0548282E+000,-2.3423635E+000,-6.8801239E-002, 3.5969711E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9280960E-001, 1.7594440E-001, 2.4821770E-004, 2.8197951E-004
 1.5614009E+001, 3.9934872E+000,-1.1377418E+000,-2.7521329E+000,-1.3754206E-001, 4.3102649E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9233300E-002, 9.1731117E-003, 2.7221134E-004, 3.0536443E-004
 1.6804642E+001, 3.8947690E+000,-1.1567797E+000,-2.5624429E+000,-1.1607579E-001, 4.0995098E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2681284E-001, 1.0046563E-001, 2.7009488E-004, 3.0265047E-004
 1.8013395E+001, 3.7388313E+000,-1.0708952E+000,-2.8131238E+000,-1.7949930E-001, 4.5203357E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6717003E-001,-2.7948375E-001, 2.5188906E-004, 2.8376950E-004
 1.9204432E+001, 3.5910927E+000,-1.0348876E+000,-2.4564722E+000,-1.7594478E-001, 4.4543243E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7938716E-002,-3.1668584E-002, 2.5222305E-004, 2.8335467E-004
