s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4214276E+001, 1.1310271E+002, 0.0000000E+000, 4.9999194E-002
 2.4036061E+000, 1.4207582E+001, 2.2258253E+002, 3.2378530E-004, 4.9992500E-002
 3.6460731E+000, 1.4202605E+001, 2.7003552E+002, 8.5869994E-002, 4.9987522E-002
 4.8001458E+000, 1.4196609E+001, 3.1584129E+002, 1.3387507E+000, 4.9981496E-002
 6.0464886E+000, 1.4190772E+001, 3.4731329E+002, 8.6280991E+000, 4.9975439E-002
 7.2347524E+000, 1.4184125E+001, 3.7131279E+002, 3.1315702E+001, 4.9967910E-002
 8.4335984E+000, 1.4175309E+001, 3.9131690E+002, 7.6531332E+001, 4.9956773E-002
 9.6033254E+000, 1.4162715E+001, 4.0980088E+002, 1.3812660E+002, 4.9939476E-002
 1.0817022E+001, 1.4145588E+001, 4.2963704E+002, 1.9642463E+002, 4.9913481E-002
 1.2018112E+001, 1.4123850E+001, 4.3692734E+002, 2.5115251E+002, 4.9879848E-002
 1.3205636E+001, 1.4097528E+001, 4.5159104E+002, 3.0439169E+002, 4.9842318E-002
 1.4400682E+001, 1.4066272E+001, 4.7103182E+002, 3.6059676E+002, 4.9785466E-002
 1.5614009E+001, 1.4030633E+001, 4.7740069E+002, 3.9934872E+002, 4.9716060E-002
 1.6804643E+001, 1.3993867E+001, 4.8253482E+002, 3.8947690E+002, 4.9641690E-002
 1.8013396E+001, 1.3958761E+001, 4.8584083E+002, 3.7388313E+002, 4.9578452E-002
 1.9204432E+001, 1.3925073E+001, 4.8459459E+002, 3.5910927E+002, 4.9516852E-002
 2.0405224E+001, 1.3889752E+001, 4.9662407E+002, 3.9280365E+002, 4.9461142E-002
 2.1614769E+001, 1.3852311E+001, 4.9669787E+002, 3.8947400E+002, 4.9396862E-002
 2.2819533E+001, 1.3816609E+001, 5.0623986E+002, 3.9431426E+002, 4.9340984E-002
 2.4007966E+001, 1.3778322E+001, 5.1894400E+002, 4.3006284E+002, 4.9277433E-002
 2.5205312E+001, 1.3736255E+001, 5.1346721E+002, 4.7681663E+002, 4.9213831E-002
 2.6408598E+001, 1.3695205E+001, 5.3112145E+002, 4.3510258E+002, 4.9152846E-002
 2.7604525E+001, 1.3654342E+001, 5.2844742E+002, 4.4366824E+002, 4.9087736E-002
 2.8814170E+001, 1.3616201E+001, 5.3141522E+002, 3.9094600E+002, 4.9029188E-002
 3.0014601E+001, 1.3578613E+001, 5.4685395E+002, 4.2449584E+002, 4.8970460E-002
 3.1218335E+001, 1.3540026E+001, 5.5459078E+002, 4.1080307E+002, 4.8906961E-002
 3.2414306E+001, 1.3501045E+001, 5.4279726E+002, 4.3040303E+002, 4.8843078E-002
 3.3606193E+001, 1.3462031E+001, 5.5062204E+002, 4.1552475E+002, 4.8790184E-002
 3.4807723E+001, 1.3422007E+001, 5.6237466E+002, 4.6707643E+002, 4.8736526E-002
 3.6014985E+001, 1.3380436E+001, 5.6623070E+002, 4.3954074E+002, 4.8676576E-002
 3.7215677E+001, 1.3339569E+001, 5.5910532E+002, 4.5740619E+002, 4.8619034E-002
 3.8410683E+001, 1.3300466E+001, 5.7333268E+002, 4.1649701E+002, 4.8566577E-002
 3.9613113E+001, 1.3261587E+001, 5.6913670E+002, 4.4050286E+002, 4.8512586E-002
 4.0806323E+001, 1.3223505E+001, 5.7689582E+002, 4.0738539E+002, 4.8461524E-002
 4.2004289E+001, 1.3186236E+001, 5.9453575E+002, 4.2127859E+002, 4.8408631E-002
 4.3206933E+001, 1.3148309E+001, 6.0189325E+002, 4.0210110E+002, 4.8348730E-002
 4.4414462E+001, 1.3111296E+001, 5.7807028E+002, 4.1103653E+002, 4.8288852E-002
 4.5612401E+001, 1.3074712E+001, 5.7207740E+002, 3.9511977E+002, 4.8239704E-002
 4.6807895E+001, 1.3038497E+001, 5.7334395E+002, 3.9141668E+002, 4.8196807E-002
 4.8019484E+001, 1.3003301E+001, 6.0120639E+002, 3.8134130E+002, 4.8154919E-002
 4.9212823E+001, 1.2968815E+001, 5.8387492E+002, 3.7326171E+002, 4.8107640E-002
 5.0404784E+001, 1.2934625E+001, 5.8544833E+002, 3.7622127E+002, 4.8062697E-002
 5.1607282E+001, 1.2900548E+001, 6.0622478E+002, 3.7279854E+002, 4.8019038E-002
 5.2812057E+001, 1.2865828E+001, 5.9511518E+002, 3.7523466E+002, 4.7971887E-002
 5.4006370E+001, 1.2831879E+001, 6.0075965E+002, 3.7249731E+002, 4.7925850E-002
 5.5211139E+001, 1.2798345E+001, 5.9468301E+002, 3.6366162E+002, 4.7880710E-002
 5.6413245E+001, 1.2765006E+001, 5.9788705E+002, 3.6356684E+002, 4.7838002E-002
 5.7605758E+001, 1.2732191E+001, 6.0005776E+002, 3.5702559E+002, 4.7796554E-002
 5.8819629E+001, 1.2699591E+001, 5.9868349E+002, 3.5351365E+002, 4.7754776E-002
 6.0002636E+001, 1.2667461E+001, 6.0285878E+002, 3.4283163E+002, 4.7714054E-002
 6.1214687E+001, 1.2635416E+001, 6.0091872E+002, 3.5430747E+002, 4.7673293E-002
 6.2415511E+001, 1.2603637E+001, 6.0788158E+002, 3.3834541E+002, 4.7633126E-002
 6.3617682E+001, 1.2571928E+001, 6.2365280E+002, 3.6177300E+002, 4.7592880E-002
 6.4813313E+001, 1.2539911E+001, 6.4308699E+002, 3.4859472E+002, 4.7549244E-002
 6.6000990E+001, 1.2508412E+001, 6.6478709E+002, 3.4846096E+002, 4.7501177E-002
 6.7202288E+001, 1.2477379E+001, 6.6624998E+002, 3.3303322E+002, 4.7446893E-002
 6.8409507E+001, 1.2447057E+001, 6.5470720E+002, 3.2874405E+002, 4.7390334E-002
 6.9611354E+001, 1.2417551E+001, 6.2957869E+002, 3.1244372E+002, 4.7336626E-002
 7.0803364E+001, 1.2388586E+001, 6.5344781E+002, 3.2078243E+002, 4.7290219E-002
 7.2017722E+001, 1.2359191E+001, 6.5361757E+002, 3.2330711E+002, 4.7245649E-002
 7.3217637E+001, 1.2329630E+001, 6.3173580E+002, 3.1673207E+002, 4.7199730E-002
 7.4400735E+001, 1.2301119E+001, 6.4745593E+002, 3.0786913E+002, 4.7157857E-002
 7.5612792E+001, 1.2273185E+001, 6.3593878E+002, 3.0167714E+002, 4.7117720E-002
 7.6809265E+001, 1.2245260E+001, 6.3569871E+002, 3.0478155E+002, 4.7078365E-002
 7.8025097E+001, 1.2217467E+001, 6.4743656E+002, 3.0163997E+002, 4.7040134E-002
 7.9211918E+001, 1.2189792E+001, 6.4809901E+002, 3.0091746E+002, 4.7002133E-002
 8.0406658E+001, 1.2162528E+001, 6.6734058E+002, 2.9919009E+002, 4.6964242E-002
 8.1617482E+001, 1.2134952E+001, 6.5022537E+002, 3.0184782E+002, 4.6924295E-002
 8.2820683E+001, 1.2107203E+001, 6.5756463E+002, 3.0411764E+002, 4.6883352E-002
 8.4003638E+001, 1.2079665E+001, 6.5526383E+002, 3.0338865E+002, 4.6844170E-002
 8.5215250E+001, 1.2052099E+001, 6.4567341E+002, 2.9903427E+002, 4.6805047E-002
 8.6418264E+001, 1.2024414E+001, 6.4794477E+002, 3.0649521E+002, 4.6766849E-002
 8.7606732E+001, 1.1997130E+001, 6.6478009E+002, 2.9919576E+002, 4.6730709E-002
 8.8808297E+001, 1.1970154E+001, 6.7108482E+002, 2.9406377E+002, 4.6694243E-002
 9.0003368E+001, 1.1943340E+001, 6.7610904E+002, 2.8985022E+002, 4.6656144E-002
 9.1203014E+001, 1.1917033E+001, 6.9497789E+002, 2.8922612E+002, 4.6616641E-002
 9.2416749E+001, 1.1890919E+001, 6.7344714E+002, 2.7951695E+002, 4.6575332E-002
 9.3614839E+001, 1.1865285E+001, 6.7415320E+002, 2.8040848E+002, 4.6533708E-002
 9.4827588E+001, 1.1839850E+001, 6.7186280E+002, 2.7477586E+002, 4.6493062E-002
 9.6021423E+001, 1.1814560E+001, 6.8006023E+002, 2.7220979E+002, 4.6453991E-002
 9.7222993E+001, 1.1789730E+001, 6.9554933E+002, 2.7332513E+002, 4.6416127E-002
 9.8408919E+001, 1.1765102E+001, 6.8407473E+002, 2.6703992E+002, 4.6377450E-002
 9.9620970E+001, 1.1740602E+001, 6.8366662E+002, 2.6483412E+002, 4.6338289E-002
 1.0081471E+002, 1.1716402E+001, 6.8508658E+002, 2.6392809E+002, 4.6299587E-002
 1.0201838E+002, 1.1692520E+001, 6.9717419E+002, 2.5930188E+002, 4.6261767E-002
 1.0320982E+002, 1.1668760E+001, 6.8976619E+002, 2.6103237E+002, 4.6224043E-002
 1.0441370E+002, 1.1644953E+001, 6.8657564E+002, 2.5806913E+002, 4.6186023E-002
 1.0560495E+002, 1.1621265E+001, 6.6379096E+002, 2.5809029E+002, 4.6148651E-002
 1.0681291E+002, 1.1597713E+001, 6.7066033E+002, 2.5163972E+002, 4.6112839E-002
 1.0800262E+002, 1.1574341E+001, 6.6626391E+002, 2.5944831E+002, 4.6078994E-002
 1.0921773E+002, 1.1551000E+001, 6.8103203E+002, 2.5388242E+002, 4.6046408E-002
 1.1040419E+002, 1.1527756E+001, 6.7921914E+002, 2.5507680E+002, 4.6014579E-002
 1.1160206E+002, 1.1504547E+001, 6.6651469E+002, 2.5489265E+002, 4.5982691E-002
 1.1280972E+002, 1.1481095E+001, 6.6186904E+002, 2.5687618E+002, 4.5950866E-002
 1.1401126E+002, 1.1457520E+001, 6.8502567E+002, 2.5565449E+002, 4.5919840E-002
 1.1520965E+002, 1.1434201E+001, 6.9679460E+002, 2.5510846E+002, 4.5889420E-002
 1.1641602E+002, 1.1411111E+001, 6.9810348E+002, 2.5025380E+002, 4.5858134E-002
 1.1761449E+002, 1.1388249E+001, 7.0793343E+002, 2.4946366E+002, 4.5825637E-002
 1.1880639E+002, 1.1365652E+001, 7.0998021E+002, 2.4795978E+002, 4.5792038E-002
 1.2000467E+002, 1.1343142E+001, 6.8936454E+002, 2.4724068E+002, 4.5757286E-002
 1.2120341E+002, 1.1320571E+001, 6.8419042E+002, 2.4780627E+002, 4.5722144E-002
 1.2241777E+002, 1.1297807E+001, 6.8843341E+002, 2.4815014E+002, 4.5687758E-002
 1.2361704E+002, 1.1274988E+001, 7.0093437E+002, 2.4919971E+002, 4.5654508E-002
 1.2481986E+002, 1.1252377E+001, 7.1618661E+002, 2.4616583E+002, 4.5621903E-002
 1.2600181E+002, 1.1230120E+001, 7.0782785E+002, 2.4571366E+002, 4.5589176E-002
 1.2720759E+002, 1.1208053E+001, 6.9841324E+002, 2.4213818E+002, 4.5555747E-002
 1.2841237E+002, 1.1185899E+001, 7.0852496E+002, 2.4029051E+002, 4.5521855E-002
 1.2960580E+002, 1.1163974E+001, 7.0257071E+002, 2.3370393E+002, 4.5488511E-002
 1.3081325E+002, 1.1142345E+001, 6.9611020E+002, 2.3209229E+002, 4.5455430E-002
 1.3200650E+002, 1.1121142E+001, 6.9530873E+002, 2.2905491E+002, 4.5422731E-002
 1.3322020E+002, 1.1100264E+001, 6.9407968E+002, 2.2306562E+002, 4.5390524E-002
 1.3441344E+002, 1.1079752E+001, 7.0434290E+002, 2.2255559E+002, 4.5359096E-002
 1.3561887E+002, 1.1059473E+001, 7.1386864E+002, 2.2063013E+002, 4.5328242E-002
 1.3681031E+002, 1.1039355E+001, 7.0171110E+002, 2.1897223E+002, 4.5297494E-002
 1.3800430E+002, 1.1019335E+001, 7.0850263E+002, 2.2015096E+002, 4.5266580E-002
 1.3920294E+002, 1.0999244E+001, 7.1299492E+002, 2.1934990E+002, 4.5235633E-002
 1.4041873E+002, 1.0978943E+001, 6.9065080E+002, 2.2071843E+002, 4.5204377E-002
 1.4160576E+002, 1.0958798E+001, 7.0215544E+002, 2.1894648E+002, 4.5173423E-002
 1.4280343E+002, 1.0938826E+001, 6.9243270E+002, 2.1960361E+002, 4.5143232E-002
 1.4401646E+002, 1.0918704E+001, 7.0931534E+002, 2.1801931E+002, 4.5113331E-002
 1.4521540E+002, 1.0898597E+001, 7.0410931E+002, 2.1888489E+002, 4.5083875E-002
 1.4641358E+002, 1.0878661E+001, 7.1422332E+002, 2.1782102E+002, 4.5054726E-002
 1.4760147E+002, 1.0858794E+001, 7.0506421E+002, 2.1852421E+002, 4.5025619E-002
 1.4881044E+002, 1.0838873E+001, 7.2159359E+002, 2.1995729E+002, 4.4996300E-002
 1.5001957E+002, 1.0818723E+001, 7.0935419E+002, 2.1365704E+002, 4.4966510E-002
 1.5120711E+002, 1.0798885E+001, 7.1260889E+002, 2.1806874E+002, 4.4936844E-002
 1.5241157E+002, 1.0779221E+001, 7.1108197E+002, 2.1473031E+002, 4.4907177E-002
 1.5362194E+002, 1.0759511E+001, 7.0424524E+002, 2.1381786E+002, 4.4877368E-002
 1.5481697E+002, 1.0739998E+001, 7.2467465E+002, 2.1082669E+002, 4.4847902E-002
 1.5601651E+002, 1.0720638E+001, 7.2389199E+002, 2.1169084E+002, 4.4818792E-002
 1.5722284E+002, 1.0701210E+001, 7.2530278E+002, 2.1164790E+002, 4.4789447E-002
 1.5841870E+002, 1.0681884E+001, 7.1135956E+002, 2.1160362E+002, 4.4759899E-002
 1.5960737E+002, 1.0662696E+001, 7.0368863E+002, 2.0984286E+002, 4.4730340E-002
 1.6082498E+002, 1.0643412E+001, 7.0375082E+002, 2.1070511E+002, 4.4700846E-002
 1.6202470E+002, 1.0624111E+001, 7.2422880E+002, 2.0883706E+002, 4.4671770E-002
 1.6322134E+002, 1.0605143E+001, 7.3382062E+002, 2.0721859E+002, 4.4643511E-002
 1.6440357E+002, 1.0586381E+001, 7.2746851E+002, 2.0644853E+002, 4.4615461E-002
 1.6560007E+002, 1.0567735E+001, 7.1127422E+002, 2.0656069E+002, 4.4587110E-002
 1.6680283E+002, 1.0548985E+001, 7.2659080E+002, 2.0576443E+002, 4.4558249E-002
 1.6802270E+002, 1.0530050E+001, 7.1531237E+002, 2.0495995E+002, 4.4529203E-002
 1.6920250E+002, 1.0511317E+001, 7.1924792E+002, 2.0553637E+002, 4.4500651E-002
 1.7042504E+002, 1.0492557E+001, 7.1431648E+002, 2.0577912E+002, 4.4472315E-002
 1.7160257E+002, 1.0473789E+001, 7.0586326E+002, 2.0559029E+002, 4.4444247E-002
 1.7281462E+002, 1.0455118E+001, 7.0312896E+002, 2.0466237E+002, 4.4416658E-002
 1.7402550E+002, 1.0436221E+001, 7.0336696E+002, 2.0349624E+002, 4.4389125E-002
 1.7520851E+002, 1.0417659E+001, 7.2633992E+002, 2.0319463E+002, 4.4362491E-002
 1.7640702E+002, 1.0399331E+001, 7.2222842E+002, 2.0008754E+002, 4.4336431E-002
 1.7761047E+002, 1.0381000E+001, 7.2896467E+002, 2.0053455E+002, 4.4310230E-002
 1.7881919E+002, 1.0362705E+001, 7.2563031E+002, 1.9904750E+002, 4.4283744E-002
 1.8002228E+002, 1.0344497E+001, 7.2116231E+002, 1.9694550E+002, 4.4257007E-002
 1.8122281E+002, 1.0326423E+001, 7.1767422E+002, 1.9730902E+002, 4.4230199E-002
 1.8240096E+002, 1.0308592E+001, 7.1843552E+002, 1.9644793E+002, 4.4203653E-002
 1.8360310E+002, 1.0290855E+001, 7.1112726E+002, 1.9585135E+002, 4.4177213E-002
 1.8482031E+002, 1.0272924E+001, 7.2038632E+002, 1.9368608E+002, 4.4150515E-002
 1.8601820E+002, 1.0255059E+001, 7.0810586E+002, 1.9365722E+002, 4.4124089E-002
 1.8720586E+002, 1.0237448E+001, 7.1062022E+002, 1.9364101E+002, 4.4098253E-002
 1.8841798E+002, 1.0219781E+001, 7.1028079E+002, 1.9273423E+002, 4.4072531E-002
 1.8960651E+002, 1.0202186E+001, 7.2453250E+002, 1.9279413E+002, 4.4047155E-002
 1.9080583E+002, 1.0184707E+001, 7.1541936E+002, 1.9123605E+002, 4.4022122E-002
 1.9202061E+002, 1.0167122E+001, 7.0862756E+002, 1.9170720E+002, 4.3996965E-002
 1.9320760E+002, 1.0149658E+001, 7.2441938E+002, 1.9103730E+002, 4.3971962E-002
 1.9440228E+002, 1.0132373E+001, 7.0396978E+002, 1.8883328E+002, 4.3947260E-002
 1.9561892E+002, 1.0114908E+001, 7.1055673E+002, 1.8915856E+002, 4.3922323E-002
 1.9681512E+002, 1.0097522E+001, 7.0081571E+002, 1.8729304E+002, 4.3897593E-002
 1.9801794E+002, 1.0080297E+001, 7.0634969E+002, 1.8589892E+002, 4.3873234E-002
 1.9920096E+002, 1.0063324E+001, 7.0779176E+002, 1.8528304E+002, 4.3849341E-002
 2.0042359E+002, 1.0046327E+001, 7.2521507E+002, 1.8529201E+002, 4.3825485E-002
 2.0160720E+002, 1.0029457E+001, 7.0666886E+002, 1.8395640E+002, 4.3801820E-002
 2.0280846E+002, 1.0012839E+001, 7.3201880E+002, 1.8260732E+002, 4.3778426E-002
 2.0401851E+002, 9.9960936E+000, 7.2301005E+002, 1.8272740E+002, 4.3754737E-002
 2.0521367E+002, 9.9794062E+000, 7.1653143E+002, 1.8158189E+002, 4.3730981E-002
 2.0640429E+002, 9.9628673E+000, 7.0822618E+002, 1.8235462E+002, 4.3707242E-002
