s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4215080E+001, 6.0103712E+001, 0.0000000E+000, 4.9999998E-002
 2.5000000E+000, 1.4214393E+001, 1.2162748E+002, 0.0000000E+000, 4.9999311E-002
 3.6457273E+000, 1.4211855E+001, 1.4278295E+002, 1.7920045E-006, 4.9996774E-002
 4.8415931E+000, 1.4208558E+001, 1.6129469E+002, 2.7506514E-005, 4.9993480E-002
 6.0176257E+000, 1.4204907E+001, 1.7957384E+002, 1.6812169E-004, 4.9989826E-002
 7.2178088E+000, 1.4201307E+001, 1.9573588E+002, 7.4432254E-004, 4.9986222E-002
 8.4148677E+000, 1.4197781E+001, 2.1037928E+002, 2.5832790E-003, 4.9982695E-002
 9.6501624E+000, 1.4194343E+001, 2.2370697E+002, 7.6375539E-003, 4.9979256E-002
 1.0853470E+001, 1.4191038E+001, 2.3568576E+002, 1.9502296E-002, 4.9975953E-002
 1.2068841E+001, 1.4187867E+001, 2.4659663E+002, 4.3475104E-002, 4.9972783E-002
 1.3203798E+001, 1.4184875E+001, 2.5635823E+002, 8.7977291E-002, 4.9969791E-002
 1.4473106E+001, 1.4181902E+001, 2.6576656E+002, 1.6608119E-001, 4.9966813E-002
 1.5675881E+001, 1.4178928E+001, 2.7497003E+002, 2.9783846E-001, 4.9963826E-002
 1.6841896E+001, 1.4176157E+001, 2.8297952E+002, 4.9726397E-001, 4.9961033E-002
 1.8007911E+001, 1.4173469E+001, 2.9017288E+002, 7.8160894E-001, 4.9958308E-002
 1.9224511E+001, 1.4170770E+001, 2.9629887E+002, 1.2112108E+000, 4.9955555E-002
 2.0436689E+001, 1.4168041E+001, 3.0290201E+002, 1.7898055E+000, 4.9952756E-002
 2.1636961E+001, 1.4165336E+001, 3.0865901E+002, 2.6042978E+000, 4.9949959E-002
 2.2829269E+001, 1.4162631E+001, 3.1444108E+002, 3.6277839E+000, 4.9947128E-002
 2.4024219E+001, 1.4159892E+001, 3.2015293E+002, 4.9029127E+000, 4.9944209E-002
 2.5213589E+001, 1.4157105E+001, 3.2566649E+002, 6.6212399E+000, 4.9941162E-002
 2.6463178E+001, 1.4154153E+001, 3.3044564E+002, 8.6222420E+000, 4.9937830E-002
 2.7616912E+001, 1.4151127E+001, 3.3395406E+002, 1.1105819E+001, 4.9934342E-002
 2.8857875E+001, 1.4147944E+001, 3.3918127E+002, 1.4026225E+001, 4.9930589E-002
 3.0026094E+001, 1.4144555E+001, 3.4349981E+002, 1.7523525E+001, 4.9926433E-002
 3.1234056E+001, 1.4140976E+001, 3.4832372E+002, 2.1121516E+001, 4.9921888E-002
 3.2404011E+001, 1.4137143E+001, 3.4950711E+002, 2.5137671E+001, 4.9916904E-002
 3.3641598E+001, 1.4132992E+001, 3.5343287E+002, 2.9411130E+001, 4.9911621E-002
 3.4803476E+001, 1.4128553E+001, 3.5679388E+002, 3.4228871E+001, 4.9905741E-002
 3.6029964E+001, 1.4123787E+001, 3.6128447E+002, 3.9315685E+001, 4.9899437E-002
 3.7220270E+001, 1.4118627E+001, 3.6216156E+002, 4.4147531E+001, 4.9892433E-002
 3.8406734E+001, 1.4113214E+001, 3.6695398E+002, 4.9343813E+001, 4.9885200E-002
 3.9608104E+001, 1.4107433E+001, 3.6876962E+002, 5.3565031E+001, 4.9877344E-002
 4.0808553E+001, 1.4101305E+001, 3.7051003E+002, 5.8012293E+001, 4.9869090E-002
 4.2004320E+001, 1.4094911E+001, 3.7248746E+002, 6.1968108E+001, 4.9860623E-002
 4.3203873E+001, 1.4088270E+001, 3.8009514E+002, 6.4782026E+001, 4.9851588E-002
 4.4429203E+001, 1.4081334E+001, 3.8462796E+002, 6.7802909E+001, 4.9840746E-002
 4.5614470E+001, 1.4074197E+001, 3.8112448E+002, 7.0914001E+001, 4.9829806E-002
 4.6811583E+001, 1.4066928E+001, 3.8675478E+002, 7.3855137E+001, 4.9819553E-002
 4.8031049E+001, 1.4059314E+001, 3.9305052E+002, 7.7018733E+001, 4.9807471E-002
 4.9204510E+001, 1.4051527E+001, 3.9316539E+002, 8.0253775E+001, 4.9794782E-002
 5.0418825E+001, 1.4043514E+001, 3.9558836E+002, 8.3129883E+001, 4.9781966E-002
 5.1627990E+001, 1.4035126E+001, 3.9944028E+002, 8.6097221E+001, 4.9768435E-002
 5.2805057E+001, 1.4026679E+001, 4.0275728E+002, 8.8150169E+001, 4.9753815E-002
 5.4014534E+001, 1.4018006E+001, 3.9714108E+002, 9.0455578E+001, 4.9739347E-002
 5.5218430E+001, 1.4009107E+001, 4.0337722E+002, 9.1186037E+001, 4.9725495E-002
 5.6414768E+001, 1.4000061E+001, 4.0587450E+002, 9.5175271E+001, 4.9710401E-002
 5.7618193E+001, 1.3990641E+001, 4.0461591E+002, 9.9471671E+001, 4.9694855E-002
 5.8802397E+001, 1.3981040E+001, 4.0596672E+002, 1.0153865E+002, 4.9679650E-002
 6.0013015E+001, 1.3971225E+001, 4.0903629E+002, 1.0458643E+002, 4.9663835E-002
 6.1219440E+001, 1.3960896E+001, 4.0479113E+002, 1.0835343E+002, 4.9647513E-002
 6.2434188E+001, 1.3950441E+001, 4.0197498E+002, 1.0808375E+002, 4.9632611E-002
 6.3627858E+001, 1.3940113E+001, 4.0669754E+002, 1.0724022E+002, 4.9618334E-002
 6.4814386E+001, 1.3930002E+001, 4.0315888E+002, 1.0496654E+002, 4.9603672E-002
 6.6007771E+001, 1.3919885E+001, 4.0175956E+002, 1.0841625E+002, 4.9589960E-002
 6.7204685E+001, 1.3909369E+001, 4.0097141E+002, 1.1108147E+002, 4.9576738E-002
 6.8412483E+001, 1.3898504E+001, 4.0313182E+002, 1.1555390E+002, 4.9563666E-002
 6.9611530E+001, 1.3887221E+001, 4.0477238E+002, 1.2079854E+002, 4.9550262E-002
 7.0816876E+001, 1.3875574E+001, 4.0905750E+002, 1.2540317E+002, 4.9536002E-002
 7.2017536E+001, 1.3863475E+001, 4.0997035E+002, 1.3009228E+002, 4.9520705E-002
 7.3223822E+001, 1.3850920E+001, 4.1221093E+002, 1.3495338E+002, 4.9504536E-002
 7.4416634E+001, 1.3838249E+001, 4.1087882E+002, 1.3614568E+002, 4.9488095E-002
 7.5608536E+001, 1.3825432E+001, 4.1335745E+002, 1.3980979E+002, 4.9471745E-002
 7.6829086E+001, 1.3812328E+001, 4.0997610E+002, 1.3826842E+002, 4.9454929E-002
 7.8012196E+001, 1.3799257E+001, 4.0922365E+002, 1.3890505E+002, 4.9438930E-002
 7.9217215E+001, 1.3786424E+001, 4.0744477E+002, 1.3448077E+002, 4.9423710E-002
 8.0401440E+001, 1.3773991E+001, 4.0864831E+002, 1.3067990E+002, 4.9408948E-002
 8.1625565E+001, 1.3761721E+001, 4.1111353E+002, 1.3028568E+002, 4.9393947E-002
 8.2824534E+001, 1.3749031E+001, 4.1095720E+002, 1.3570429E+002, 4.9378246E-002
 8.4017809E+001, 1.3736266E+001, 4.1505131E+002, 1.3769660E+002, 4.9362524E-002
 8.5226346E+001, 1.3723213E+001, 4.1340507E+002, 1.4167318E+002, 4.9345736E-002
 8.6419477E+001, 1.3709742E+001, 4.1368796E+002, 1.4730516E+002, 4.9329421E-002
 8.7602501E+001, 1.3695955E+001, 4.2328173E+002, 1.5223283E+002, 4.9312416E-002
 8.8817908E+001, 1.3681662E+001, 4.2889639E+002, 1.5715768E+002, 4.9291954E-002
 9.0012701E+001, 1.3666827E+001, 4.3519707E+002, 1.5862511E+002, 4.9267690E-002
 9.1222677E+001, 1.3652121E+001, 4.3196425E+002, 1.6124878E+002, 4.9241590E-002
 9.2417110E+001, 1.3637078E+001, 4.2867042E+002, 1.6476557E+002, 4.9217061E-002
 9.3618405E+001, 1.3621890E+001, 4.3395174E+002, 1.6680326E+002, 4.9193655E-002
 9.4805499E+001, 1.3606757E+001, 4.2676421E+002, 1.6450075E+002, 4.9169810E-002
 9.6019567E+001, 1.3591794E+001, 4.2789670E+002, 1.6077436E+002, 4.9148164E-002
 9.7221312E+001, 1.3576853E+001, 4.2497048E+002, 1.6323786E+002, 4.9127110E-002
 9.8409332E+001, 1.3561840E+001, 4.2417013E+002, 1.6544909E+002, 4.9107715E-002
 9.9614325E+001, 1.3546496E+001, 4.2746451E+002, 1.6804284E+002, 4.9088519E-002
 1.0082715E+002, 1.3531058E+001, 4.2286241E+002, 1.6582633E+002, 4.9069423E-002
 1.0201074E+002, 1.3516173E+001, 4.3091862E+002, 1.6061639E+002, 4.9051258E-002
 1.0321466E+002, 1.3501474E+001, 4.2972105E+002, 1.6363973E+002, 4.9031657E-002
 1.0442027E+002, 1.3486204E+001, 4.3239937E+002, 1.6651511E+002, 4.9011869E-002
 1.0561689E+002, 1.3471161E+001, 4.3290997E+002, 1.6128474E+002, 4.8991692E-002
 1.0680722E+002, 1.3456377E+001, 4.3625979E+002, 1.6258897E+002, 4.8970780E-002
 1.0800443E+002, 1.3441418E+001, 4.4024317E+002, 1.6581916E+002, 4.8949406E-002
 1.0922432E+002, 1.3426003E+001, 4.3810160E+002, 1.6672222E+002, 4.8926367E-002
 1.1042024E+002, 1.3410712E+001, 4.4217204E+002, 1.6596488E+002, 4.8903548E-002
 1.1160626E+002, 1.3395581E+001, 4.4729560E+002, 1.6661851E+002, 4.8879934E-002
 1.1280229E+002, 1.3380577E+001, 4.4406883E+002, 1.6612442E+002, 4.8855371E-002
 1.1401351E+002, 1.3365236E+001, 4.4580619E+002, 1.6786844E+002, 4.8831213E-002
 1.1521357E+002, 1.3349654E+001, 4.5346433E+002, 1.7194646E+002, 4.8806290E-002
 1.1641028E+002, 1.3333788E+001, 4.6801438E+002, 1.7687969E+002, 4.8778224E-002
 1.1763013E+002, 1.3317490E+001, 4.5352860E+002, 1.7402892E+002, 4.8746004E-002
 1.1881235E+002, 1.3301767E+001, 4.5735703E+002, 1.7062751E+002, 4.8717277E-002
 1.2002151E+002, 1.3286262E+001, 4.5855826E+002, 1.7181759E+002, 4.8688941E-002
 1.2120456E+002, 1.3270579E+001, 4.6455770E+002, 1.7370767E+002, 4.8660875E-002
 1.2240297E+002, 1.3254865E+001, 4.6268748E+002, 1.7436530E+002, 4.8631605E-002
 1.2360475E+002, 1.3239099E+001, 4.5538272E+002, 1.7279218E+002, 4.8602973E-002
 1.2480356E+002, 1.3223376E+001, 4.5734470E+002, 1.7317467E+002, 4.8576598E-002
 1.2600273E+002, 1.3207646E+001, 4.6155443E+002, 1.7103036E+002, 4.8550932E-002
 1.2722755E+002, 1.3192219E+001, 4.5706704E+002, 1.6473103E+002, 4.8524906E-002
 1.2842249E+002, 1.3177093E+001, 4.5300763E+002, 1.6466219E+002, 4.8500271E-002
 1.2960827E+002, 1.3162218E+001, 4.5524244E+002, 1.6502042E+002, 4.8477692E-002
 1.3082039E+002, 1.3147090E+001, 4.6668376E+002, 1.6761271E+002, 4.8455059E-002
 1.3200404E+002, 1.3131659E+001, 4.6775944E+002, 1.7081882E+002, 4.8430561E-002
 1.3321498E+002, 1.3116131E+001, 4.7542759E+002, 1.7026862E+002, 4.8404560E-002
 1.3441889E+002, 1.3100460E+001, 4.8178917E+002, 1.7055208E+002, 4.8376122E-002
 1.3560504E+002, 1.3085106E+001, 4.8577653E+002, 1.6878652E+002, 4.8345756E-002
 1.3680509E+002, 1.3069800E+001, 4.8552248E+002, 1.6746318E+002, 4.8313664E-002
 1.3800231E+002, 1.3054595E+001, 4.8397618E+002, 1.6715248E+002, 4.8281267E-002
 1.3920222E+002, 1.3039375E+001, 4.7953131E+002, 1.6805993E+002, 4.8249644E-002
 1.4040108E+002, 1.3024134E+001, 4.7604974E+002, 1.6706367E+002, 4.8219629E-002
 1.4161835E+002, 1.3008740E+001, 4.7339227E+002, 1.6923701E+002, 4.8191640E-002
 1.4280911E+002, 1.2993312E+001, 4.7355154E+002, 1.6840332E+002, 4.8165615E-002
 1.4400505E+002, 1.2978029E+001, 4.8435768E+002, 1.6932206E+002, 4.8140676E-002
 1.4520375E+002, 1.2962575E+001, 4.8969444E+002, 1.7103231E+002, 4.8114377E-002
 1.4641773E+002, 1.2946832E+001, 4.8743039E+002, 1.7119105E+002, 4.8086124E-002
 1.4761205E+002, 1.2931399E+001, 4.8156022E+002, 1.6700761E+002, 4.8057941E-002
 1.4880237E+002, 1.2916579E+001, 4.8331463E+002, 1.6291456E+002, 4.8031340E-002
 1.5001508E+002, 1.2901765E+001, 4.7769256E+002, 1.6281568E+002, 4.8005392E-002
 1.5120975E+002, 1.2886865E+001, 4.7197978E+002, 1.6332752E+002, 4.7980600E-002
 1.5241941E+002, 1.2871961E+001, 4.7886008E+002, 1.6284241E+002, 4.7957583E-002
 1.5362946E+002, 1.2856961E+001, 4.8783614E+002, 1.6235620E+002, 4.7934852E-002
 1.5481720E+002, 1.2842234E+001, 4.9715534E+002, 1.6238687E+002, 4.7911001E-002
 1.5601085E+002, 1.2827646E+001, 4.7609412E+002, 1.6056129E+002, 4.7885694E-002
 1.5720691E+002, 1.2813140E+001, 4.7785051E+002, 1.5917608E+002, 4.7861850E-002
 1.5840753E+002, 1.2798703E+001, 4.8775321E+002, 1.5809390E+002, 4.7839426E-002
 1.5961936E+002, 1.2784185E+001, 4.8920517E+002, 1.5822804E+002, 4.7816319E-002
 1.6081148E+002, 1.2769745E+001, 4.8978161E+002, 1.5809320E+002, 4.7792834E-002
 1.6201361E+002, 1.2755389E+001, 4.8857611E+002, 1.5666410E+002, 4.7769072E-002
 1.6320354E+002, 1.2741103E+001, 4.8464479E+002, 1.5616040E+002, 4.7745447E-002
 1.6441857E+002, 1.2726993E+001, 4.9359291E+002, 1.5185706E+002, 4.7722345E-002
 1.6561902E+002, 1.2712999E+001, 4.8169594E+002, 1.5142836E+002, 4.7698968E-002
 1.6681868E+002, 1.2699375E+001, 4.8422730E+002, 1.4844197E+002, 4.7676587E-002
 1.6800807E+002, 1.2685885E+001, 4.8830645E+002, 1.4626736E+002, 4.7654866E-002
 1.6920817E+002, 1.2672522E+001, 4.8641709E+002, 1.4452543E+002, 4.7633276E-002
 1.7043303E+002, 1.2659112E+001, 4.8985997E+002, 1.4342261E+002, 4.7611708E-002
 1.7160276E+002, 1.2646108E+001, 4.8356277E+002, 1.3965686E+002, 4.7590316E-002
 1.7280357E+002, 1.2633538E+001, 4.8746423E+002, 1.3625825E+002, 4.7569520E-002
 1.7401607E+002, 1.2621002E+001, 4.7997699E+002, 1.3503806E+002, 4.7548771E-002
 1.7520692E+002, 1.2608537E+001, 4.9076240E+002, 1.3497104E+002, 4.7528627E-002
 1.7641025E+002, 1.2596108E+001, 4.8661383E+002, 1.3356403E+002, 4.7508538E-002
 1.7762241E+002, 1.2583605E+001, 4.8635290E+002, 1.3423438E+002, 4.7488300E-002
 1.7881865E+002, 1.2571177E+001, 4.8501215E+002, 1.3465265E+002, 4.7468355E-002
 1.8001229E+002, 1.2558816E+001, 4.9292165E+002, 1.3363565E+002, 4.7448751E-002
 1.8121807E+002, 1.2546405E+001, 4.8657582E+002, 1.3470030E+002, 4.7428923E-002
 1.8240316E+002, 1.2534015E+001, 4.9317271E+002, 1.3511467E+002, 4.7409204E-002
 1.8362501E+002, 1.2521505E+001, 5.0012321E+002, 1.3525422E+002, 4.7389093E-002
 1.8480078E+002, 1.2508979E+001, 4.9728487E+002, 1.3634731E+002, 4.7368320E-002
 1.8602363E+002, 1.2496430E+001, 4.9490904E+002, 1.3433822E+002, 4.7347032E-002
 1.8722431E+002, 1.2483853E+001, 4.9691268E+002, 1.3517371E+002, 4.7325613E-002
 1.8842199E+002, 1.2471502E+001, 5.0391324E+002, 1.3401439E+002, 4.7304545E-002
 1.8961200E+002, 1.2459176E+001, 4.9448846E+002, 1.3584007E+002, 4.7283109E-002
 1.9080244E+002, 1.2446763E+001, 4.9990177E+002, 1.3625528E+002, 4.7261744E-002
 1.9202539E+002, 1.2434107E+001, 4.9836145E+002, 1.3644130E+002, 4.7240334E-002
 1.9320043E+002, 1.2421451E+001, 4.9509454E+002, 1.3894483E+002, 4.7219085E-002
 1.9441388E+002, 1.2408749E+001, 4.9492396E+002, 1.3851329E+002, 4.7198380E-002
 1.9560301E+002, 1.2395928E+001, 4.9362535E+002, 1.3964367E+002, 4.7177913E-002
 1.9682073E+002, 1.2383107E+001, 4.9000829E+002, 1.3907462E+002, 4.7157933E-002
 1.9801056E+002, 1.2370298E+001, 4.8440738E+002, 1.3903350E+002, 4.7138515E-002
 1.9922076E+002, 1.2357522E+001, 4.8187257E+002, 1.3960688E+002, 4.7119975E-002
 2.0041870E+002, 1.2344635E+001, 4.7689431E+002, 1.4034468E+002, 4.7102209E-002
 2.0161923E+002, 1.2331766E+001, 4.7646045E+002, 1.3911189E+002, 4.7085415E-002
 2.0282502E+002, 1.2318900E+001, 4.7756011E+002, 1.3866197E+002, 4.7069404E-002
 2.0402544E+002, 1.2306198E+001, 4.7756278E+002, 1.3737604E+002, 4.7053931E-002
 2.0521149E+002, 1.2293697E+001, 4.7437167E+002, 1.3538205E+002, 4.7038970E-002
 2.0642415E+002, 1.2281249E+001, 4.7835576E+002, 1.3619608E+002, 4.7024336E-002
