s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.5900000E+003, 7.3000114E+001, 9.7526270E-001, 2.2464268E-005, 0.0000000E+000, 9.4708622E-002
 1.6200000E+003, 7.4000114E+001, 9.7463745E-001, 1.9210378E-005, 0.0000000E+000, 8.7258413E-002
 1.6500000E+003, 7.5000122E+001, 9.7410983E-001, 1.5982170E-005, 0.0000000E+000, 7.9879969E-002
 1.6800000E+003, 7.6000130E+001, 9.7367710E-001, 1.2901626E-005, 0.0000000E+000, 7.2848946E-002
 1.7100000E+003, 7.7000130E+001, 9.7333318E-001, 1.0076492E-005, 0.0000000E+000, 6.6408351E-002
 1.7400000E+003, 7.8000130E+001, 9.7306913E-001, 7.5903845E-006, 0.0000000E+000, 6.0746018E-002
 1.7700000E+003, 7.9000137E+001, 9.7287387E-001, 5.4956272E-006, 0.0000000E+000, 5.5978850E-002
 1.8000000E+003, 8.0000137E+001, 9.7273529E-001, 3.8101789E-006, 0.0000000E+000, 5.2145820E-002
 1.8300000E+003, 8.1000137E+001, 9.7264135E-001, 2.5192917E-006, 0.0000000E+000, 4.9211781E-002
 1.8600000E+003, 8.2000137E+001, 9.7258061E-001, 1.5815751E-006, 0.0000000E+000, 4.7081586E-002
 1.8900000E+003, 8.3000145E+001, 9.7254348E-001, 9.3817255E-007, 0.0000000E+000, 4.5620561E-002
 1.9200000E+003, 8.4000145E+001, 9.7252208E-001, 5.2309031E-007, 0.0000000E+000, 4.4678416E-002
 1.9500000E+003, 8.5000145E+001, 9.7251046E-001, 2.7257906E-007, 0.0000000E+000, 4.4110000E-002
 1.9800000E+003, 8.6000145E+001, 9.7250462E-001, 1.3192783E-007, 0.0000000E+000, 4.3790933E-002
 2.0100000E+003, 8.7000145E+001, 9.7250187E-001, 5.8909183E-008, 0.0000000E+000, 4.3625355E-002
 2.0400000E+003, 8.8000145E+001, 9.7250068E-001, 2.4091095E-008, 0.0000000E+000, 4.3546420E-002
 2.0700000E+003, 8.9000145E+001, 9.7250026E-001, 8.9518268E-009, 0.0000000E+000, 4.3512110E-002
