s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.2000000E+001, 2.1000349E+001, 9.9999315E-001, 6.1164064E-007, 3.7313176E-028, 1.2150512E-001
 2.4000000E+001, 2.2000349E+001, 9.9998528E-001, 7.0236524E-007, 5.2141939E-028, 1.2170767E-001
 3.6000000E+001, 2.3000349E+001, 9.9997622E-001, 8.0576592E-007, 7.2699382E-028, 1.2193847E-001
 4.8000000E+001, 2.4000349E+001, 9.9996591E-001, 9.2349831E-007, 1.0113529E-027, 1.2220129E-001
 6.0000000E+001, 2.5000349E+001, 9.9995399E-001, 1.0574172E-006, 1.4038250E-027, 1.2250015E-001
 7.2000000E+001, 2.6000347E+001, 9.9994045E-001, 1.2095981E-006, 1.9443351E-027, 1.2283976E-001
 8.4000000E+001, 2.7000347E+001, 9.9992490E-001, 1.3823604E-006, 2.6871177E-027, 1.2322528E-001
 9.6000000E+001, 2.8000347E+001, 9.9990714E-001, 1.5782930E-006, 3.7056895E-027, 1.2366244E-001
 1.0800000E+002, 2.9000347E+001, 9.9988693E-001, 1.8002803E-006, 5.0994985E-027, 1.2415767E-001
 1.2000000E+002, 3.0000347E+001, 9.9986380E-001, 2.0515326E-006, 7.0027899E-027, 1.2471815E-001
 1.3200000E+002, 3.1000347E+001, 9.9983752E-001, 2.3356170E-006, 9.5964143E-027, 1.2535179E-001
 1.4400000E+002, 3.2000347E+001, 9.9980760E-001, 2.6564887E-006, 1.3123510E-026, 1.2606741E-001
 1.5600000E+002, 3.3000347E+001, 9.9977362E-001, 3.0185283E-006, 1.7910303E-026, 1.2687476E-001
 1.6800000E+002, 3.4000347E+001, 9.9973500E-001, 3.4265759E-006, 2.4393631E-026, 1.2778458E-001
 1.8000000E+002, 3.5000343E+001, 9.9969119E-001, 3.8859689E-006, 3.3157300E-026, 1.2880880E-001
 1.9200000E+002, 3.6000343E+001, 9.9964148E-001, 4.4025792E-006, 4.4980001E-026, 1.2996039E-001
 2.0400000E+002, 3.7000343E+001, 9.9958527E-001, 4.9828532E-006, 6.0898373E-026, 1.3125381E-001
 2.1600000E+002, 3.8000343E+001, 9.9952161E-001, 5.6338440E-006, 8.2289822E-026, 1.3270466E-001
 2.2800000E+002, 3.9000343E+001, 9.9944973E-001, 6.3632497E-006, 1.1098106E-025, 1.3433002E-001
 2.4000000E+002, 4.0000340E+001, 9.9936855E-001, 7.1794425E-006, 1.4939014E-025, 1.3614853E-001
 2.5200000E+002, 4.1000340E+001, 9.9927700E-001, 8.0914915E-006, 2.0071196E-025, 1.3818035E-001
 2.6400000E+002, 4.2000340E+001, 9.9917394E-001, 9.1091833E-006, 2.6916008E-025, 1.4044715E-001
 2.7600000E+002, 4.3000336E+001, 9.9905789E-001, 1.0243022E-005, 3.6028140E-025, 1.4297225E-001
 2.8800000E+002, 4.4000336E+001, 9.9892753E-001, 1.1504226E-005, 4.8136495E-025, 1.4578052E-001
 3.0000000E+002, 4.5000332E+001, 9.9878126E-001, 1.2904693E-005, 6.4197195E-025, 1.4889836E-001
 3.1200000E+002, 4.6000332E+001, 9.9861723E-001, 1.4456952E-005, 8.5462193E-025, 1.5235351E-001
 3.2400000E+002, 4.7000328E+001, 9.9843359E-001, 1.6174079E-005, 1.1356793E-024, 1.5617485E-001
 3.3600000E+002, 4.8000328E+001, 9.9822831E-001, 1.8069573E-005, 1.5064973E-024, 1.6039222E-001
 3.4800000E+002, 4.9000324E+001, 9.9799913E-001, 2.0157191E-005, 1.9948910E-024, 1.6503598E-001
 3.6000000E+002, 5.0000320E+001, 9.9774373E-001, 2.2450728E-005, 2.6370307E-024, 1.7013650E-001
 3.7200000E+002, 5.1000317E+001, 9.9745941E-001, 2.4963720E-005, 3.4798729E-024, 1.7572351E-001
 3.8400000E+002, 5.2000317E+001, 9.9714363E-001, 2.7709088E-005, 4.5842750E-024, 1.8182535E-001
 3.9600000E+002, 5.3000313E+001, 9.9679339E-001, 3.0698684E-005, 6.0289799E-024, 1.8846779E-001
 4.0800000E+002, 5.4000309E+001, 9.9640578E-001, 3.3942724E-005, 7.9157064E-024, 1.9567290E-001
 4.2000000E+002, 5.5000301E+001, 9.9597770E-001, 3.7449136E-005, 1.0375637E-023, 2.0345752E-001
 4.3200000E+002, 5.6000298E+001, 9.9550593E-001, 4.1222749E-005, 1.3577685E-023, 2.1183151E-001
 4.4400000E+002, 5.7000294E+001, 9.9498725E-001, 4.5264391E-005, 1.7738995E-023, 2.2079560E-001
 4.5600000E+002, 5.8000286E+001, 9.9441844E-001, 4.9569826E-005, 2.3138280E-023, 2.3033902E-001
 4.6800000E+002, 5.9000282E+001, 9.9379653E-001, 5.4128566E-005, 3.0132710E-023, 2.4043709E-001
 4.8000000E+002, 6.0000275E+001, 9.9311841E-001, 5.8922582E-005, 3.9179304E-023, 2.5104782E-001
 4.9200000E+002, 6.1000271E+001, 9.9238145E-001, 6.3924912E-005, 5.0861917E-023, 2.6210943E-001
 5.0400000E+002, 6.2000263E+001, 9.9158347E-001, 6.9098227E-005, 6.5925339E-023, 2.7353650E-001
 5.1600000E+002, 6.3000256E+001, 9.9072260E-001, 7.4393436E-005, 8.5318216E-023, 2.8521737E-001
 5.2800000E+002, 6.4000252E+001, 9.8979771E-001, 7.9748366E-005, 1.1024700E-022, 2.9701099E-001
 5.4000000E+002, 6.5000244E+001, 9.8880863E-001, 8.5086715E-005, 1.4224381E-022, 3.0874461E-001
 5.5200000E+002, 6.6000237E+001, 9.8775601E-001, 9.0317328E-005, 1.8325144E-022, 3.2021219E-001
 5.6400000E+002, 6.7000229E+001, 9.8664182E-001, 9.5334093E-005, 2.3572986E-022, 3.3117431E-001
 5.7600000E+002, 6.8000229E+001, 9.8546928E-001, 1.0001655E-004, 3.0278940E-022, 3.4135947E-001
 5.8800000E+002, 6.9000221E+001, 9.8424321E-001, 1.0423151E-004, 3.8835711E-022, 3.5046810E-001
 6.0000000E+002, 7.0000214E+001, 9.8297012E-001, 1.0783588E-004, 4.9738415E-022, 3.5817850E-001
