s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 8.7000000E+001, 4.9001404E+001, 9.9981737E-001, 7.5227149E-006, 2.0045817E-024, 4.7587675E-001
 9.0000000E+001, 5.0001404E+001, 9.9979347E-001, 8.4276553E-006, 2.6498485E-024, 4.7789130E-001
 9.3000000E+001, 5.1001400E+001, 9.9976671E-001, 9.4324905E-006, 3.4967979E-024, 4.8012793E-001
 9.6000000E+001, 5.2001400E+001, 9.9973679E-001, 1.0546892E-005, 4.6065852E-024, 4.8260808E-001
 9.9000000E+001, 5.3001400E+001, 9.9970329E-001, 1.1781235E-005, 6.0583389E-024, 4.8535475E-001
 1.0200000E+002, 5.4001396E+001, 9.9966592E-001, 1.3146609E-005, 7.9542770E-024, 4.8839247E-001
 1.0500000E+002, 5.5001396E+001, 9.9962425E-001, 1.4654801E-005, 1.0426225E-023, 4.9174741E-001
 1.0800000E+002, 5.6001392E+001, 9.9957782E-001, 1.6318283E-005, 1.3643927E-023, 4.9544713E-001
 1.1100000E+002, 5.7001389E+001, 9.9952614E-001, 1.8150160E-005, 1.7825593E-023, 4.9952054E-001
 1.1400000E+002, 5.8001389E+001, 9.9946874E-001, 2.0164109E-005, 2.3251304E-023, 5.0399804E-001
 1.1700000E+002, 5.9001385E+001, 9.9940497E-001, 2.2374275E-005, 3.0279994E-023, 5.0891060E-001
 1.2000000E+002, 6.0001381E+001, 9.9933428E-001, 2.4795148E-005, 3.9370918E-023, 5.1429039E-001
 1.2300000E+002, 6.1001377E+001, 9.9925596E-001, 2.7441376E-005, 5.1110822E-023, 5.2016950E-001
 1.2600000E+002, 6.2001377E+001, 9.9916935E-001, 3.0327545E-005, 6.6248154E-023, 5.2657998E-001
 1.2900000E+002, 6.3001373E+001, 9.9907368E-001, 3.3467888E-005, 8.5736230E-023, 5.3355300E-001
 1.3200000E+002, 6.4001366E+001, 9.9896824E-001, 3.6875932E-005, 1.1078745E-022, 5.4111814E-001
 1.3500000E+002, 6.5001366E+001, 9.9885213E-001, 4.0564075E-005, 1.4294150E-022, 5.4930216E-001
 1.3800000E+002, 6.6001358E+001, 9.9872452E-001, 4.4543052E-005, 1.8415071E-022, 5.5812830E-001
 1.4100000E+002, 6.7001350E+001, 9.9858451E-001, 4.8821326E-005, 2.3688718E-022, 5.6761432E-001
 1.4400000E+002, 6.8001350E+001, 9.9843127E-001, 5.3404379E-005, 3.0427658E-022, 5.7777148E-001
 1.4700000E+002, 6.9001343E+001, 9.9826378E-001, 5.8293863E-005, 3.9026527E-022, 5.8860213E-001
 1.5000000E+002, 7.0001335E+001, 9.9808115E-001, 6.3486681E-005, 4.9982873E-022, 6.0009801E-001
 1.5300000E+002, 7.1001328E+001, 9.9788249E-001, 6.8973924E-005, 6.3923128E-022, 6.1223769E-001
 1.5600000E+002, 7.2001320E+001, 9.9766695E-001, 7.4739721E-005, 8.1634866E-022, 6.2498397E-001
 1.5900000E+002, 7.3001312E+001, 9.9743372E-001, 8.0760023E-005, 1.0410693E-021, 6.3828140E-001
 1.6200000E+002, 7.4001305E+001, 9.9718213E-001, 8.7001295E-005, 1.3257912E-021, 6.5205288E-001
 1.6500000E+002, 7.5001297E+001, 9.9691147E-001, 9.3419221E-005, 1.6860384E-021, 6.6619748E-001
 1.6800000E+002, 7.6001289E+001, 9.9662143E-001, 9.9957470E-005, 2.1412224E-021, 6.8058687E-001
 1.7100000E+002, 7.7001282E+001, 9.9631160E-001, 1.0654655E-004, 2.7155843E-021, 6.9506359E-001
 1.7400000E+002, 7.8001274E+001, 9.9598211E-001, 1.1310298E-004, 3.4393548E-021, 7.0943844E-001
 1.7700000E+002, 7.9001266E+001, 9.9563307E-001, 1.1952865E-004, 4.3501869E-021, 7.2348982E-001
 1.8000000E+002, 8.0001259E+001, 9.9526513E-001, 1.2571084E-004, 5.4949156E-021, 7.3696345E-001
 1.8300000E+002, 8.1001251E+001, 9.9487913E-001, 1.3152281E-004, 6.9317243E-021, 7.4957377E-001
 1.8600000E+002, 8.2001244E+001, 9.9447644E-001, 1.3682529E-004, 8.7327986E-021, 7.6100737E-001
 1.8900000E+002, 8.3001244E+001, 9.9405879E-001, 1.4146882E-004, 1.0987590E-020, 7.7092850E-001
 1.9200000E+002, 8.4001236E+001, 9.9362838E-001, 1.4529741E-004, 1.3806796E-020, 7.7898735E-001
 1.9500000E+002, 8.5001236E+001, 9.9318790E-001, 1.4815347E-004, 1.7327250E-020, 7.8483093E-001
 1.9800000E+002, 8.6001228E+001, 9.9274057E-001, 1.4988388E-004, 2.1717868E-020, 7.8811723E-001
 2.0100000E+002, 8.7001228E+001, 9.9228990E-001, 1.5034758E-004, 2.7186932E-020, 7.8853226E-001
 2.0400000E+002, 8.8001228E+001, 9.9183989E-001, 1.4942407E-004, 3.3990942E-020, 7.8580886E-001
 2.0700000E+002, 8.9001236E+001, 9.9139482E-001, 1.4702274E-004, 4.2445403E-020, 7.7974826E-001
 2.1000000E+002, 9.0001244E+001, 9.9095929E-001, 1.4309237E-004, 5.2937937E-020, 7.7024078E-001
 2.1300000E+002, 9.1001251E+001, 9.9053788E-001, 1.3762999E-004, 6.5944208E-020, 7.5728661E-001
 2.1600000E+002, 9.2001259E+001, 9.9013507E-001, 1.3068848E-004, 8.2047218E-020, 7.4101168E-001
 2.1900000E+002, 9.3001266E+001, 9.8975515E-001, 1.2238148E-004, 1.0196073E-019, 7.2167951E-001
 2.2200000E+002, 9.4001282E+001, 9.8940206E-001, 1.1288485E-004, 1.2655756E-019, 6.9969338E-001
 2.2500000E+002, 9.5001289E+001, 9.8907894E-001, 1.0243359E-004, 1.5690379E-019, 6.7558998E-001
 2.2800000E+002, 9.6001305E+001, 9.8878825E-001, 9.1313668E-005, 1.9430015E-019, 6.5001982E-001
 2.3100000E+002, 9.7001320E+001, 9.8853147E-001, 7.9848563E-005, 2.4033180E-019, 6.2371719E-001
 2.3400000E+002, 9.8001335E+001, 9.8830926E-001, 6.8380963E-005, 2.9692840E-019, 5.9745812E-001
 2.3700000E+002, 9.9001350E+001, 9.8812097E-001, 5.7250953E-005, 3.6643641E-019, 5.7201159E-001
 2.4000000E+002, 1.0000137E+002, 9.8796517E-001, 4.6772646E-005, 4.5170596E-019, 5.4808605E-001
 2.4300000E+002, 1.0100137E+002, 9.8783952E-001, 3.7211776E-005, 5.5619521E-019, 5.2627933E-001
 2.4600000E+002, 1.0200139E+002, 9.8774087E-001, 2.8767099E-005, 6.8409548E-019, 5.0703663E-001
 2.4900000E+002, 1.0300140E+002, 9.8766577E-001, 2.1558200E-005, 8.4048147E-019, 4.9062335E-001
 2.5200000E+002, 1.0400140E+002, 9.8761034E-001, 1.5621521E-005, 1.0314905E-018, 4.7711644E-001
