s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-1.5758822E-007, 9.4991166E-004, 2.8397580E-003, 1.7273416E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7097650E-004, 3.9622462E-003, 2.7492619E-014, 4.2866861E-006
 2.5000000E+000, 3.5203721E-008,-2.1831338E-005, 1.2306896E-002, 9.7711737E-003, 8.8835149E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0452323E-002, 2.2944625E-002, 1.2776086E-011, 4.3248260E-005
 3.6738334E+000, 3.1624866E-005, 2.8800466E-004, 1.3270946E-002, 1.4135007E-002, 3.7124095E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9853177E-002, 3.1437992E-002, 2.7764125E-009, 4.2679367E-005
 4.8046021E+000, 4.3470252E-004, 1.1660939E-003,-8.1109171E-003, 1.7807534E-002, 3.5319248E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4818485E-002, 1.4829338E-002, 3.4027741E-008, 3.4993237E-005
 6.0485730E+000, 3.1479030E-003, 1.5325617E-003,-2.5066225E-002, 2.1483398E-002, 3.9381857E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8281984E-003, 5.0358233E-003, 2.2919121E-007, 3.2328672E-005
 7.2370420E+000, 1.4098489E-002, 1.0475096E-003,-3.0178245E-002, 2.3177078E-002, 4.2565599E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1806818E-002, 1.2401392E-002, 9.8682907E-007, 3.0776139E-005
 8.4379930E+000, 4.6114612E-002,-9.4701036E-003,-4.1378183E-002, 2.5083467E-002, 4.8389373E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3154460E-002, 2.5188729E-002, 3.0988868E-006, 3.1078080E-005
 9.6178675E+000, 1.1932333E-001,-2.8277447E-002,-6.7865609E-002, 2.5152440E-002, 5.7682330E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2170224E-002, 5.4100950E-002, 7.7991315E-006, 3.4296907E-005
 1.0810343E+001, 2.5596586E-001,-6.9213293E-002,-1.5351990E-001, 2.1764886E-002, 7.3541506E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0190535E-002, 6.2351711E-002, 1.6488984E-005, 4.1764501E-005
 1.2026672E+001, 4.7403716E-001,-1.3203312E-001,-2.8274439E-001, 1.7048200E-002, 9.1775111E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2544734E-002, 8.5485374E-002, 3.0033994E-005, 5.4284750E-005
 1.3203051E+001, 7.3383377E-001,-2.0665184E-001,-4.7380310E-001, 1.1774914E-002, 1.1337414E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4870335E-002, 7.6491147E-002, 4.6095398E-005, 6.9506429E-005
 1.4419950E+001, 9.5940016E-001,-2.6767977E-001,-6.6026112E-001, 7.0617917E-003, 1.3473805E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6797249E-002, 5.1994869E-002, 6.0611466E-005, 8.3316334E-005
 1.5626671E+001, 1.1560138E+000,-3.2410312E-001,-8.1866038E-001, 3.6121027E-003, 1.5709612E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5744988E-002, 3.2572060E-002, 7.4515349E-005, 9.6601819E-005
 1.6823130E+001, 1.3548450E+000,-3.8280351E-001,-8.5462250E-001,-6.3763309E-003, 1.7893815E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3192479E-001, 1.2893647E-001, 8.9543120E-005, 1.1108841E-004
 1.8020201E+001, 1.5659867E+000,-4.5128537E-001,-1.0876667E+000,-1.2443789E-002, 2.0768084E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8579797E-002, 3.5358891E-002, 1.0480275E-004, 1.2586105E-004
 1.9219818E+001, 1.7481487E+000,-4.8937474E-001,-1.2430319E+000,-3.9756684E-002, 2.3609517E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2404386E-002,-4.0513958E-004, 1.1822578E-004, 1.3884648E-004
