s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.5960710E+002, 2.2358519E+000,-6.2581152E-001,-1.6551359E+000,-4.0815211E-002, 4.3927078E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3298087E-002,-4.1983665E-002, 1.5426623E-004, 1.6801660E-004
 1.6080928E+002, 2.2070634E+000,-6.2399897E-001,-1.5554816E+000,-4.4020522E-002, 4.6770281E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7036395E-002, 3.0332610E-002, 1.5393719E-004, 1.6764764E-004
 1.6200859E+002, 2.2267529E+000,-6.4357334E-001,-1.6459383E+000,-3.7181203E-002, 4.6700376E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5849798E-002,-5.3239568E-002, 1.5370995E-004, 1.6738025E-004
 1.6320963E+002, 2.2143084E+000,-6.0674545E-001,-1.6019976E+000,-6.0013487E-002, 4.6960007E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3420710E-002,-7.4881183E-003, 1.5329060E-004, 1.6692117E-004
 1.6441632E+002, 2.2006867E+000,-6.3373784E-001,-1.6237124E+000,-2.4703799E-002, 4.3218330E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8963119E-002,-3.8249018E-002, 1.5279393E-004, 1.6638514E-004
 1.6562314E+002, 2.1992756E+000,-6.2494014E-001,-1.5942921E+000,-4.0108378E-002, 4.5208301E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2905521E-002,-1.4856762E-002, 1.5211856E-004, 1.6567062E-004
 1.6680273E+002, 2.1800277E+000,-6.1038196E-001,-1.6340754E+000,-4.9037849E-002, 4.9067773E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0053970E-002,-6.4399662E-002, 1.5165673E-004, 1.6517025E-004
 1.6800571E+002, 2.1826793E+000,-6.1986084E-001,-1.6113291E+000,-6.7402940E-002, 4.7999975E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5933727E-002,-6.7913597E-002, 1.5115169E-004, 1.6462700E-004
 1.6922206E+002, 2.1637672E+000,-6.2442449E-001,-1.5659621E+000,-3.6657373E-002, 4.4779491E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8867079E-003,-1.8497277E-002, 1.5029855E-004, 1.6373532E-004
 1.7041667E+002, 2.1624211E+000,-6.1649496E-001,-1.6362007E+000,-3.8475420E-002, 4.5112046E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3428432E-002,-8.3637925E-002, 1.4941998E-004, 1.6281844E-004
 1.7161766E+002, 2.1535403E+000,-6.1806715E-001,-1.6137818E+000,-2.0439775E-002, 4.5694962E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8068770E-002,-5.3053454E-002, 1.4912742E-004, 1.6248802E-004
 1.7282570E+002, 2.1480881E+000,-5.9017763E-001,-1.4667146E+000,-3.6509989E-002, 4.5682633E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3787077E-001, 1.0036848E-001, 1.4909806E-004, 1.6242048E-004
 1.7401323E+002, 2.1174310E+000,-6.1298945E-001,-1.5520493E+000,-1.1215779E-001, 5.0627491E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5363260E-002,-1.0913807E-001, 1.4881585E-004, 1.6210010E-004
 1.7521318E+002, 2.1277180E+000,-6.0997861E-001,-1.5078353E+000,-5.2380587E-002, 4.6736270E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2047362E-002, 4.2597410E-003, 1.4800195E-004, 1.6124844E-004
 1.7641110E+002, 2.1070358E+000,-6.0193705E-001,-1.6218075E+000,-6.4047473E-002, 4.8867320E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5655395E-002,-1.3188895E-001, 1.4659688E-004, 1.5980607E-004
 1.7761487E+002, 2.0921578E+000,-5.9191544E-001,-1.4919662E+000,-3.8860620E-002, 4.1564027E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7171060E-002, 1.0979597E-002, 1.4520232E-004, 1.5837441E-004
 1.7881934E+002, 2.0808817E+000,-5.7150939E-001,-1.6174218E+000,-3.2189689E-002, 4.3021005E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2195277E-002,-9.7218173E-002, 1.4401283E-004, 1.5714753E-004
 1.8002272E+002, 2.0689644E+000,-5.8372328E-001,-1.4833942E+000,-1.3104144E-002, 4.3708111E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2453710E-002, 3.2450914E-002, 1.4343246E-004, 1.5652923E-004
 1.8120598E+002, 2.0587054E+000,-5.9201262E-001,-1.5142761E+000,-5.5341779E-002, 4.5620393E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2520020E-002,-5.7304737E-002, 1.4328069E-004, 1.5633920E-004
 1.8240807E+002, 2.0743199E+000,-5.8847623E-001,-1.4991238E+000,-4.0432677E-002, 4.4060366E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5238948E-002,-9.6523783E-003, 1.4299794E-004, 1.5601786E-004
 1.8360411E+002, 2.0561177E+000,-5.7818751E-001,-1.5443365E+000,-2.0483251E-002, 4.4573352E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2748805E-002,-4.2316272E-002, 1.4238602E-004, 1.5536693E-004
 1.8480743E+002, 2.0547280E+000,-5.8244069E-001,-1.5346932E+000,-3.4462824E-002, 4.3133335E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5804809E-002,-5.3735373E-002, 1.4188780E-004, 1.5482973E-004
 1.8600623E+002, 2.0439017E+000,-5.8126891E-001,-1.5513516E+000,-1.8735668E-002, 3.9990286E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6483628E-002,-6.7464235E-002, 1.4181951E-004, 1.5472258E-004
 1.8721828E+002, 2.0546096E+000,-5.8574266E-001,-1.4859606E+000,-1.7094361E-002, 4.1264846E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7536081E-002, 7.0768946E-003, 1.4199475E-004, 1.5485884E-004
 1.8840785E+002, 2.0514652E+000,-5.9310207E-001,-1.5083634E+000,-4.2632255E-002, 4.3449126E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2312634E-002,-4.9183418E-002, 1.4230647E-004, 1.5513221E-004
 1.8961868E+002, 2.0590907E+000,-5.8582337E-001,-1.5413030E+000,-2.1449383E-002, 4.3318152E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2812074E-002,-4.6166976E-002, 1.4265788E-004, 1.5544586E-004
 1.9080049E+002, 2.0645256E+000,-5.7424747E-001,-1.5103551E+000,-3.0842149E-002, 4.4966595E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8340569E-002,-5.9525659E-003, 1.4289757E-004, 1.5564871E-004
 1.9201588E+002, 2.0610212E+000,-5.9161459E-001,-1.5239803E+000,-1.6088632E-002, 4.5626322E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2587053E-003,-2.5036049E-002, 1.4296759E-004, 1.5568284E-004
 1.9321741E+002, 2.0728606E+000,-5.8338497E-001,-1.4596002E+000,-2.0771749E-002, 4.4833641E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5863201E-002, 5.3937362E-002, 1.4294940E-004, 1.5562948E-004
 1.9440419E+002, 2.0411331E+000,-5.7898018E-001,-1.5507611E+000,-6.8336163E-002, 4.8461105E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6277347E-002,-1.0848319E-001, 1.4274857E-004, 1.5539491E-004
