s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1316282E-020, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-7.8410054E-008, 2.6472803E-005, 1.4045809E-003, 1.8157704E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5150709E-005, 1.4327911E-003, 7.9363242E-017, 3.3083012E-008
 2.5000000E+000, 0.0000000E+000, 3.7040703E-005, 4.1349188E-003, 7.0568527E-003, 5.3689466E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8016738E-003, 1.1765707E-002, 2.8952941E-013, 1.9925142E-005
 3.6526747E+000, 1.2132314E-007, 2.9077728E-005, 6.5211028E-003, 8.2484428E-003, 1.7308165E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5590694E-002, 1.6529561E-002, 1.3572663E-011, 2.9571284E-005
 4.8770046E+000, 2.3351590E-006, 4.2632809E-004, 5.6987838E-003, 1.1546468E-002, 2.2009529E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9992288E-002, 1.9874867E-002, 1.8059724E-010, 2.9450573E-005
 6.0318756E+000, 1.6096245E-005, 7.1418449E-004,-8.9019792E-003, 1.3467580E-002, 2.5798530E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8969533E-003, 7.8757350E-003, 1.1766526E-009, 2.7889904E-005
 7.2759118E+000, 7.6499989E-005, 8.8286551E-004,-1.7824252E-002, 1.5445301E-002, 2.7146089E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5267298E-004, 1.2950238E-003, 5.4068618E-009, 2.6345660E-005
 8.4462919E+000, 2.6999069E-004, 1.0225930E-003,-2.1056055E-002, 1.6762768E-002, 2.6922580E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0129914E-004,-3.0844490E-004, 1.8589880E-008, 2.4992146E-005
 9.6793489E+000, 7.8901375E-004, 1.1741452E-003,-1.9965115E-002, 1.8792538E-002, 2.8982306E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3112899E-003, 3.6888124E-003, 5.2512848E-008, 2.3870340E-005
 1.0850469E+001, 1.9261238E-003, 1.3265736E-003,-1.9348660E-002, 2.0308231E-002, 3.1155004E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8775838E-003, 7.3277685E-003, 1.2600563E-007, 2.2915920E-005
 1.2067442E+001, 4.1390953E-003, 1.4481007E-003,-2.4275061E-002, 2.1370746E-002, 3.3220617E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9742095E-003, 6.0049427E-003, 2.6700820E-007, 2.2152408E-005
 1.3244368E+001, 8.0198185E-003, 1.5655746E-003,-2.7371793E-002, 2.1941893E-002, 3.5571884E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7447617E-003, 7.7126812E-003, 5.1555496E-007, 2.1597758E-005
 1.4402691E+001, 1.4208831E-002, 1.0417305E-003,-3.8052133E-002, 2.2656954E-002, 3.4264312E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2113522E-003, 3.2818136E-003, 9.0377484E-007, 2.1285268E-005
 1.5625473E+001, 2.4061480E-002,-3.8405569E-003,-4.1921201E-002, 2.3805238E-002, 3.5059087E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2817071E-003, 5.6108692E-003, 1.5127197E-006, 2.1251308E-005
 1.6858482E+001, 3.8948499E-002,-8.3339613E-003,-4.7053612E-002, 2.4372100E-002, 3.6178198E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0876105E-002, 1.1550846E-002, 2.4363923E-006, 2.1579572E-005
 1.8025249E+001, 5.9719738E-002,-1.4511477E-002,-5.3519136E-002, 2.3664751E-002, 3.9306056E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9571694E-002, 1.9284483E-002, 3.7219175E-006, 2.2340043E-005
 1.9255045E+001, 8.7563791E-002,-2.1946313E-002,-8.1755258E-002, 2.3431769E-002, 4.1996453E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1222396E-002, 1.1493634E-002, 5.4493462E-006, 2.3594699E-005
