s,kg,C,kW,m
Time,"null","null","null","null"
 0.0000000E+000, 1.4215082E+001, 2.0000000E+001, 0.0000000E+000, 5.0000000E-002
 1.5000000E+000, 1.4214101E+001, 1.2955185E+002, 0.0000000E+000, 4.9999019E-002
 2.4819847E+000, 1.4207551E+001, 2.6688046E+002, 9.4135184E-003, 4.9992469E-002
 3.6031886E+000, 1.4203188E+001, 3.2025667E+002, 1.0073939E+000, 4.9988089E-002
 4.8315231E+000, 1.4197701E+001, 3.7159528E+002, 1.4051721E+001, 4.9982282E-002
 6.0255780E+000, 1.4189783E+001, 4.1300868E+002, 7.3535911E+001, 4.9972357E-002
 7.2051416E+000, 1.4176082E+001, 4.4664743E+002, 1.6792825E+002, 4.9952980E-002
 8.4077998E+000, 1.4154605E+001, 4.7227549E+002, 2.7049209E+002, 4.9921541E-002
 9.6112555E+000, 1.4124465E+001, 4.9215134E+002, 3.4929957E+002, 4.9874255E-002
 1.0810693E+001, 1.4091589E+001, 4.9181882E+002, 3.4761407E+002, 4.9821479E-002
 1.2013169E+001, 1.4058245E+001, 5.0260481E+002, 3.7756712E+002, 4.9771156E-002
 1.3212598E+001, 1.4022972E+001, 5.0450191E+002, 3.8427224E+002, 4.9723191E-002
 1.4403004E+001, 1.3986913E+001, 5.3188427E+002, 3.9672340E+002, 4.9667876E-002
 1.5600594E+001, 1.3950503E+001, 5.2287586E+002, 4.0446986E+002, 4.9604922E-002
 1.6809732E+001, 1.3913222E+001, 5.2824584E+002, 4.0577313E+002, 4.9555121E-002
 1.8005629E+001, 1.3876160E+001, 5.3810105E+002, 4.1003733E+002, 4.9502316E-002
 1.9206795E+001, 1.3838460E+001, 5.5334425E+002, 4.0963361E+002, 4.9443711E-002
 2.0405118E+001, 1.3802749E+001, 5.3373265E+002, 3.8011189E+002, 4.9388731E-002
 2.1620668E+001, 1.3767408E+001, 5.5953302E+002, 3.9008494E+002, 4.9340281E-002
 2.2811847E+001, 1.3730606E+001, 5.5344655E+002, 4.0728853E+002, 4.9281972E-002
 2.4014721E+001, 1.3693936E+001, 5.5339209E+002, 3.9262734E+002, 4.9234613E-002
 2.5204455E+001, 1.3658240E+001, 5.8024055E+002, 3.9991332E+002, 4.9181380E-002
 2.6415579E+001, 1.3622323E+001, 5.8813470E+002, 3.9655440E+002, 4.9120008E-002
 2.7604540E+001, 1.3585522E+001, 5.7008621E+002, 4.0595168E+002, 4.9059958E-002
 2.8817194E+001, 1.3550708E+001, 5.6272983E+002, 3.6751472E+002, 4.9012224E-002
 3.0006426E+001, 1.3516644E+001, 5.6175837E+002, 3.7911233E+002, 4.8969294E-002
 3.1202914E+001, 1.3482397E+001, 5.6288848E+002, 3.6575407E+002, 4.8928409E-002
 3.2412909E+001, 1.3449461E+001, 5.6285867E+002, 3.3546693E+002, 4.8887386E-002
 3.3611083E+001, 1.3417187E+001, 5.7210838E+002, 3.7606520E+002, 4.8846476E-002
 3.4805258E+001, 1.3383471E+001, 5.7539769E+002, 3.6725527E+002, 4.8802919E-002
 3.6013449E+001, 1.3348462E+001, 5.7548711E+002, 3.9793384E+002, 4.8758825E-002
 3.7203125E+001, 1.3313699E+001, 5.8604457E+002, 3.7943087E+002, 4.8714513E-002
 3.8407665E+001, 1.3280527E+001, 5.8212081E+002, 3.5885369E+002, 4.8669558E-002
 3.9618513E+001, 1.3247947E+001, 5.8440788E+002, 3.5368343E+002, 4.8625626E-002
 4.0815410E+001, 1.3215098E+001, 5.9088539E+002, 3.6327888E+002, 4.8581684E-002
 4.2018247E+001, 1.3182414E+001, 6.0093290E+002, 3.5866305E+002, 4.8536584E-002
 4.3204151E+001, 1.3150467E+001, 5.8847131E+002, 3.3756775E+002, 4.8490514E-002
 4.4412948E+001, 1.3119880E+001, 6.0018981E+002, 3.3356603E+002, 4.8448059E-002
 4.5620693E+001, 1.3089124E+001, 5.9413056E+002, 3.3130513E+002, 4.8403989E-002
 4.6808432E+001, 1.3058380E+001, 6.0953621E+002, 3.4328199E+002, 4.8361516E-002
 4.8017239E+001, 1.3027150E+001, 6.2927269E+002, 3.4858004E+002, 4.8315535E-002
 4.9210495E+001, 1.2995047E+001, 6.3406516E+002, 3.4739151E+002, 4.8263357E-002
 5.0404256E+001, 1.2962896E+001, 6.1959027E+002, 3.6064812E+002, 4.8211140E-002
 5.1623720E+001, 1.2931578E+001, 6.2209399E+002, 3.3087798E+002, 4.8163567E-002
 5.2802093E+001, 1.2901746E+001, 6.1674271E+002, 3.2449541E+002, 4.8118045E-002
 5.4018588E+001, 1.2872705E+001, 6.1751254E+002, 3.1707856E+002, 4.8075028E-002
 5.5214767E+001, 1.2843254E+001, 6.4075832E+002, 3.2590247E+002, 4.8032581E-002
 5.6405506E+001, 1.2813589E+001, 6.2774570E+002, 3.2575132E+002, 4.7986208E-002
 5.7600871E+001, 1.2784384E+001, 6.2233763E+002, 3.2071785E+002, 4.7941326E-002
 5.8813457E+001, 1.2754964E+001, 6.2424657E+002, 3.2749961E+002, 4.7899553E-002
 6.0014700E+001, 1.2724956E+001, 6.3805191E+002, 3.2703011E+002, 4.7857888E-002
 6.1215510E+001, 1.2695377E+001, 6.5135001E+002, 3.2054694E+002, 4.7814757E-002
 6.2401815E+001, 1.2666451E+001, 6.4086724E+002, 3.2064474E+002, 4.7768446E-002
 6.3603648E+001, 1.2637616E+001, 6.3547589E+002, 3.2051783E+002, 4.7723718E-002
 6.4818806E+001, 1.2608409E+001, 6.3840449E+002, 3.2052777E+002, 4.7680871E-002
 6.6000520E+001, 1.2579464E+001, 6.4604531E+002, 3.2027083E+002, 4.7639449E-002
 6.7216618E+001, 1.2550493E+001, 6.4279421E+002, 3.1917258E+002, 4.7597665E-002
 6.8418445E+001, 1.2521395E+001, 6.6720451E+002, 3.1862800E+002, 4.7555138E-002
 6.9613183E+001, 1.2492739E+001, 6.6174685E+002, 3.1706886E+002, 4.7510996E-002
 7.0800709E+001, 1.2464485E+001, 6.5971128E+002, 3.1140351E+002, 4.7465199E-002
 7.2000406E+001, 1.2436478E+001, 6.4533962E+002, 3.0963403E+002, 4.7420777E-002
 7.3209113E+001, 1.2408871E+001, 6.5445591E+002, 2.9846133E+002, 4.7378739E-002
 7.4425409E+001, 1.2381632E+001, 6.3794369E+002, 2.8822246E+002, 4.7338352E-002
 7.5617427E+001, 1.2355270E+001, 6.3073396E+002, 2.8402410E+002, 4.7299741E-002
 7.6816828E+001, 1.2329699E+001, 6.3313094E+002, 2.8116398E+002, 4.7264329E-002
 7.8001201E+001, 1.2304362E+001, 6.4213045E+002, 2.7650055E+002, 4.7230291E-002
 7.9216521E+001, 1.2278927E+001, 6.6490227E+002, 2.7959176E+002, 4.7195571E-002
 8.0409368E+001, 1.2253201E+001, 6.5943657E+002, 2.8443849E+002, 4.7157711E-002
 8.1617047E+001, 1.2227281E+001, 6.5361545E+002, 2.8307015E+002, 4.7117446E-002
 8.2817122E+001, 1.2201439E+001, 6.4966029E+002, 2.8176048E+002, 4.7077897E-002
 8.4004143E+001, 1.2176002E+001, 6.4352727E+002, 2.8077611E+002, 4.7040542E-002
 8.5214586E+001, 1.2150559E+001, 6.4880732E+002, 2.7481927E+002, 4.7004238E-002
 8.6404907E+001, 1.2125482E+001, 6.4292765E+002, 2.7685467E+002, 4.6968893E-002
 8.7601238E+001, 1.2100670E+001, 6.3976926E+002, 2.7413682E+002, 4.6934333E-002
 8.8814186E+001, 1.2075565E+001, 6.4211786E+002, 2.7589347E+002, 4.6900461E-002
 9.0016736E+001, 1.2050294E+001, 6.4436050E+002, 2.7364028E+002, 4.6866920E-002
 9.1203886E+001, 1.2025391E+001, 6.5301441E+002, 2.7639774E+002, 4.6834007E-002
 9.2407117E+001, 1.2000601E+001, 6.5671555E+002, 2.7312243E+002, 4.6800470E-002
 9.3605924E+001, 1.1975802E+001, 6.5637927E+002, 2.7147236E+002, 4.6765822E-002
 9.4808473E+001, 1.1951222E+001, 6.5151160E+002, 2.6929056E+002, 4.6730433E-002
 9.6020402E+001, 1.1926699E+001, 6.5379462E+002, 2.6438570E+002, 4.6695132E-002
 9.7212805E+001, 1.1902637E+001, 6.4474106E+002, 2.5377270E+002, 4.6660447E-002
 9.8413803E+001, 1.1879097E+001, 6.4899990E+002, 2.6049992E+002, 4.6626897E-002
 9.9609443E+001, 1.1855724E+001, 6.5550822E+002, 2.5683393E+002, 4.6594181E-002
 1.0080799E+002, 1.1832484E+001, 6.5973765E+002, 2.5608153E+002, 4.6561494E-002
 1.0201555E+002, 1.1809202E+001, 6.4995595E+002, 2.5184194E+002, 4.6527860E-002
 1.0321233E+002, 1.1786091E+001, 6.6650540E+002, 2.5340942E+002, 4.6494354E-002
 1.0441098E+002, 1.1763092E+001, 6.6891662E+002, 2.5161510E+002, 4.6461000E-002
 1.0560429E+002, 1.1740086E+001, 6.5756830E+002, 2.5478974E+002, 4.6426802E-002
 1.0680386E+002, 1.1717011E+001, 6.5105550E+002, 2.5385522E+002, 4.6392357E-002
 1.0801686E+002, 1.1693828E+001, 6.5551705E+002, 2.5482480E+002, 4.6358815E-002
 1.0920204E+002, 1.1670719E+001, 6.6122481E+002, 2.5446886E+002, 4.6326528E-002
 1.1041447E+002, 1.1647535E+001, 6.5756871E+002, 2.5237959E+002, 4.6294372E-002
 1.1161573E+002, 1.1624308E+001, 6.5557185E+002, 2.5103879E+002, 4.6261948E-002
 1.1280303E+002, 1.1601581E+001, 6.6015043E+002, 2.4804289E+002, 4.6230190E-002
 1.1400660E+002, 1.1579065E+001, 6.6184153E+002, 2.4972770E+002, 4.6198622E-002
 1.1521774E+002, 1.1556417E+001, 6.7089479E+002, 2.4655939E+002, 4.6166645E-002
 1.1640974E+002, 1.1533934E+001, 6.6751747E+002, 2.4672588E+002, 4.6134513E-002
 1.1762503E+002, 1.1511467E+001, 6.6161167E+002, 2.4560875E+002, 4.6101818E-002
 1.1881250E+002, 1.1489072E+001, 6.6848602E+002, 2.4473394E+002, 4.6069200E-002
 1.2000444E+002, 1.1466985E+001, 6.6251565E+002, 2.4361651E+002, 4.6037239E-002
 1.2121707E+002, 1.1444754E+001, 6.6537588E+002, 2.4446949E+002, 4.6005163E-002
 1.2241476E+002, 1.1422523E+001, 6.6058084E+002, 2.4327984E+002, 4.5973387E-002
 1.2361057E+002, 1.1400450E+001, 6.6458924E+002, 2.4412707E+002, 4.5942129E-002
 1.2481768E+002, 1.1378342E+001, 6.6860403E+002, 2.4090757E+002, 4.5911130E-002
 1.2600795E+002, 1.1356411E+001, 6.6848390E+002, 2.4048679E+002, 4.5880277E-002
 1.2721880E+002, 1.1334542E+001, 6.6860247E+002, 2.3973383E+002, 4.5849283E-002
 1.2841259E+002, 1.1312757E+001, 6.7248454E+002, 2.3961867E+002, 4.5818258E-002
 1.2962001E+002, 1.1291001E+001, 6.7367360E+002, 2.3674707E+002, 4.5787122E-002
 1.3081930E+002, 1.1269249E+001, 6.7565051E+002, 2.3882718E+002, 4.5755809E-002
 1.3201358E+002, 1.1247710E+001, 6.7649132E+002, 2.3904777E+002, 4.5724499E-002
 1.3321074E+002, 1.1226250E+001, 6.8889919E+002, 2.3676037E+002, 4.5693154E-002
 1.3441229E+002, 1.1204760E+001, 6.8340094E+002, 2.3729915E+002, 4.5661361E-002
 1.3562129E+002, 1.1183285E+001, 6.8987403E+002, 2.3568338E+002, 4.5628912E-002
 1.3682148E+002, 1.1161779E+001, 6.8991429E+002, 2.3589653E+002, 4.5596108E-002
 1.3801571E+002, 1.1140399E+001, 6.8996928E+002, 2.3842099E+002, 4.5563411E-002
 1.3920054E+002, 1.1119134E+001, 6.8196469E+002, 2.3684619E+002, 4.5530850E-002
 1.4041798E+002, 1.1097628E+001, 6.8872314E+002, 2.3668315E+002, 4.5497996E-002
 1.4161281E+002, 1.1076067E+001, 6.7862729E+002, 2.3629677E+002, 4.5465425E-002
 1.4280172E+002, 1.1054868E+001, 6.9472451E+002, 2.3581633E+002, 4.5433671E-002
 1.4401382E+002, 1.1033615E+001, 6.7952626E+002, 2.3355366E+002, 4.5402070E-002
 1.4520260E+002, 1.1012488E+001, 6.8280588E+002, 2.3186957E+002, 4.5370574E-002
 1.4640746E+002, 1.0991612E+001, 7.1059222E+002, 2.3075294E+002, 4.5339616E-002
 1.4761609E+002, 1.0970625E+001, 7.0175150E+002, 2.2961173E+002, 4.5308393E-002
 1.4882378E+002, 1.0949653E+001, 7.0242872E+002, 2.3055575E+002, 4.5276216E-002
 1.5000340E+002, 1.0928980E+001, 7.0481309E+002, 2.2880112E+002, 4.5243798E-002
 1.5121228E+002, 1.0908354E+001, 6.9829598E+002, 2.2929713E+002, 4.5211222E-002
 1.5241006E+002, 1.0887576E+001, 7.0746004E+002, 2.2769876E+002, 4.5178367E-002
 1.5361945E+002, 1.0866862E+001, 7.0979719E+002, 2.2781699E+002, 4.5145649E-002
 1.5481328E+002, 1.0846269E+001, 7.1911675E+002, 2.2630494E+002, 4.5112922E-002
 1.5600263E+002, 1.0825936E+001, 7.1742011E+002, 2.2604204E+002, 4.5080220E-002
 1.5720791E+002, 1.0805607E+001, 7.0269810E+002, 2.2474673E+002, 4.5046938E-002
 1.5840120E+002, 1.0785343E+001, 7.0964081E+002, 2.2182602E+002, 4.5013502E-002
 1.5960710E+002, 1.0765170E+001, 7.1186961E+002, 2.2358519E+002, 4.4980488E-002
 1.6080928E+002, 1.0744951E+001, 7.1013775E+002, 2.2070634E+002, 4.4947665E-002
 1.6200859E+002, 1.0724825E+001, 7.0762077E+002, 2.2267529E+002, 4.4915212E-002
 1.6320962E+002, 1.0704760E+001, 7.2685167E+002, 2.2143084E+002, 4.4883102E-002
 1.6441632E+002, 1.0684725E+001, 7.1179721E+002, 2.2006867E+002, 4.4851103E-002
 1.6562314E+002, 1.0664666E+001, 7.0573988E+002, 2.1992756E+002, 4.4818695E-002
 1.6680273E+002, 1.0644946E+001, 7.0247435E+002, 2.1800277E+002, 4.4786792E-002
 1.6800570E+002, 1.0625291E+001, 7.0554505E+002, 2.1826793E+002, 4.4755425E-002
 1.6922206E+002, 1.0605428E+001, 7.0354701E+002, 2.1637672E+002, 4.4724234E-002
 1.7041667E+002, 1.0585770E+001, 7.0440848E+002, 2.1624211E+002, 4.4693656E-002
 1.7161766E+002, 1.0566287E+001, 7.1530360E+002, 2.1535403E+002, 4.4663644E-002
 1.7282570E+002, 1.0546711E+001, 7.0247600E+002, 2.1480881E+002, 4.4633705E-002
 1.7401323E+002, 1.0527226E+001, 6.9000932E+002, 2.1174310E+002, 4.4603874E-002
 1.7521319E+002, 1.0507941E+001, 6.9566511E+002, 2.1277180E+002, 4.4574443E-002
 1.7641111E+002, 1.0488715E+001, 6.9535287E+002, 2.1070358E+002, 4.4545494E-002
 1.7761488E+002, 1.0469617E+001, 6.9674234E+002, 2.0921578E+002, 4.4517071E-002
 1.7881934E+002, 1.0450622E+001, 6.9072473E+002, 2.0808817E+002, 4.4488950E-002
 1.8002271E+002, 1.0431744E+001, 6.9218329E+002, 2.0689644E+002, 4.4461141E-002
 1.8120598E+002, 1.0413061E+001, 6.8730000E+002, 2.0587054E+002, 4.4433845E-002
 1.8240806E+002, 1.0394449E+001, 6.9136145E+002, 2.0743199E+002, 4.4406932E-002
 1.8360412E+002, 1.0375774E+001, 6.8711367E+002, 2.0561177E+002, 4.4380148E-002
 1.8480743E+002, 1.0357201E+001, 7.0499302E+002, 2.0547280E+002, 4.4353659E-002
 1.8600623E+002, 1.0338599E+001, 6.9907377E+002, 2.0439017E+002, 4.4327214E-002
 1.8721827E+002, 1.0319937E+001, 6.9739973E+002, 2.0546096E+002, 4.4300585E-002
 1.8840786E+002, 1.0301338E+001, 7.0208133E+002, 2.0514652E+002, 4.4273878E-002
 1.8961868E+002, 1.0282690E+001, 6.9622145E+002, 2.0590907E+002, 4.4247009E-002
 1.9080049E+002, 1.0264088E+001, 7.1768107E+002, 2.0645256E+002, 4.4220142E-002
 1.9201588E+002, 1.0245430E+001, 7.0520403E+002, 2.0610212E+002, 4.4193141E-002
 1.9321741E+002, 1.0226619E+001, 7.0435899E+002, 2.0728606E+002, 4.4165669E-002
 1.9440420E+002, 1.0208021E+001, 6.9702537E+002, 2.0411331E+002, 4.4138226E-002
 1.9561210E+002, 1.0189444E+001, 6.9239081E+002, 2.0290130E+002, 4.4110720E-002
 1.9680017E+002, 1.0170974E+001, 6.9733294E+002, 2.0253915E+002, 4.4083378E-002
 1.9801490E+002, 1.0152612E+001, 6.9567288E+002, 2.0211483E+002, 4.4056319E-002
 1.9920523E+002, 1.0134393E+001, 7.0039579E+002, 1.9997254E+002, 4.4029608E-002
 2.0041728E+002, 1.0116256E+001, 7.1017421E+002, 1.9867195E+002, 4.4003126E-002
 2.0161417E+002, 1.0098163E+001, 7.1598715E+002, 1.9904126E+002, 4.3976721E-002
 2.0281965E+002, 1.0080171E+001, 7.1761679E+002, 1.9769994E+002, 4.3950249E-002
 2.0402600E+002, 1.0062175E+001, 7.1828599E+002, 1.9745741E+002, 4.3923386E-002
 2.0520064E+002, 1.0044432E+001, 7.1917706E+002, 1.9569871E+002, 4.3896439E-002
 2.0641487E+002, 1.0026682E+001, 7.2018381E+002, 1.9626642E+002, 4.3869074E-002
