 (s), (kW/m²), (MJ/kg), (m²/kg),(g/s), (g/s·m²)
Time,HRR,EHC,SEA,MLR ,Specific MLR
86,189.8332284,11.40630963,32.56899412,0.147122583,16.64282617
87,198.3392817,13.71863467,28.52236493,0.127805667,14.4576546
88,197.5230331,10.60660563,16.8217231,0.164624167,18.62264329
89,193.7348908,11.4044355,21.24895814,0.150171083,16.98767911
90,195.9176887,13.55949406,27.75998512,0.127726917,14.44874623
91,193.994307,11.31618078,19.91847748,0.151544917,17.14309012
92,189.61478,11.50189181,25.08167081,0.145732083,16.48552979
93,193.5776593,13.36994069,24.8067702,0.127990583,14.47857278
94,195.3955451,10.24952822,16.19420318,0.1685245,19.06385747
95,193.7211173,9.313055187,16.90817605,0.183881083,20.80102753
96,190.7013139,10.73766266,18.53837495,0.15699875,17.76003959
97,190.4581077,12.80548077,20.68792618,0.131478833,14.87317119
98,188.0422964,15.78246987,19.86523341,0.105325333,11.91463047
99,192.0877994,16.37661905,18.15673429,0.103687833,11.72939291
100,189.8787497,13.40769353,13.88920258,0.125191417,14.16192496
101,190.5594184,9.864698615,8.191922927,0.170765,19.31730769
102,190.2180074,8.140942059,10.77868605,0.206551917,23.36560143
103,188.4451344,10.97614483,12.37174662,0.1517705,17.1686086
104,184.6726524,17.98051335,16.9555042,0.090793083,10.27071078
105,182.4225466,11.19113364,11.46104019,0.144097583,16.3006316
106,188.6607565,9.84114185,10.81151462,0.16946825,19.17061652
107,188.6298168,10.79671325,11.65401293,0.154444,17.47104072
108,188.9956445,9.551851427,9.148214382,0.17491075,19.78628394
109,189.7400438,10.0800105,8.634009278,0.166398833,18.82339744
110,188.1788556,13.9804007,17.62398823,0.118988083,13.46019042
111,183.6892264,14.05437114,16.63188858,0.115537917,13.06990008
112,186.8030789,10.88895602,10.43398115,0.151652667,17.15527903
113,192.4372248,12.0688031,12.08771491,0.140953917,15.9450132
114,195.2032429,11.89337343,10.99791636,0.145088917,16.41277338
115,194.2649438,10.87947272,11.77803157,0.157847917,17.85609917
116,192.7397424,12.21184729,15.11010805,0.139521833,15.78301282
117,198.5437058,12.05581929,12.37302422,0.145583333,16.46870287
118,195.4588921,12.9681887,13.69651974,0.133238083,15.07218137
119,194.7260201,12.49962858,12.06822953,0.137714333,15.57854449
120,195.3935874,13.45170251,12.49052932,0.128406,14.52556561
121,191.6786762,10.30808975,7.089912688,0.164379583,18.59497549
122,191.0975257,9.490203697,4.951156444,0.178004833,20.13629336
123,187.5889559,10.71161389,6.099420444,0.154812,17.51266968
124,187.0479551,10.97313909,7.422239795,0.1506865,17.04598416
125,189.0168592,13.39117106,8.217773339,0.124776917,14.11503582
126,187.2935377,12.82868067,9.083449108,0.129060417,14.59959465
127,186.2623895,10.03122996,7.127113249,0.164143333,18.56825038
128,188.9354583,10.01070055,8.764220858,0.166840417,18.8733503
129,185.3117117,12.19660529,11.70650354,0.134312417,15.19371229
130,181.0541429,8.945013665,9.376507791,0.178928583,20.24078997
131,181.4763574,12.34097771,13.57905784,0.129993833,14.70518477
132,182.4511719,17.35349314,20.24776202,0.092942,10.5138009
133,183.8074579,12.18716569,14.12671862,0.133325333,15.08205128
134,183.124951,12.37329962,14.50215058,0.130832083,14.80000943
135,179.8772706,11.84651361,13.52495596,0.134226417,15.18398379
136,177.1176141,9.47984542,8.794111527,0.165163,18.68359729
137,178.9196286,11.49679485,13.53630784,0.137573083,15.56256599
138,182.0683873,13.98437081,14.82075514,0.115091667,13.01941931
139,181.3121076,10.63008586,11.42731072,0.1507795,17.05650452
140,178.6978677,11.53386812,11.32563889,0.136960917,15.49331637
141,178.203807,14.05301279,16.64941404,0.1120985,12.68082579
142,176.6111003,13.56065957,11.81175523,0.11513025,13.02378394
143,173.594947,11.47664373,12.32371979,0.13371325,15.12593326
144,174.9262502,12.33611172,15.19628117,0.125351333,14.18001508
145,173.6085326,11.15448728,12.678029,0.137585833,15.5640083
146,177.3247563,8.793333061,10.33530532,0.178265833,20.16581825
147,174.1866054,6.75688483,9.425614087,0.2278875,25.77912896
148,175.3669769,10.3416941,14.84955077,0.149902333,16.95727753
149,178.5648124,33.17777745,37.40251962,0.047577417,5.382060709
150,177.3102593,10.2980123,14.28387772,0.152206333,17.21791101
151,174.320061,13.30179212,18.04054003,0.11584825,13.10500566
152,175.9703986,17.69081385,21.60868564,0.087931417,9.946992836
153,178.4980947,7.366671147,7.664296895,0.214197583,24.23049585
154,177.5938019,8.766962559,6.364055078,0.179073333,20.2571644
155,178.2927321,14.61246473,14.64629341,0.1078605,12.20141403
156,178.8666286,15.11728414,15.97378333,0.10459425,11.83192873
157,176.609659,11.34339588,9.733016009,0.137633333,15.5693816
158,178.0933127,10.51206642,8.094269034,0.1497655,16.94179864
159,179.3063956,12.70141248,8.603668071,0.124794667,14.11704374
160,179.5626742,12.27154089,11.96414895,0.129350833,14.63244721
161,178.5121382,11.10501277,11.67661313,0.14210225,16.07491516
162,183.3700845,15.41299919,13.86392959,0.105170417,11.89710596
163,183.4670318,19.54925512,15.65438363,0.082962167,9.384860483
164,180.1047153,9.20972855,7.135662852,0.172874333,19.55592006
165,183.9057262,8.693477297,5.998525216,0.187005333,21.15444947
166,183.0326217,12.54187419,7.322179914,0.1290085,14.59372172
167,182.3240894,11.20784407,6.714721925,0.143805083,16.26754336
168,181.2538024,13.69487805,9.47011253,0.11699875,13.23515271
169,183.0635854,11.51273682,7.092277921,0.1405645,15.90096154
170,186.5515208,10.03758267,8.230558856,0.164294083,18.58530354
171,185.9909362,11.02663142,7.02415459,0.149108083,16.86743024
172,188.3293699,10.55415976,8.396363137,0.15774175,17.84408937
173,183.849862,13.97129301,17.504266,0.116326583,13.15911576
174,182.0540514,13.37833381,17.82028639,0.120295833,13.60812594
175,179.6593796,9.353062101,10.60157482,0.169804167,19.20861614
176,181.1443858,8.8080401,10.23194857,0.181801667,20.5657994
177,186.8489582,11.75294224,13.65896355,0.140538833,15.89805807
178,189.2895266,16.05723796,13.59887593,0.104209667,11.78842383
179,186.9480224,11.72638896,11.28202382,0.14093175,15.94250566
180,186.6830693,10.8336333,13.4748782,0.152329167,17.23180618
181,186.3802159,11.92933422,14.68021699,0.138113417,15.62368967
182,182.1645753,11.71165392,11.37997599,0.1374985,15.55412896
183,187.7036715,11.44610903,11.5999199,0.144966333,16.39890649
184,186.4402355,11.55757709,11.16871968,0.142601833,16.13142911
185,190.1231095,12.0265283,13.59328883,0.139748417,15.80864442
186,186.0429445,12.94312793,12.25488206,0.127065083,14.37387821
187,189.7903913,12.27804719,12.92099598,0.136646083,15.45770173
188,190.9655182,8.101169396,7.242956246,0.208381667,23.57258673
189,188.648873,10.71099267,12.14211923,0.15569575,17.6126414
190,188.4809726,14.92129781,22.85691826,0.111664,12.63167421
191,187.2659765,13.62200539,21.11150275,0.12152625,13.74731335
192,187.1451757,14.6801478,15.97990575,0.112693917,12.74818062
193,187.2038367,10.69258718,10.52497958,0.154769083,17.50781486
194,187.6815365,12.43890893,13.29105536,0.13338025,15.08826357
195,186.4405596,13.0683067,13.84787751,0.126116917,14.26661953
196,187.3913754,8.982965901,10.89906323,0.184409,20.86074661
197,182.7750269,9.936490008,10.99094675,0.162605833,18.39432504
198,186.1982255,12.78512626,11.00449082,0.12874275,14.5636595
199,184.4445909,13.28358389,12.88680285,0.12274475,13.88515271
200,185.705147,12.4165894,11.47994051,0.132212917,14.95621229
201,187.5221862,10.96917278,9.200611774,0.151123167,17.09538084
202,189.9172702,13.74786514,13.4771334,0.1221185,13.81430995
203,187.9987659,14.83130115,14.23369497,0.112054167,12.67581071
204,190.1208734,12.39786877,13.33763091,0.135561083,15.33496418
205,189.8880287,9.63424696,9.882453497,0.174233667,19.7096908
206,185.3217133,7.977314681,9.26216909,0.205362833,23.23108974
207,181.3402566,10.17870643,11.1907435,0.157490333,17.81564857
208,184.9092892,18.29816684,23.92762393,0.08933125,10.10534502
209,189.3670009,11.55983179,10.8254524,0.144812167,16.38146682
210,183.2198635,9.656349906,9.172467728,0.167730417,18.97402903
211,185.9937353,14.18766301,16.21150557,0.115888333,13.10953997
212,183.5170884,11.92736831,17.38349315,0.136014167,15.38621795
213,180.1782545,12.6342841,22.14608803,0.12606775,14.26105769
214,178.3486907,12.45178463,21.91421427,0.126616583,14.32314291
215,180.0979028,9.10310449,16.11490772,0.174892583,19.78422888
216,184.1284983,10.46174003,17.14013125,0.155585583,17.60017911
217,178.0143679,10.0485374,17.86571403,0.156604583,17.7154506
218,179.8990657,9.445315323,14.69293345,0.16837,19.04638009
219,186.1672486,12.17986866,13.12855074,0.135117917,15.2848322
220,183.5481894,17.4777515,24.3412569,0.092836083,10.50181938
221,184.8538271,14.55839118,23.84844992,0.112245083,12.69740762
222,182.1948761,12.76639208,21.54597651,0.126159583,14.27144608
223,186.1116759,12.06460614,18.43569097,0.136368083,15.42625377
224,186.1934269,9.837206372,13.93450324,0.167318833,18.92746983
225,183.4289042,8.610062327,11.69083871,0.1883275,21.30401584
226,182.809026,8.466299827,9.732995477,0.190878167,21.59255279
227,182.3744742,11.74649904,17.82287557,0.137248583,15.52585784
228,179.5835248,12.9847377,20.73154312,0.122260333,13.83035445
229,180.6534117,13.88055325,18.64906153,0.115051333,13.01485671
230,179.2978255,19.97636155,29.76612083,0.079343417,8.975499623
231,181.1145652,13.90885345,24.00337199,0.115110333,13.02153092
232,180.0804307,10.627802,20.5639377,0.149787417,16.9442779
233,176.8772564,9.865631838,14.86118534,0.158489083,17.92862934
234,177.5525259,8.961078876,12.59840925,0.1751535,19.81374434
235,180.0249128,14.48220214,25.72570432,0.109888,12.43076923
236,178.0183209,19.4464784,35.25858023,0.08092375,9.154270362
237,177.4825155,10.47328643,22.19982631,0.1498045,16.94621041
238,176.4010441,8.402531612,18.69384902,0.185585167,20.99379713
239,175.9858704,9.892468137,19.09774725,0.157262583,17.78988499
240,174.0282787,12.5003943,21.24932103,0.123068917,13.92182315
241,172.9912308,11.56468388,19.15872539,0.132233833,14.95857843
242,175.5390562,10.5940682,14.37411776,0.146474917,16.56956071
243,172.0414193,11.00280449,12.73890261,0.1382235,15.63614253
244,171.9510418,11.64857055,11.81933864,0.130492167,14.76155732
245,174.2543317,10.87910824,10.97217848,0.14159325,16.01733597
246,177.1266437,9.961950976,10.94473279,0.157178,17.78031674
247,177.6769914,12.17418463,14.74532723,0.129016,14.59457014
248,172.3953735,11.55431096,14.16172167,0.131896667,14.92043741
249,175.4285807,10.84743833,14.76944223,0.142963583,16.17235106
250,178.2053575,17.93564308,27.6984035,0.087832667,9.935822021
251,171.3153786,12.54511033,17.11689997,0.120718583,13.65594834
252,168.8608341,9.725870025,12.61414207,0.153480333,17.36202866
253,173.4369401,9.813572119,11.57781104,0.156230833,17.67317119
254,177.450402,9.871792478,11.4341575,0.158903417,17.97549962
255,169.6466135,11.53587359,14.02691231,0.130001083,14.7060049
256,171.8887272,9.717826443,12.60416356,0.15636175,17.68798077
257,169.628627,11.29680408,17.38120913,0.132738167,15.01562971
258,168.3619635,12.88858209,16.56156558,0.115475833,13.06287707
259,169.4787672,10.95335954,12.49572626,0.13677925,15.47276584
260,170.9453916,9.82630574,15.40157535,0.153786917,17.39671003
261,171.3571792,11.78166751,20.22944188,0.128572417,14.54439103
262,168.3609445,10.64051954,17.39337152,0.139872,15.82262443
263,168.8920973,7.740308314,11.87933574,0.192887167,21.81981523
264,174.0266375,15.47418213,23.60858233,0.099416917,11.24625754
265,175.5704681,18.04326938,31.07520992,0.086017833,9.730524133
266,174.9378269,10.81380904,15.15579035,0.143007,16.17726244
267,167.035719,11.02124246,17.03946771,0.13397725,15.15579751
268,167.8922657,13.87910269,20.8417468,0.106935417,12.09676659
269,168.0064412,17.55606118,26.4018401,0.08459625,9.569711538
270,169.9977349,12.51585686,19.64960587,0.120070083,13.58258861
271,168.2360342,9.258859007,14.94065284,0.16062525,18.17027715
272,168.3566218,8.95311925,15.46495272,0.1662295,18.80424208
273,163.4188253,9.619683994,19.21264403,0.150173583,16.98796192
274,167.8300704,10.97027924,15.7015506,0.13523975,15.29861425
275,167.1803519,11.99119903,13.11791582,0.123246583,13.94192119
276,166.5884202,10.87885532,12.4863253,0.135367333,15.31304676
277,168.4538323,9.531048922,16.5180749,0.156240083,17.67421757
278,166.8250497,11.74416536,18.09648389,0.125571583,14.20493024
279,162.302338,9.501185654,13.92888436,0.15100775,17.08232466
280,162.9711586,11.75235228,15.66927797,0.12258525,13.86710973
281,168.7098719,25.54076092,35.89409711,0.05839275,6.605514706
282,164.456939,10.3829646,16.23638302,0.14001775,15.83911199
283,165.1871391,9.551090646,15.16009194,0.15288875,17.29510747
284,167.03122,18.62897676,29.20050038,0.07926125,8.966204751
285,164.3326335,11.13127845,16.96377812,0.130506167,14.76314103
