s, (kW/m²), (MJ/kg), (m²/kg), (g/s),(g/s·m²),g
Time,HRR,EHC,SEA,MLR,Specific MLR ,Mass
76,228.5767499,12.87027022,147.5353364,0.177600583,17.76005833,110.629467
77,226.2429447,13.12494875,133.0175571,0.17237625,17.237625,110.445384
78,226.3867445,17.34120952,152.4991102,0.130548417,13.05484167,110.293383
79,228.1619639,14.04885576,97.31729156,0.162406083,16.24060833,110.167093
80,227.2994661,12.39893045,81.02336287,0.183321833,18.33218333,109.96972
81,224.649923,12.31225529,106.8275779,0.182460417,18.24604167,109.804953
82,223.7691189,9.956024555,85.27106244,0.2247575,22.47575,109.596125
83,223.2441677,10.38455654,72.55713454,0.214977083,21.49770833,109.367858
84,223.922817,11.6552054,101.3540821,0.192122583,19.21225833,109.17005
85,224.7267442,10.88727309,92.18628522,0.206412333,20.64123333,108.976078
86,224.8133666,12.75407181,82.171682,0.176267917,17.62679167,108.767356
87,223.3329142,15.34778531,104.9678216,0.14551475,14.551475,108.623254
88,222.0835279,12.83358792,92.64463081,0.173048667,17.30486667,108.462673
89,220.4167972,13.63993465,91.66118258,0.161596667,16.15966667,108.284791
90,214.9286653,12.8254429,97.66748518,0.167579917,16.75799167,108.136236
91,211.0515882,12.22240429,86.39293931,0.172676,17.2676,107.950918
92,209.2934926,15.81612715,79.87013531,0.132329167,13.23291667,107.802648
93,208.9426557,26.10227936,173.9587372,0.080047667,8.004766667,107.688199
94,206.4469311,19.36653413,169.5841769,0.106599833,10.65998333,107.622434
95,204.7482156,13.47547101,115.0922749,0.151941417,15.19414167,107.469778
96,202.9508105,16.27524478,131.5126825,0.124699083,12.46990833,107.334478
97,200.8228302,13.76280457,120.5010135,0.145917083,14.59170833,107.207848
98,201.2757511,7.825945418,68.39858064,0.257190333,25.71903333,107.023383
99,201.7463243,9.44630197,50.67294052,0.21357175,21.357175,106.732023
100,201.0444585,20.0640836,121.7384387,0.100201167,10.02011667,106.614162
101,199.2470992,14.96303114,102.0580614,0.133159583,13.31595833,106.496941
102,199.1492118,11.85546643,94.09188117,0.167980917,16.79809167,106.345141
103,198.3764328,14.415207,103.452213,0.137616083,13.76160833,106.17777
104,197.5374983,25.61344418,208.0717171,0.077122583,7.712258333,106.076565
105,195.6714272,17.11058963,115.9929944,0.114356917,11.43569167,105.999726
106,195.5356385,12.7685,77.49244452,0.153139083,15.31390833,105.84626
107,196.214058,14.38994228,84.75788201,0.136355,13.6355,105.707613
108,195.6287392,19.03702373,107.702134,0.10276225,10.276225,105.57733
109,193.4869677,13.64076438,76.32913222,0.141844667,14.18446667,105.484546
110,192.7159271,10.87617929,56.90340461,0.177190833,17.71908333,105.294871
111,190.5960368,15.16140445,83.7511482,0.125711333,12.57113333,105.150077
112,189.3445794,13.57599959,98.82977499,0.139470083,13.94700833,105.027868
113,189.5302216,8.994008743,50.13880969,0.210729417,21.07294167,104.857058
114,188.7541301,8.934500544,49.99422795,0.211264333,21.12643333,104.62436
115,187.7599575,12.95019806,64.93083108,0.144986167,14.49861667,104.450766
116,185.765685,10.67161962,57.82569279,0.1740745,17.40745,104.312704
117,184.8751659,9.37654581,37.57291415,0.197167667,19.71676667,104.103644
118,184.8174792,12.77988506,52.2882676,0.144615917,14.46159167,103.936278
119,185.8478303,13.80346003,63.75442061,0.134638583,13.46385833,103.80537
120,184.9773195,13.13565788,65.24160265,0.14082075,14.082075,103.661903
121,184.3994397,12.68562719,65.90860843,0.145360917,14.53609167,103.524307
122,183.269397,14.81854935,81.54100005,0.123675667,12.36756667,103.377623
123,183.5490175,17.37764114,74.33739206,0.105623667,10.56236667,103.275461
124,182.8602106,13.2500998,54.60971036,0.138006667,13.80066667,103.155243
125,183.9083388,16.44054663,67.56133682,0.111862667,11.18626667,103.012751
126,183.8381131,24.16977298,104.8207369,0.076061167,7.606116667,102.932023
127,183.0261734,11.54855235,51.09550194,0.158484083,15.84840833,102.832053
128,181.3423144,8.545884426,45.84370595,0.212198417,21.21984167,102.622393
129,180.6727943,12.40392593,73.62144598,0.14565775,14.565775,102.43752
130,179.7461267,14.47206048,76.48854232,0.124202167,12.42021667,102.32214
131,178.6295686,12.28693911,48.29598076,0.145381667,14.53816667,102.177922
132,178.5679346,12.83586358,45.62639853,0.139116417,13.91164167,102.036035
133,178.5241729,10.85857868,25.59536439,0.164408417,16.44084167,101.89326
134,176.1572271,10.95547726,36.37486704,0.16079375,16.079375,101.714241
135,175.4891435,12.5960145,45.19920545,0.139321167,13.93211667,101.576471
136,172.1652703,12.55156904,68.09527354,0.137166333,13.71663333,101.431248
137,170.3470655,12.49816447,74.96734238,0.136297667,13.62976667,101.30117
138,168.2148482,11.60226426,53.91049984,0.1449845,14.49845,101.157829
139,168.076076,17.49040382,78.90430181,0.096096167,9.609616667,101.024691
140,167.2345451,22.53986726,112.5095119,0.074195,7.4195,100.95923
141,166.7755843,17.71453796,51.86279578,0.094146167,9.414616667,100.865532
142,165.5157086,18.22084303,50.09624971,0.090838667,9.083866667,100.774897
143,165.1203181,16.70138375,71.16991802,0.09886625,9.886625,100.679781
144,165.8532959,9.703132327,50.36185715,0.170927583,17.09275833,100.563286
145,164.5017281,10.34883565,55.91530687,0.15895675,15.895675,100.359039
146,162.6098121,18.84127861,94.19169284,0.086305083,8.630508333,100.260092
147,162.1501706,13.90032359,71.11497516,0.116652083,11.66520833,100.16171
148,163.1062487,9.899421367,46.00696659,0.164763417,16.47634167,100.020315
149,163.2633093,8.868748301,30.66586989,0.184088333,18.40883333,99.840648
150,162.2808065,11.75845626,22.79003258,0.138012,13.8012,99.668757
151,162.223781,13.23518567,48.95730009,0.122570083,12.25700833,99.558306
152,162.9267389,12.50225965,65.09366783,0.130317833,13.03178333,99.417723
153,162.2855611,14.31042281,65.41872559,0.11340375,11.340375,99.303217
154,163.0428979,17.61050497,78.72699484,0.09258275,9.258275,99.191859
155,162.2963208,17.91084883,78.23234191,0.090613417,9.061341667,99.112239
156,161.5750911,13.02476102,36.60965315,0.12405225,12.405225,99.000892
157,162.0521237,9.89123892,14.32319292,0.163834,16.3834,98.862842
158,162.0770408,10.56878859,28.08775978,0.153354417,15.33544167,98.68531
159,162.3049873,10.20170132,45.66667254,0.159096,15.9096,98.553591
160,161.8702485,9.387156455,41.93876725,0.172438,17.2438,98.367137
161,162.4501978,15.45087077,66.31725591,0.105139833,10.51398333,98.22661
162,162.8228975,13.72796215,71.35301898,0.11860675,11.860675,98.138718
163,162.0182224,12.22303953,52.06583769,0.1325515,13.25515,97.987917
164,161.0555489,13.89964627,29.59065731,0.11587025,11.587025,97.880874
165,161.1508068,14.92893915,58.96941076,0.10794525,10.794525,97.754476
166,160.6997755,14.26282951,48.65104845,0.112670333,11.26703333,97.661633
167,160.8444723,13.82139036,56.36206119,0.116373583,11.63735833,97.529332
168,160.7800631,15.57317586,93.28296984,0.103241667,10.32416667,97.431766
169,160.9224669,11.82449194,64.50111936,0.1360925,13.60925,97.312023
170,159.3582536,9.94485961,48.57763573,0.160241833,16.02418333,97.162061
171,159.368643,12.0909154,44.61241735,0.131808583,13.18085833,97.004802
172,159.5341716,13.86451935,56.32940355,0.1150665,11.50665,96.8969
173,159.5537311,15.61328602,54.52352259,0.102191,10.2191,96.772438
174,160.810578,12.85768022,42.94331019,0.125069667,12.50696667,96.683947
175,160.4338504,12.99091951,37.48697098,0.123496917,12.34969167,96.52747
176,160.7057604,14.20295807,56.79984405,0.1131495,11.31495,96.437992
177,159.6917712,9.460240186,41.68330346,0.168803083,16.88030833,96.286761
178,159.9067923,10.0096321,46.91549148,0.159752917,15.97529167,96.116069
179,159.8058662,14.20303007,37.87150444,0.112515333,11.25153333,95.977723
180,159.8628137,16.53780333,54.06001984,0.096665083,9.666508333,95.882723
181,159.854383,11.5037154,38.97228199,0.138958917,13.89589167,95.770177
182,158.9195753,11.52520937,30.19022511,0.137888667,13.78886667,95.615682
183,159.2599057,21.32728561,82.19185581,0.07467425,7.467425,95.508902
184,159.9669205,17.8065828,80.47937043,0.089835833,8.983583333,95.447187
185,158.3826155,10.99456798,69.91270596,0.144055333,14.40553333,95.318308
186,158.8305312,10.28952833,44.06139621,0.154361333,15.43613333,95.16896
187,158.4510513,9.835449052,33.38487112,0.161102,16.1102,95.01175
188,158.3111253,9.421678276,34.17066357,0.168028583,16.80285833,94.847059
189,158.1554622,8.832466065,19.32059096,0.1790615,17.90615,94.676324
190,159.1061048,11.25777293,29.24516146,0.14133,14.133,94.501895
191,159.797249,19.57356124,81.13084957,0.081639333,8.163933333,94.399176
192,159.7740806,22.66368667,143.360266,0.070497833,7.049783333,94.325835
193,158.2816803,16.67607707,84.43863419,0.094915417,9.491541667,94.247516
194,156.2249452,12.61169424,39.68814377,0.123873083,12.38730833,94.134589
195,157.3939909,13.55149838,58.75451531,0.116145083,11.61450833,94.008193
196,158.226752,12.04469578,52.59699582,0.131366333,13.13663333,93.897728
197,157.9845405,11.12025531,18.88934553,0.142069167,14.20691667,93.746369
198,156.6710518,11.01107297,42.08286534,0.142285,14.2285,93.616393
199,155.8214425,10.95711112,46.07529941,0.142210333,14.22103333,93.462343
200,156.0215223,11.23998787,62.27771571,0.138809333,13.88093333,93.33294
201,155.2938796,11.26943052,60.72845482,0.137801,13.7801,93.185269
202,155.4014661,15.84660678,98.82571652,0.098066083,9.806608333,93.065513
203,154.7136302,13.99882646,72.51505092,0.110519,11.0519,92.976539
204,154.4221284,11.15006165,33.55430608,0.138494417,13.84944167,92.839893
205,154.9835332,11.27191908,24.41320972,0.13749525,13.749525,92.706537
206,154.4016097,11.59454144,61.69858327,0.1331675,13.31675,92.56743
207,153.4191108,15.06543524,67.83646909,0.101835167,10.18351667,92.446778
208,153.740233,17.81830927,72.04255265,0.086282167,8.628216667,92.359831
209,153.6372267,16.78196667,75.63041643,0.091549,9.1549,92.267767
210,153.9614395,13.09391692,76.39711995,0.117582417,11.75824167,92.170728
211,153.9507368,10.3827553,44.46563916,0.148275417,14.82754167,92.032542
212,154.007049,13.38511805,47.58408567,0.115058417,11.50584167,91.88902
213,153.6534918,12.73805171,54.82296738,0.120625583,12.06255833,91.793408
214,153.7471842,9.19369202,28.63451786,0.167231167,16.72311667,91.638357
215,153.4610112,10.42582442,29.18425198,0.147193167,14.71931667,91.474745
216,152.9518334,12.28983687,54.82908686,0.124453917,12.44539167,91.34649
217,153.3513061,15.47463444,97.11977589,0.0990985,9.90985,91.22479
218,153.7444248,11.33737375,60.39988634,0.1356085,13.56085,91.132164
219,153.3389979,7.762444129,37.79650523,0.197539583,19.75395833,90.949319
220,153.3664376,12.28637669,70.69561624,0.124826417,12.48264167,90.770024
221,153.1563078,23.48939063,75.77675425,0.065202333,6.520233333,90.698145
222,152.9790864,19.2181764,72.89757362,0.07960125,7.960125,90.620689
223,152.6691344,16.99910843,60.33148791,0.089810083,8.981008333,90.537067
224,152.6665823,13.27478744,36.12781835,0.115004917,11.50049167,90.436615
225,153.4233029,9.681963799,36.93308392,0.158463,15.8463,90.303274
226,152.5281286,9.286876781,43.85101626,0.1642405,16.42405,90.130404
227,151.848901,13.13950686,93.04818107,0.115566667,11.55666667,89.988935
228,151.9663844,15.84993306,89.07532511,0.09587825,9.587825,89.892789
